symbol_norm,romaji,romanization_scheme,scheme_version
ワ,wa,alo-display-v1,1
ハ,ha,alo-display-v1,1
レ,re,alo-display-v1,1
ネ,ne,alo-display-v1,1
オ,o,alo-display-v1,1
受,ju,alo-display-v1,1
ツ,tsu,alo-display-v1,1
ヨ,yo,alo-display-v1,1
ヲ,wo,alo-display-v1,1
フ,fu,alo-display-v1,1
再,sai,alo-display-v1,1
ミ,mi,alo-display-v1,1
ヌ,nu,alo-display-v1,1
ル,ru,alo-display-v1,1
リ,ri,alo-display-v1,1
わ,wa,alo-display-v1,1
う,u,alo-display-v1,1
あ,a,alo-display-v1,1
ほ,ho,alo-display-v1,1
行ウ,gyo-u,alo-display-v1,1
行ケ,gyo-ke,alo-display-v1,1
行コ,gyo-ko,alo-display-v1,1
行ス,gyo-su,alo-display-v1,1
行サ,gyo-sa,alo-display-v1,1
行ツ,gyo-tsu,alo-display-v1,1
行ヒ,gyo-hi,alo-display-v1,1
行フ,gyo-fu,alo-display-v1,1
家,ka,alo-display-v1,1
家イ,ka-i,alo-display-v1,1
家ロ,ka-ro,alo-display-v1,1
タ,ta,alo-display-v1,1
労,ro,alo-display-v1,1
少,sho,alo-display-v1,1
ヰ,i,alo-display-v1,1
