bib_id	edition_raw	edition_statement	printing_no	date_role	decomp_type
alo:book:isbn:9784130311922	第4版	第4版			edition_only
alo:book:isbn:9784130312141	第4版	第4版			edition_only
alo:book:isbn:9784130324014	第5版	第5版			edition_only
alo:book:isbn:9784263455708	第2刷		第2刷		printing_only
alo:book:isbn:9784296203987	第4版	第4版			edition_only
alo:book:isbn:9784313511323	2025/10/03			2025/10/03	date_only
alo:book:isbn:9784313511668	改訂版	改訂版			edition_only
alo:book:isbn:9784322108125	第6刷		第6刷		printing_only
alo:book:isbn:9784322108132	第1刷		第1刷		printing_only
alo:book:isbn:9784322113013	第2版	第2版			edition_only
alo:book:isbn:9784322116250	第2版	第2版			edition_only
alo:book:isbn:9784322117462	第2版	第2版			edition_only
alo:book:isbn:9784322117479	第2版	第2版			edition_only
alo:book:isbn:9784322135411	第3版	第3版			edition_only
alo:book:isbn:9784322135534	第1版	第1版			edition_only
alo:book:isbn:9784322135565	第4版	第4版			edition_only
alo:book:isbn:9784322141429	第5版	第5版			edition_only
alo:book:isbn:9784322141436	第5版	第5版			edition_only
alo:book:isbn:9784322145052	第5版	第5版			edition_only
alo:book:isbn:9784322145489	第2版	第2版			edition_only
alo:book:isbn:9784322145588	2025/09/25			2025/09/25	date_only
alo:book:isbn:9784324092231	[N/A]				na_placeholder
alo:book:isbn:9784324096970	第2版	第2版			edition_only
alo:book:isbn:9784324096987	第2版	第2版			edition_only
alo:book:isbn:9784324096994	第2版	第2版			edition_only
alo:book:isbn:9784324106433	2019年09月			2019年09月	date_only
alo:book:isbn:9784324107539	第5版	第5版			edition_only
alo:book:isbn:9784324110034	第1刷		第1刷		printing_only
alo:book:isbn:9784324110256	第3版	第3版			edition_only
alo:book:isbn:9784324110324	第3版補訂版	第3版補訂版			edition_only
alo:book:isbn:9784324110492	2021年11月			2021年11月	date_only
alo:book:isbn:9784324110867	第3版	第3版			edition_only
alo:book:isbn:9784324110874	第3版	第3版			edition_only
alo:book:isbn:9784324113127	第3版	第3版			edition_only
alo:book:isbn:9784324113554	2024年03月			2024年03月	date_only
alo:book:isbn:9784324113561	2024年04月			2024年04月	date_only
alo:book:isbn:9784324113622	改訂版	改訂版			edition_only
alo:book:isbn:9784324114148	第7版	第7版			edition_only
alo:book:isbn:9784324114155	第7版	第7版			edition_only
alo:book:isbn:9784324114162	[N/A]				na_placeholder
alo:book:isbn:9784324114179	[N/A]				na_placeholder
alo:book:isbn:9784324114186	[N/A]				na_placeholder
alo:book:isbn:9784326403059	第2版	第2版			edition_only
alo:book:isbn:9784326403066	第2版	第2版			edition_only
alo:book:isbn:9784326404322	第1刷		第1刷		printing_only
alo:book:isbn:9784335304552	第2版	第2版			edition_only
alo:book:isbn:9784335315602	第13版	第13版			edition_only
alo:book:isbn:9784335354083	2007年12月			2007年12月	date_only
alo:book:isbn:9784335355608	第3版	第3版			edition_only
alo:book:isbn:9784335355738	第2版	第2版			edition_only
alo:book:isbn:9784335356025	[N/A]				na_placeholder
alo:book:isbn:9784335357510	第6版	第6版			edition_only
alo:book:isbn:9784335357589	第4版	第4版			edition_only
alo:book:isbn:9784335358265	第3版	第3版			edition_only
alo:book:isbn:9784335358340	第2版	第2版			edition_only
alo:book:isbn:9784335359163	第3版	第3版			edition_only
alo:book:isbn:9784335359262	第5版	第5版			edition_only
alo:book:isbn:9784335359279	第4版補訂版	第4版補訂版			edition_only
alo:book:isbn:9784335360053	[N/A]				na_placeholder
alo:book:isbn:9784335360268	第3版	第3版			edition_only
alo:book:isbn:9784335360312	第5版	第5版			edition_only
alo:book:isbn:9784335360336	第1版	第1版			edition_only
alo:book:isbn:9784335360671	第1刷		第1刷		printing_only
alo:book:isbn:9784384047752	第1刷		第1刷		printing_only
alo:book:isbn:9784385137278	第2版	第2版			edition_only
alo:book:isbn:9784417013563	新版	新版			edition_only
alo:book:isbn:9784417014164	2006年07月			2006年07月	date_only
alo:book:isbn:9784417014478	[N/A]				na_placeholder
alo:book:isbn:9784417014706	改訂版	改訂版			edition_only
alo:book:isbn:9784417014713	第三版	第三版			edition_only
alo:book:isbn:9784417015543	第三版	第三版			edition_only
alo:book:isbn:9784417015697	新版	新版			edition_only
alo:book:isbn:9784417017547	第2版	第2版			edition_only
alo:book:isbn:9784417017981	第3版第1刷	第3版	第1刷		edition_and_print
alo:book:isbn:9784417018025	2020年11月			2020年11月	date_only
alo:book:isbn:9784417018162	改訂版	改訂版			edition_only
alo:book:isbn:9784417018179	改訂版	改訂版			edition_only
alo:book:isbn:9784417018506	2023年01月			2023年01月	date_only
alo:book:isbn:9784417018551	第2版	第2版			edition_only
alo:book:isbn:9784417018575	2023年07月			2023年07月	date_only
alo:book:isbn:9784417018698	第1刷		第1刷		printing_only
alo:book:isbn:9784417018957	第3版	第3版			edition_only
alo:book:isbn:9784417076380	改訂版	改訂版			edition_only
alo:book:isbn:9784419049621	初版第1刷	初版	第1刷		edition_and_print
alo:book:isbn:9784419066079	第2版	第2版			edition_only
alo:book:isbn:9784419067519	第2版	第2版			edition_only
alo:book:isbn:9784419067663	第11版	第11版			edition_only
alo:book:isbn:9784433631468	第4刷		第4刷		printing_only
alo:book:isbn:9784433744137	第8版	第8版			edition_only
alo:book:isbn:9784433746032	第4版	第4版			edition_only
alo:book:isbn:9784433762445	第5版	第5版			edition_only
alo:book:isbn:9784433775124	第4版	第4版			edition_only
alo:book:isbn:9784474010383	第2版	第2版			edition_only
alo:book:isbn:9784474019467	第2版	第2版			edition_only
alo:book:isbn:9784474025592	[N/A]				na_placeholder
alo:book:isbn:9784474032941	初版第2刷	初版	第2刷		edition_and_print
