self_bib_id	self_isbn	self_ndl	bencom_bib_id	bencom_collision	self_title
alo:book:isbn:9784000248914	9784000248914	030319038	NOBN_20200414_民法改正と不法行為_01	1	民法改正と不法行為
alo:book:isbn:9784000613316	9784000613316	029525284	NOBN_20190327_最高裁に告ぐ_01	1	最高裁に告ぐ
alo:book:isbn:9784000615525	9784000615525	032285254	NOBN_20220818_金融危機と倒産法制_01	1	金融危機と倒産法制
alo:book:isbn:9784004312666	9784004312666	000010999562	NOBN_20100917_知的財産法入門_01	1	知的財産法入門
alo:book:isbn:9784004318095	9784004318095	030023781	NOBN_20191120_AIの時代と法_01	1	AIの時代と法
alo:book:isbn:9784004319733	9784004319733	032774348	NOBN_20230519_敵対的買収とアクティビスト_01	1	敵対的買収とアクティビスト
alo:book:isbn:9784130311908	9784130311908	028507535	NOBN_20170929_要説_中国法_01	1	要説中国法
alo:book:isbn:9784130323758	9784130323758	026499710	NOBN_20150630_国際経済法_01	1	国際経済法
alo:book:isbn:9784130323833	9784130323833	024920300	NOBN_20131025_例解_行政法_01	1	例解行政法
alo:book:isbn:9784130361484	9784130361484	027236421	NOBN_20160425_英米民事訴訟法_01	1	英米民事訴訟法
alo:book:isbn:9784260048064	9784260048064	031981292	NOBN_20220215_トラブルを未然に防ぐカルテの書き方_01	1	トラブルを未然に防ぐカルテの書き方
alo:book:isbn:9784260053198	9784260053198	032994223	NOBN_20230901_職場のメンタルヘルスケア入門_01	1	職場のメンタルヘルスケア入門
alo:book:isbn:9784313313996	9784313313996	027824223	NOBN_20170118_企業を守る_ネット炎上対応の実務_01	1	企業を守るネット炎上対応の実務
alo:book:isbn:9784313314108	9784313314108	027993438	NOBN_20170302_男性のための離婚の法律相談_01	1	男性のための離婚の法律相談
alo:book:isbn:9784313314146	9784313314146	027959997	NOBN_20170216_若手法律家のための和解のコツ_01	1	若手法律家のための和解のコツ
alo:book:isbn:9784313314191	9784313314191	031927469	NOBN_20220201_裁判例にみる交通事故の刑事処分・量刑判断_01	1	裁判例にみる交通事故の刑事処分・量刑判断
alo:book:isbn:9784313314245	9784313314245	033100557	NOBN_20231020_事例でわかる_リアル破産事件処理_01	1	事例でわかるリアル破産事件処理
alo:book:isbn:9784313511606	9784313511606	027279491	NOBN_20160518_若手法律家のための法律相談入門_01	1	若手法律家のための法律相談入門
alo:book:isbn:9784313511637	9784313511637	028486597	NOBN_20170920_裁判官はこう考える_弁護士はこう実践する_民事裁判手続_01	1	裁判官はこう考える弁護士はこう実践する民事裁判手続
alo:book:isbn:9784313511699	9784313511699	029753789	NOBN_20190704_実践!!_業務委託契約書審査の実務_01	1	実践!!業務委託契約書審査の実務
alo:book:isbn:9784313511705	9784313511705	029985947	NOBN_20191010_若手法律家のための民事尋問戦略_01	1	若手法律家のための民事尋問戦略
alo:book:isbn:9784313511729	9784313511729	030085378	NOBN_20191130_実践!!_秘密保持契約書審査の実務_01	1	実践!!秘密保持契約書審査の実務
alo:book:isbn:9784313511767	9784313511767	032380672	NOBN_20160518_若手法律家のための法律相談入門_01	1	若手法律家のための法律相談入門
alo:book:isbn:9784313511873	9784313511873	031372935	NOBN_20210416_中小企業の残業代紛争_使用者側の実務_01	1	中小企業の残業代紛争使用者側の実務
alo:book:isbn:9784313511880	9784313511880	031372936	NOBN_20210416_QAでわかる_業種別_下請法の実務_01	1	Q&Aでわかる業種別下請法の実務
alo:book:isbn:9784313511897	9784313511897	032429593	NOBN_20221025_マンガ_弁護士のための史上最悪の離婚事件_01	1	マンガ弁護士のための史上最悪の離婚事件
alo:book:isbn:9784313511903	9784313511903	031927470	NOBN_20220201_新人弁護士カエデ、行政法に挑む_01	1	新人弁護士カエデ、行政法に挑む
alo:book:isbn:9784313511941	9784313511941	032427617	NOBN_20221025_改正民法による相隣関係の実務_01	1	改正民法による相隣関係の実務
alo:book:isbn:9784313511996	9784313511996	032730556	NOBN_20230407_法律知識なしでも読める_法務担当の契約書審査の基本_01	1	法律知識なしでも読める法務担当の契約書審査の基本
alo:book:isbn:9784313512047	9784313512047	033001026	NOBN_20230901_こんなときどうする_法律家の依頼者対応_01	1	こんなときどうする法律家の依頼者対応
alo:book:isbn:9784313512115	9784313512115	033417508	NOBN_20240419_若手弁護士のための相談・受任・解決トラブル回避術_01	1	若手弁護士のための相談・受任・解決トラブル回避術
alo:book:isbn:9784322121346	9784322121346	023782374	NOBN_20120730_一問一答_改正資産流動化法_01	1	一問一答改正資産流動化法
alo:book:isbn:9784322130133	9784322130133	027464906	NOBN_20160721_詳解_保険業法_01	1	詳解保険業法
alo:book:isbn:9784322132274	9784322132274	028597396	NOBN_20171122_新債権法下の債権管理回収実務QA_01	1	新債権法下の債権管理回収実務Q&A
alo:book:isbn:9784322132915	9784322132915	029060752	NOBN_20180720_実務必携_信用金庫法_01	1	実務必携信用金庫法
alo:book:isbn:9784322141542	9784322141542	032157383	NOBN_20220531_ストーリー法人破産申立て_01	1	ストーリー法人破産申立て
alo:book:isbn:9784324109489	9784324109489	031363079	NOBN_20210401_実務が変わる!_QA民事裁判手続IT化_01	1	実務が変わる!Q&A民事裁判手続IT化
alo:book:isbn:9784324110119	9784324110119	031486702	NOBN_20210601_新旧対照解説_改正民法・不動産登記法_01	1	新旧対照解説改正民法・不動産登記法
alo:book:isbn:9784324110430	9784324110430	031635444	NOBN_20210901_使用貸借の法律と実務_01	1	使用貸借の法律と実務
alo:book:isbn:9784324111956	9784324111956	032333774	NOBN_20220901_労働災害の法律実務_01	1	労働災害の法律実務
alo:book:isbn:9784326402847	9784326402847	024687724	NOBN_20130701_電子商取引法_01	1	電子商取引法
alo:book:isbn:9784326402960	9784326402960	025978347	NOBN_20150101_著作権法概論_01	1	著作権法概論
alo:book:isbn:9784326403271	9784326403271	028298201	NOBN_20170601_金融から学ぶ会社法入門_01	1	金融から学ぶ会社法入門
