self_isbn	bencom_bib_id	edition_risk_flag	sample_stratum	self_all_count	self_d1_count	bencom_d1_count	v10_jaccard_all	v11_jaccard_d1	v12_containment	notes
9784004312666	NOBN_20100917_知的財産法入門_01	1	collision_priority	47	47	12	0.204082	0.204082	0.833333	
9784313511606	NOBN_20160518_若手法律家のための法律相談入門_01	1	collision_priority	63	9	11	0.138462	0.818182	0.818182	
9784313511767	NOBN_20160518_若手法律家のための法律相談入門_01	1	collision_priority	79	79	11	0.046512	0.046512	0.363636	
9784417015185	NOBN_20160530_独占禁止法の法律相談_01	1	collision_priority							no_box_file
9784417016472	NOBN_20171120_建築訴訟_01	1	collision_priority	139	10	10	0.027586	0.25	0.4	
9784417016847	NOBN_20160530_独占禁止法の法律相談_01	1	collision_priority	414	7	8	0.014423	0.666667	0.75	
9784417018209	NOBN_20211130_倒産法_01	1	collision_priority	8	8	12	0.333333	0.333333	0.625	
9784492533680	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	1	collision_priority	5	5	13	0.0	0.0	0.0	
9784492533987	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	1	collision_priority	148	12	13	0.025478	0.190476	0.307692	
9784492534397	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	1	collision_priority							no_box_file
9784502314612	NOBN_20190902_海外子会社リーガルリスク管理の実務_01	1	collision_priority	169	5	6	0.011561	0.222222	0.333333	
9784502516016	NOBN_20190902_海外子会社リーガルリスク管理の実務_01	1	collision_priority	85	85	6	0.022472	0.022472	0.333333	
9784502951909	NOBN_20100917_知的財産法入門_01	1	collision_priority							no_box_file
9784532111083	NOBN_20201201_倒産法入門_01	1	collision_priority							no_box_file
9784535511088	NOBN_20220331_初歩からはじめる物権法_01	1	collision_priority	189	18	19	0.089005	0.85	0.894737	
9784535516595	NOBN_20170929_契約法_01	1	collision_priority	186	7	6	0.015873	0.3	0.5	
9784535518629	NOBN_20120425_判例特別刑法_01	1	collision_priority	270	16	18	0.024911	0.259259	0.388889	
9784535522879	NOBN_20180220_刑事法廷弁護技術_01	1	collision_priority	15	15	20	0.75	0.75	1.0	
9784535525573	NOBN_20120425_判例特別刑法_01	1	collision_priority	54	54	18	0.0	0.0	0.0	
9784535527966	NOBN_20180220_刑事法廷弁護技術_01	1	collision_priority	16	16	20	0.8	0.8	1.0	
9784535806634	NOBN_20170929_契約法_01	1	collision_priority	22	22	6	0.037037	0.037037	0.166667	
9784535806870	NOBN_20201218_担保物権法_01	1	collision_priority	5	5	14	0.0	0.0	0.0	
9784641137769	NOBN_20201218_担保物権法_01	1	collision_priority	16	16	14	0.0	0.0	0.0	
9784641150539	NOBN_20211130_倒産法_01	1	collision_priority	22	22	12	0.0	0.0	0.0	
9784766421637	NOBN_20140920_災害復興法学_01	1	collision_priority	88	88	9	0.077778	0.077778	0.777778	
9784766429183	NOBN_20140920_災害復興法学_01	1	collision_priority	26	26	9	0.0	0.0	0.0	
9784797211634	NOBN_20201218_担保物権法_01	1	collision_priority	186	15	14	0.015228	0.115385	0.214286	
9784817842480	NOBN_20150914_デジタル証拠の法律実務_QA_01	1	collision_priority	68	14	15	0.185714	0.8125	0.866667	
9784817842824	NOBN_20160129_信託の理論と実務入門_01	1	collision_priority	411	8	10	0.016908	0.636364	0.7	
9784817845757	NOBN_20190701_広告法律相談125問_01	1	collision_priority	173	26	16	0.005319	0.02439	0.0625	
9784817846730	NOBN_20160129_信託の理論と実務入門_01	1	collision_priority	127	5	10	0.014815	0.153846	0.2	
9784817848109	NOBN_20190701_広告法律相談125問_01	1	collision_priority	416	0	16	0.023697		0.625	
9784817849045	NOBN_20150914_デジタル証拠の法律実務_QA_01	1	collision_priority	83	83	15	0.010309	0.010309	0.066667	
9784817849168	NOBN_20190701_広告法律相談125問_01	1	collision_priority	41	41	16	0.0	0.0	0.0	
9784865565263	NOBN_20171120_建築訴訟_01	1	collision_priority	26	26	10	0.0	0.0	0.0	
9784897617060	NOBN_20180702_実務に即した労災認定の考え方と申請のポイント_01	1	collision_priority	61	61	14	0.102941	0.102941	0.5	
9784897619057	NOBN_20180702_実務に即した労災認定の考え方と申請のポイント_01	1	collision_priority	74	74	14	0.060241	0.060241	0.357143	
9784532113506	NOBN_20201201_倒産法入門_01	1	collision_priority							no_box_file
9784535514751	NOBN_20220331_初歩からはじめる物権法_01	1	collision_priority							no_box_file
9784641243422	NOBN_20100917_知的財産法入門_01	1	collision_priority	0	0	12				
9784771035997	NOBN_20220310_アジア労働法入門_01	0	clean_random	21	21	24	0.097561	0.097561	0.190476	
9784803724912	NOBN_20190215_取調べハンドブック_01	0	clean_random	9	9	7	0.142857	0.142857	0.285714	
9784502364013	NOBN_20201014_金融機関のための気候変動リスク管理_01	0	clean_random	211	10	7	0.013953	0.214286	0.428571	
9784539729649	NOBN_20230511_MAを成功に導く_中小企業のPMI実践マニュアル_01	0	clean_random	18	18	9	0.227273	0.227273	0.555556	
9784817847539	NOBN_20221101_QA_傷害・医療保険に関する法律と実務_01	0	clean_random	217	8	10	0.008889	0.125	0.2	
9784788285781	NOBN_20190528_不動産取引における_心理的瑕疵・環境瑕疵_対応のポイント_01	0	clean_random	112	4	5	0.026316	0.5	0.6	
9784502233210	NOBN_20170901_ステージ別ベンチャー企業の労務戦略_01	0	clean_random	102	7	8	0.057692	0.666667	0.75	
9784909712035	NOBN_20181029_詳説_個人情報保護法_01	0	clean_random	222	11	7	0.008811	0.125	0.285714	
9784788293632	NOBN_20240614_QA_未分割遺産の税務_01	0	clean_random							no_box_file
9784817842787	NOBN_20151216_一般社団法人・財団法人制度と登記の実務_01	0	clean_random	112	9	11	0.051282	0.428571	0.545455	
9784539729403	NOBN_20221220_事例分析による_税賠事故リスク回避マニュアル_01	0	clean_random	156	156	9	0.037736	0.037736	0.666667	
9784260048064	NOBN_20220215_トラブルを未然に防ぐカルテの書き方_01	0	clean_random	91	14	14	0.129032	0.75	0.857143	
9784863263406	NOBN_20230121_労働判例から経営を学ぶ15講_01	0	clean_random							no_box_file
9784788282124	NOBN_20170201_不動産明渡・引渡事件処理マニュアル_01	0	clean_random	183	14	10	0.015789	0.142857	0.3	
9784502514616	NOBN_20241108_幼保事業者の重大事故・不適切保育対応_01	0	clean_random	103	11	10	0.036697	0.235294	0.4	
9784326403363	NOBN_20170901_ファッションロー_01	0	clean_random	43	43	12	0.195652	0.195652	0.75	
9784641038905	NOBN_19980501_現代仲裁法の論点_01	0	clean_random	61	14	15	0.206349	0.8125	0.866667	
9784539729632	NOBN_20230303_はじめての法人税_01	0	clean_random	16	16	19	0.842105	0.842105	1.0	
9784502304118	NOBN_20190528_会社を伸ばす株主還元_01	0	clean_random	78	12	12	0.125	0.714286	0.833333	
9784817841995	NOBN_20141128_供託実務事例集_01	0	clean_random	383	37	38	0.093506	0.923077	0.947368	
9784589042231	NOBN_20220715_原理で学ぶ社会保障法_01	0	clean_random	12	12	7	0.0	0.0	0.0	
9784817844484	NOBN_20171214_先例から読み解く!土地の表示に関する登記の実務_01	0	clean_random	2	2	14	0.142857	0.142857	1.0	
9784326404261	NOBN_20230801_人事データ保護法入門_01	0	clean_random	48	48	14	0.215686	0.215686	0.785714	
9784417018629	NOBN_20230810_宗教法人の法律相談_01	0	clean_random	237	13	14	0.050209	0.8	0.857143	
9784502386213	NOBN_20210720_秘密保持契約・予備的合意書・覚書の法務と書式_01	0	clean_random	105	8	9	0.065421	0.7	0.777778	
9784589043801	NOBN_20250515_違法・不当な行政からの権利救済_01	0	clean_random	11	11	9	0.0	0.0	0.0	
9784335357770	NOBN_20190107_AI・HRテック対応_人事労務情報管理の法律実務_01	0	clean_random	212	212	17	0.060185	0.060185	0.764706	
9784897616650	NOBN_20170726_改正外国人技能実習制度の実務_01	0	clean_random	18	18	5	0.15	0.15	0.6	
9784539727645	NOBN_20200821_外国人雇用_はじめの一歩_01	0	clean_random	13	13	9	0.1	0.1	0.222222	
9784313314146	NOBN_20170216_若手法律家のための和解のコツ_01	0	clean_random	77	9	11	0.1	0.666667	0.727273	
9784417018674	NOBN_20231210_企業における裁判に負けないための契約条項の実務_01	0	clean_random	9	9	10	0.0	0.0	0.0	
9784502502217	NOBN_20240523_MAコンサルタントに必要な法務スキル_01	0	clean_random	389	9	11	0.023018	0.818182	0.818182	
9784641018389	NOBN_20160305_旅券法逐条解説_01	0	clean_random	1	1	5	0.0	0.0	0.0	
9784539729946	NOBN_20230820_小さな会社のたたみ方がサクッとわかる本_01	0	clean_random	139	139	10	0.034722	0.034722	0.5	
9784384049213	NOBN_20230930_事業者必携_最新_特定商取引法・景品表示法・個人情報保護法の法律入門_01	0	clean_random	7	7	11	0.636364	0.636364	1.0	
9784788282117	NOBN_20170201_説明義務の理論と実際_01	0	clean_random	38	10	11	0.225	0.75	0.818182	
9784502247712	NOBN_20180227_独占禁止法と損害賠償・差止請求_01	0	clean_random	398	8	9	0.0175	0.7	0.777778	
9784502245510	NOBN_20180427_新・センスのよい法律文章の書き方_01	0	clean_random	91	10	11	0.096774	0.75	0.818182	
9784535522909	NOBN_20200923_検証・自動車運転死傷行為等処罰法_01	0	clean_random	2	2	9	0.222222	0.222222	1.0	
9784502157110	NOBN_20150915_独占禁止法の手続と実務_01	0	clean_random	491	9	10	0.016227	0.727273	0.8	
9784788288331	NOBN_20210401_農地の承継・相続相談対応マニュアル_01	0	clean_random	162	4	5	0.018293	0.5	0.6	
9784817847089	NOBN_20210301_信託法からみた民事信託の手引き_01	0	clean_random	132	11	12	0.074627	0.769231	0.833333	
9784502501913	NOBN_20240912_ディープテック・スタートアップの知財・契約戦略_01	0	clean_random	192	11	11	0.030457	0.375	0.545455	
9784502409110	NOBN_20220125_医療機器ビジネスの法律実務_01	0	clean_random	73	13	14	0.16	0.8	0.857143	
9784589042033	NOBN_20220415_比較から読み解く日本国憲法_01	0	clean_random	174	10	11	0.027778	0.3125	0.454545	
9784897617299	NOBN_20190125_社労士のための_わかりやすい補佐人制度の解説_01	0	clean_random	78	78	7	0.036585	0.036585	0.428571	
9784817845597	NOBN_20190620_債権法改正と家庭裁判所の実務_01	0	clean_random	68	7	7	0.086957	0.75	0.857143	
9784492654941	NOBN_20221128_ベンチャーキャピタルの実務_01	0	clean_random	100	12	14	0.117647	0.857143	0.857143	
