rank	self_isbn	bencom_bib_id	edition_risk_flag	sample_stratum	self_real_count	bencom_d1_count	intersection	union	toc_agreement
1	9784539729632	NOBN_20230303_はじめての法人税_01	0	clean_random	16	19	16	19	0.842105
2	9784535525207	NOBN_20210520_新ケースでわかる民事訴訟法_01	0	clean_random	27	33	27	33	0.818182
3	9784535527966	NOBN_20180220_刑事法廷弁護技術_01	1	collision_priority	16	20	16	20	0.8
4	9784535528031	NOBN_20240930_契約法を考える_01	0	clean_random	34	38	32	40	0.8
5	9784535522879	NOBN_20180220_刑事法廷弁護技術_01	1	collision_priority	15	20	15	20	0.75
6	9784384049213	NOBN_20230930_事業者必携_最新_特定商取引法・景品表示法・個人情報保護法の法律入門_01	0	clean_random	7	11	7	11	0.636364
7	9784384049473	NOBN_20240920_事業者必携_入門図解_法人税・消費税のしくみと申告書の書き方_01	0	clean_random	6	10	6	10	0.6
8	9784797281118	NOBN_20220330_新聞記事と国際法の話_01	0	clean_random	21	20	15	26	0.576923
9	9784863263345	NOBN_20221026_協同労働入門_01	0	clean_random	8	7	4	7	0.571429
10	9784502427916	NOBN_20220609_デジタルヘルス事業参入の法務_01	0	clean_random	7	10	6	11	0.545455
11	9784589043597	NOBN_20250115_条約法_01	0	clean_random	9	15	8	16	0.5
12	9784539726266	NOBN_20180920_民泊3タイプ_開設・契約・運営とトラブル対策_01	0	clean_random	7	9	5	11	0.454545
13	9784539729250	NOBN_20230121_クラウド会計を活用した_電子帳簿保存法対応の実務_01	0	clean_random	3	7	3	7	0.428571
14	9784417018209	NOBN_20211130_倒産法_01	1	collision_priority	8	12	5	15	0.333333
