self_bib_id	self_isbn	bencom_bib_id	edition_risk_flag	sample_stratum	self_real_count	bencom_d1_count	intersection	union	jaccard_d1	toc_agreement	norm_title_version	self_parser_hash	notes
alo:book:isbn:9784004312666	9784004312666	NOBN_20100917_知的財産法入門_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784313511606	9784313511606	NOBN_20160518_若手法律家のための法律相談入門_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784313511767	9784313511767	NOBN_20160518_若手法律家のための法律相談入門_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784417015185	9784417015185	NOBN_20160530_独占禁止法の法律相談_01	1	collision_priority							v1.0		ERROR:no_box_file
alo:book:isbn:9784417016472	9784417016472	NOBN_20171120_建築訴訟_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784417016847	9784417016847	NOBN_20160530_独占禁止法の法律相談_01	1	collision_priority	494	8	6	416	0.014423	0.014423	v1.0	91e4a3bcfc397cf1	
alo:book:isbn:9784417018209	9784417018209	NOBN_20211130_倒産法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784492533680	9784492533680	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784492533987	9784492533987	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784492534397	9784492534397	NOBN_20150828_事業担当者のための逆引きビジネス法務ハンドブック_01	1	collision_priority							v1.0		ERROR:no_box_file
alo:book:isbn:9784502314612	9784502314612	NOBN_20190902_海外子会社リーガルリスク管理の実務_01	1	collision_priority	258	6	4	214	0.018692	0.018692	v1.0	40182e0e10a47070	
alo:book:isbn:9784502516016	9784502516016	NOBN_20190902_海外子会社リーガルリスク管理の実務_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784502951909	9784502951909	NOBN_20100917_知的財産法入門_01	1	collision_priority							v1.0		ERROR:no_box_file
alo:book:isbn:9784532111083	9784532111083	NOBN_20201201_倒産法入門_01	1	collision_priority							v1.0		ERROR:no_box_file
alo:book:isbn:9784535511088	9784535511088	NOBN_20220331_初歩からはじめる物権法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784535516595	9784535516595	NOBN_20170929_契約法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784535518629	9784535518629	NOBN_20120425_判例特別刑法_01	1	collision_priority	420	18	7	281	0.024911	0.024911	v1.0	9c9aebe4bb6d7932	
alo:book:isbn:9784535522879	9784535522879	NOBN_20180220_刑事法廷弁護技術_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784535525573	9784535525573	NOBN_20120425_判例特別刑法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784535527966	9784535527966	NOBN_20180220_刑事法廷弁護技術_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784535806634	9784535806634	NOBN_20170929_契約法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784535806870	9784535806870	NOBN_20201218_担保物権法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784641137769	9784641137769	NOBN_20201218_担保物権法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784641150539	9784641150539	NOBN_20211130_倒産法_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784766421637	9784766421637	NOBN_20140920_災害復興法学_01	1	collision_priority							v1.0		ERROR:fetch_failed:
alo:book:isbn:9784766429183	9784766429183	NOBN_20140920_災害復興法学_01	1	collision_priority							v1.0		ERROR:fetch_failed:
