hub_id	source_label	pointer_def	target_label	target_hub_id	target_hub_label	target_hub_status	resolved_def	resolved_def_quality	scheme_id	resolution_status
hub:000617	L/C	→信用状	信用状	hub:006848	信用状	canonical	letter of credit（L.C.）ので,銀行が輸入業者又は旅行者の依頼に応じて他の銀行に対してその信用を保証し,一定の条件の下に特定の金銭を支払うことを委嘱した証書をいう（外国為替及び外国貿易法6Ⅰ7等)．手形の引受け又は支払の保証を約束した証書をもってされることが多い。輸入業者のために発行するものを「商業信用状」，旅行者のために発行されるものを「旅行者信用状」といい，輸出業者又は海外旅行者の輸出に伴う対価又は旅行先で必要な資金の獲得を円滑にするため認められた制度である。\n[類語] 信任状 (吉)	ok	yuhikaku_legal_dict	resolved
hub:002713	グリーン契約	→環境配慮契約	環境配慮契約	hub:001487	環境配慮契約	canonical	製品やサービスを調達する際に、環境負荷ができるだけ少なくなるよう、価格に加えて環境性能を評価する等の工夫をした契約。通称、グリーン契約。環境配慮契約の推進に関し、国、地方公共団体等の責務を明らかにするとともに、基本方針の策定その他必要な事項を定めること等を規定した「国等における温室効果ガス等の排出の削減に配慮した契約の推進に関する法律」（平一九法五六）が制定されている。	ok	yuhikaku_legal_dict	resolved
hub:008143	ダンピング関税	↳不当廉売関税	不当廉売関税	hub:010628	不当廉売関税	canonical	関税定率法に定める特殊な関税の一つで、不当廉売（貨物を、輸出国国内正常価格等より低い価格で輸出のために販売すること）された貨物の輸入が国内産業に実質的な損害を与える場合等において、国内産業の保護のため必要があると認められるときに、貨物、輸出国及び期間を指定し、当該貨物に対し、一般的に課される関税のほかに、当該貨物の正常価格と不当廉売価格との差額に相当する額と同額以下の関税を課するもの（八）。反ダンピング関税又はダンピング防止関税ともいわれる。	ok	yuhikaku_legal_dict	resolved
hub:009458	トンチン年金	→年金公債	年金公債	hub:009737	年金公債	canonical	公債の一種であって、購入者に対しては、元本の償還をせず、その者の生存を条件として、利子を年金の形で支払っていくもの。購入者は、年齢層ごとにグループ分けされ、それぞれのグループに対して毎年一定額の年金が支給されるため、グループの構成員の減少に伴い、生存者の受け取る年金は増加することとなる。一七～一八世紀のフランスで発行された例がある（トンチン年金）。	ok	yuhikaku_legal_dict	resolved
hub:010719	プロ向け市場	↳特定投資家	特定投資家	hub:009176	特定投資家	canonical	金融商品取引法は、投資家を特定投資家（いわゆるプロ投資家）と一般投資家（いわゆるアマ投資家）に区分し、この区分に応じて金融商品取引業者等が金融商品取引契約の締結等を行う際の行為規制の適用に差を設けることにより、規制の柔軟化を図っている。適格機関投資家、国、日本銀行、投資者保護基金、上場会社等が特定投資家とされ、このうち、投資者保護基金、上場会社等は、選択により一般投資家への移行が認められている（金商二㊱・四五、金商定義一〇・二三）。なお、参加者が特定投資家に限定され、開示規制等が緩和された一定の取引所市場を特定取引所金融商品市場（いわゆるプロ向け市場）という（金商二七の二）。	ok	yuhikaku_legal_dict	resolved
hub:011467	マッカーサー書簡	↓							yuhikaku_legal_dict	broken_no_target
hub:000286	一般失踪	→普通失踪	普通失踪	hub:010547	普通失踪	canonical	人の所在及び生死不明の原因が死亡の蓋然性の高い特別の事情による場合でないもの。不在者の最後の音信があったときから七年（民三〇①）を経過したときに死亡したものとみなされる。一般失踪ともいう。	ok	yuhikaku_legal_dict	resolved
hub:012597	一般承継人	「承継」	承継	hub:006156	承継	canonical	法令上，ある者が他の者の権利義務を受け継ぎ，法律上その権利義務に関してその者と同じ地位に立つことをいう．民法896条（相続人の被相続人の財産に属した権利義務の承継）・897条（祭具等の承継）・120条（承継人)，会社法750条（吸収合併により消滅した会社の権利義務の承継)，民事訴訟法50条（義務の承継）・83条（承継人)，等の例がある。なお，訴訟手続又はこれに準ずるものについては,「受継」の用語が用いられることがある（民事訴訟法124条以下，労働保険審査官及び労働保険審査会法17条等)．\n\n類語: 継承 - 受継(口)	ok	hourei_yougo_jiten_11	resolved
hub:000313	一般放送事業者	↳放送事業者	放送事業者	hub:011011	放送事業者	canonical	放送事業者とは，基幹放送事業者及び一般放送事業者をいう(放送法2 XXVI).基幹放送事業者とは，基幹放送の業務を行うものとして同法93条1項の認定を受けた者（認定基幹放送事業者）及び電波法の規定により自己の地上基幹放送の業務に用いる放送局の免許を受けた者（特定地上基幹放送事業者）をいい(放送法2 XXIII)，一般放送事業者とは，一般放送の業務を行うものとして，放送法126条1項の登録を受けた者及び同法133条1項の規定による届出をした者をいう（同法2 XXV).\n\n放送事業者には，日本放送協会及び放送大学学園が含まれる。日本放送協会は，公共の福祉のためにあまねく日本全国において受信できるように放送を行うこと等を目的として放送法により設立された法人で（同法15・16)，ラジオ放送，テレビジョン放送等による国内放送のほか，国際放送を行っており，その経営財源は，視聴者の負担する受信料によっている．放送大学学園は，その設置する大学における教育に必要な放送を衛星基幹放送（人工衛星の放送局を用いて行われる基幹放送）により行っている．上記二者以外の放送事業者は，一般に民間放送と呼ばれ，広告収	ok	yuhikaku_legal_dict	resolved
hub:000288	一般管轄権	→特別管轄権	特別管轄権	hub:009204	特別管轄権	canonical	国際民事訴訟法理論上、ある事件についてある国の裁判機関が裁判管轄権をもつことを前提として、当該国のいずれの地方の裁判所が管轄権を有することとなるかの問題における管轄権を指し、国内的管轄権ともいう。これに対し、その前提となった、どの国の裁判機関が裁判管轄権を持つかの問題における管轄権は、一般管轄権あるいは国際的管轄権と称される。	ok	yuhikaku_legal_dict	resolved
