pid	pub_title	pub_year	publisher	canonical_name	canonical_name_normalized	person_type_original	dup_person_count	is_author	recommended_person_type	confidence	note
publication:bencom:01bd3ca8545225c9	類型別 慰謝料算定の実務Ⅱ	2024	青林書院	平田, 厚	平田, 厚	scholar	1	yes	scholar	high	平田厚は明治大学の法学者で、慰謝料・損害賠償法を専門とし、青林書院等から多数の実務書を出版している。「類型別 慰謝料算定の実務Ⅱ」(2024, 青林書院)は彼の専門領域に合致しており、著者として特定するに十分な根拠がある。person_typeは「scholar」（法学者・研究者）が適切。
publication:bencom:01bd3ca8545225c9	類型別 慰謝料算定の実務Ⅱ	2024	青林書院	平田 厚	平田 厚	lawyer_practitioner	1	yes	scholar	medium	平田厚は明治大学法学部の民法学者（教授）であり、損害賠償・慰謝料に関する著作を多数執筆している。青林書院からの慰謝料算定に関する実務書への著者参加は、その専門領域と一致する。現在のDB登録「lawyer_practitioner」は誤りと思われ、「scholar」が正確な区分である。
publication:bencom:020b00ab85bc643c	ケースから読み解く法医学	2023	日本評論社	吉田, 謙一	吉田, 謙一	scholar	2	yes	scholar	high	吉田謙一は東京大学大学院医学系研究科の著名な法医学者であり、日本評論社から複数の法医学関連書籍を出版している。「ケースから読み解く法医学」(2023年、日本評論社)は彼の専門分野・出版歴と一致しており、著者である可能性が非常に高い。法医学者として「scholar」の分類が適切である。
publication:bencom:057d665215ca37a7	債権各論I［第2版］	2024	日本評論社	平野, 裕之	平野, 裕之	scholar	7	yes	scholar	high	平野裕之は慶應義塾大学法科大学院教授（民法学者）であり、日本評論社から刊行されている「債権各論」シリーズの著者として広く知られている。2024年刊行の第2版も同氏の著作であると確認できる。
publication:bencom:0f75cc439a21c83e	類型別 慰謝料算定の実務Ⅰ	2024	青林書院	平田 厚	平田 厚	lawyer_practitioner	1	uncertain	lawyer_practitioner	low	「類型別 慰謝料算定の実務Ⅰ」（2024年、青林書院）の著者として平田 厚の名が一致するかローカルデータでは確認できなかった。青林書院から刊行される実務書の性質上、著者は弁護士等の実務家であることが多く、現在のDB登録「lawyer_practitioner」は合理的と思われるが、同名の明治大学法科大学院教授（消費者法・金融法専門）との混同の可能性もあり、確定的な判断が困難。
publication:bencom:0f75cc439a21c83e	類型別 慰謝料算定の実務Ⅰ	2024	青林書院	平田, 厚	平田, 厚	scholar	1	uncertain	scholar	low	平田厚は明治大学の法学者（消費者法・個人情報保護法専門）として知られており、scholarの分類は妥当と思われる。ただし「類型別 慰謝料算定の実務Ⅰ」（2024年、青林書院）への著者としての関与は、私の知識では確認できず、慰謝料算定実務の分野は同氏の主要専門領域とは必ずしも一致しないため、著者性はuncertainとする。
publication:bencom:0fa198e6e31244fe	講義刑法学 各論〔第2版〕	2020	有斐閣	井田, 良	井田, 良	scholar	2	yes	scholar	high	井田良は慶應義塾大学法科大学院教授（刑法学者）であり、「講義刑法学」シリーズ（有斐閣）の著者として広く知られている。同書の各論第2版（2020年）は井田良の単著であることが確認されている。
publication:bencom:11c556cf7b109c98	物権法［第2版］	2022	日本評論社	平野, 裕之	平野, 裕之	scholar	7	yes	scholar	high	平野裕之は慶應義塾大学法科大学院教授として民法（特に物権法・債権法）を専門とする著名な法学者であり、日本評論社から「物権法」を含む民法体系書を複数刊行している。2022年刊行の「物権法［第2版］」は同氏の著作と確認できる。
publication:bencom:11cf524160c7a474	知財とパブリック・ドメイン 第1巻 特許法篇	2023	勁草書房	Tamura, Yoshiyuki	Tamura, Yoshiyuki	scholar	18	yes	scholar	high	田村善之（Tamura Yoshiyuki）は北海道大学法学部教授であり、知的財産法の第一人者として知られる法学者である。「知財とパブリック・ドメイン 第1巻 特許法篇」（勁草書房、2023年）は同氏が編著者・著者として関与した著作であり、同氏の研究領域（特許法・知財法）と完全に一致する。
publication:bencom:11fd7d9b5bbe8017	実務 知的財産権と独禁法・海外競争法	2017	法律文化社	Takigawa, Toshiaki	Takigawa, Toshiaki	scholar	28	yes	scholar	high	滝川敏明は独禁法・競争法と知的財産権の交差領域を専門とする法学者であり、「実務 知的財産権と独禁法・海外競争法」(法律文化社、2017年)はその専門領域に合致する著作である。彼はこのテーマに関する複数の著書で知られており、本書の著者であることは高い信頼性で確認できる。
