pid	title	year	publisher	canonical_name	catalog_author_raw	name_match_type	resolved_verdict	evidence_basis	confidence
publication:bencom:0f75cc439a21c83e	類型別 慰謝料算定の実務Ⅰ	2024	青林書院	平田 厚	平田厚	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:0f75cc439a21c83e	類型別 慰謝料算定の実務Ⅰ	2024	青林書院	平田, 厚	平田厚	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:129f1ddedb2ed959	環境法の考えかたⅠ	2017	慶應義塾大学出版会	六車, 明	六車 明	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:129f1ddedb2ed959	環境法の考えかたⅠ	2017	慶應義塾大学出版会	六車明	六車 明	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:138bfedecc880474	環境法の考えかたⅡ	2017	慶應義塾大学出版会	六車, 明	六車 明	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:138bfedecc880474	環境法の考えかたⅡ	2017	慶應義塾大学出版会	六車明	六車 明	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:1c6d224e1172f23e	行政法II	2024	日本評論社	Okada, Masanori	岡田正則	romaji_transliteration	yes	bencom_catalog_author + verified romaji↔kanji	high
publication:bencom:22f8f0ba0505f04e	契約法を考える	2024	日本評論社	Yamashiro, Kazuma	山城一真	romaji_transliteration	yes	bencom_catalog_author + verified romaji↔kanji	high
publication:bencom:2375b5abd339d559	民法改正と売買における契約不適合給付	2020	法律文化社	古谷, 貴之	古谷貴之	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:326ff521e3006ba3	弁護士・臨床心理士の両視点にみる 面会交流	2023	新日本法規出版	小林 哲平	小林哲平	kanji_exact	yes	bencom_catalog_author + exact name match	high
publication:bencom:341c4fa78765707c	会社法のファイナンスとM&A	2017	法律文化社	Hatada, Komei	畠田公明	romaji_transliteration	yes	bencom_catalog_author + verified romaji↔kanji	high
