publication_id	original_title	publication_year	publisher	parse_method	recommended_container_title	recommended_volume	recommended_issue	recommended_publication_type	confidence	notes
publication:bencom:56740eec32d97d66	BUSINESS LAW JOURNAL 2019年10月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年10月号	journal_issue	high	
publication:bencom:da66a895ea51bc24	BUSINESS LAW JOURNAL 2019年11月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年11月号	journal_issue	high	
publication:bencom:1660f1d380dbb2ff	BUSINESS LAW JOURNAL 2019年12月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年12月号	journal_issue	high	
publication:bencom:aeeb4cde0732c690	BUSINESS LAW JOURNAL 2019年1月号	2018	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年1月号	journal_issue	high	
publication:bencom:0e7843faf25fce8b	BUSINESS LAW JOURNAL 2019年2月号	2018	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年2月号	journal_issue	high	
publication:bencom:1828f5ff91445d86	BUSINESS LAW JOURNAL 2019年3月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年3月号	journal_issue	high	
publication:bencom:97fd5a0b941098e8	BUSINESS LAW JOURNAL 2019年4月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年4月号	journal_issue	high	
publication:bencom:6615e1f8f7a6223f	BUSINESS LAW JOURNAL 2019年5月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年5月号	journal_issue	high	
publication:bencom:9172bcad04086e5d	BUSINESS LAW JOURNAL 2019年6月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年6月号	journal_issue	high	
publication:bencom:4a9c849119f0f609	BUSINESS LAW JOURNAL 2019年7月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年7月号	journal_issue	high	
publication:bencom:fd2e216cc5117947	BUSINESS LAW JOURNAL 2019年8月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年8月号	journal_issue	high	
publication:bencom:d2b457b962a573af	BUSINESS LAW JOURNAL 2019年9月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2019年9月号	journal_issue	high	
publication:bencom:7c41609a820253ad	BUSINESS LAW JOURNAL 2020年1月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2020年1月号	journal_issue	high	
publication:bencom:b30ba3881de7831a	BUSINESS LAW JOURNAL 2020年2月号	2019	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2020年2月号	journal_issue	high	
publication:bencom:d0c14cacdc04175d	BUSINESS LAW JOURNAL 2020年3月号	2020	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2020年3月号	journal_issue	high	
publication:bencom:314225c2645ad30f	BUSINESS LAW JOURNAL 2020年4月号	2020	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2020年4月号	journal_issue	high	
publication:bencom:7497aece972914b8	BUSINESS LAW JOURNAL 2020年5月号	2020	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2020年5月号	journal_issue	high	
publication:bencom:6bd2b803da3e52a1	BUSINESS LAW JOURNAL 2020年6月号	2020	レクシスネクシス・ジャパン	monthly_issue	BUSINESS LAW JOURNAL		2020年6月号	journal_issue	high	
publication:bencom:8ac6c7a2c7f9cbf4	JCAジャーナル 2015年10月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年10月号	journal_issue	high	
publication:bencom:3f03c95a75f7847d	JCAジャーナル 2015年11月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年11月号	journal_issue	high	
publication:bencom:c09b47e0fba66d01	JCAジャーナル 2015年12月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年12月号	journal_issue	high	
publication:bencom:daecb704074e3300	JCAジャーナル 2015年1月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年1月号	journal_issue	high	
publication:bencom:f7f24d2c79ce1c37	JCAジャーナル 2015年2月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年2月号	journal_issue	high	
publication:bencom:c3b996e93eddd596	JCAジャーナル 2015年3月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年3月号	journal_issue	high	
publication:bencom:fcf4d79e1faef7a7	JCAジャーナル 2015年4月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年4月号	journal_issue	high	
publication:bencom:957d9cfd0a0846d5	JCAジャーナル 2015年5月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年5月号	journal_issue	high	
publication:bencom:4fb2088181b6bd8b	JCAジャーナル 2015年6月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年6月号	journal_issue	high	
publication:bencom:fcdc0710fd25d303	JCAジャーナル 2015年7月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年7月号	journal_issue	high	
publication:bencom:b034ff1d8efb6e97	JCAジャーナル 2015年8月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年8月号	journal_issue	high	
publication:bencom:b45b8dd193f934e7	JCAジャーナル 2015年9月号	2015	日本商事仲裁協会	monthly_issue	JCAジャーナル		2015年9月号	journal_issue	high	
publication:bencom:9efa3366869d386f	JCAジャーナル 2016年10月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年10月号	journal_issue	high	
