pid	title	year	publisher	verdict	confidence	reason
publication:bencom:154b3418cd9afaba	「逃げ得」を許さない交通事件捜査〔第2版〕	2011	立花書房	book	high	タイトルに版表示〔第2版〕があり、号数表記(◯年◯月号、第◯巻第◯号、通巻など)や定期刊行物名を含まない。立花書房刊行の交通事件捜査に関する実務書(単行本)であり、定期刊行物の一号ではない。既存メモのjournal_issue分類は誤り。
publication:bencom:718788a090ffd0a0	【創刊800号記念】時をかける判例	2021	日本評論社	journal_issue	high	「創刊800号記念 時をかける判例 1956〜2021年」は、日本評論社の定期刊行物『法学セミナー』が通巻800号(2021年9月号)を迎えたことを記念した特集タイトルである。複数の著者による各法分野の判例論文を集めた雑誌の一号そのものであり、単行本ではない。「創刊800号」という号数表記と定期刊行物(法学セミナー)を含み、journal_issueの基準に合致する。既存メモの「misclassified_as_journal_issue」は誤りで、元のjournal_issue分類が正しい。
publication:bencom:f79c6ad32720ae6f	2016年改正刑事訴訟法・通信傍受法条文解析	2017	日本評論社	book	high	タイトル「2016年改正刑事訴訟法・通信傍受法条文解析」は特定法令の改正条文を逐条解析するコンメンタール型の単行書であり、定期刊行物名や号数表記(年月号・巻号・通巻・創刊号等)が一切ない。日本評論社2017年刊の実務解説書と判断でき、既存メモの「journal_issueに誤分類」とも整合する。よってbook。
publication:bencom:16b728fcff9ef3cd	Law & Technology107号 「《座談会》知的財産制度改革20年の歩みと今後の展望」特別公開版	2025	民事法研究会	book	medium	タイトルは雑誌名「Law & Technology」+号数「107号」だが、実体は同号掲載の単一記事《座談会》知的財産制度改革20年の歩みと今後の展望」の「特別公開版」であり、定期刊行物の一号そのものではなく単発記事の独立刊行物。既存メモも misclassified_as_journal_issue とし雑誌号扱いを否定している。雑誌の一号全体を指すのではなく単一コンテンツの特別版のため book と判定。ただし雑誌名+号数を含むため medium。
publication:bencom:300dc818f0a3c5ca	Q&A 実例 交通事件捜査における現場の疑問〔第2版〕	2017	立花書房	book	high	「Q&A 実例」形式の交通事件捜査の実務解説書であり、版表示〔第2版〕を持つ。定期刊行物名や号数表記(○年○月号、第N巻第N号、通巻等)がなく、立花書房刊行の単行本(実務書)である。既存メモの「雑誌の号として誤分類」は誤りで、bookが正しい。
publication:bencom:85e7f4d00da128fc	Q&A 実例 取調べの実際	2011	立花書房	book	high	国立国会図書館サーチ・CiNii図書・各書店で単行本(ISBN 9784803724660、201頁、水野谷幸夫・城祐一郎著)として登録された実務書。号数表記や定期刊行物名はなく、後に「取調べハンドブック」へ改訂・刊行された体系的実務書である。既存メモ通り誤分類で、bookが正しい。
publication:bencom:d2015d6bc8321b37	Ｑ＆Ａ 実務家のための暗号資産入門	2020	新日本法規出版	book	high	タイトル「Ｑ＆Ａ 実務家のための暗号資産入門」は典型的な実務書・入門書(モノグラフ)の形式。号数表記(YYYY年M月号・第N巻第N号・創刊・通巻等)や定期刊行物名を一切含まず、出版社の新日本法規出版は法律実務書を刊行する書籍出版社。既存メモ通り雑誌の号への誤分類であり、単行本(book)が適切。
publication:bencom:4bac553d2fb93dc9	サイバー捜査・デジタルフォレンジック実務ハンドブック	2022	立花書房	book	high	CiNii図書・立花書房公式・楽天ブックス・Amazon等で確認。2022年4月刊行の単行本実務書(ISBN978-4-803742886、300頁、倉持俊宏編集代表)。Q&A・ケーススタディ形式の実務ハンドブックで、号数表記や定期刊行物名はなく、明確にモノグラフ。既存メモのmisclassified_as_journal_issueの通り、bookへ訂正すべき。
publication:bencom:520aa454522bf3f2	ストーカー規制法ハンドブック	2024	立花書房	book	high	タイトル「ストーカー規制法ハンドブック」は実務向けの単行本(ハンドブック=実務書)を示し、「YYYY年M月号」「第N巻第N号」「通巻」「創刊」等の定期刊行物の号数表記が一切ない。出版社の立花書房は警察・法律実務書を多く刊行する版元で、本書も単発の実務解説書と判断できる。既存メモ(misclassified_as_journal_issue)とも整合し、bookが正しい。
publication:bencom:ac3796388ce6b4ca	そのまま使えるモデル英文契約書シリーズ OEM（委託者側）製品製造供給契約書【輸入用】	2020	日本商事仲裁協会	book	high	「そのまま使えるモデル英文契約書シリーズ」は日本商事仲裁協会が刊行する実務書（契約書ひな型集）のシリーズ名であり、定期刊行物ではない。タイトルに「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記がなく、OEM製品製造供給契約書という特定テーマの単発実務書である。既存メモの通り雑誌の号として誤分類されており、bookが正しい。
publication:bencom:dfbe466225955423	そのまま使えるモデル英文契約書シリーズ OEM（製造者側）製品製造供給契約書【輸出用】	2020	日本商事仲裁協会	book	high	「そのまま使えるモデル英文契約書シリーズ」という実務向けモデル契約書（OEM製品製造供給契約書）であり、定期刊行物名や号数表記（○年○月号・第N巻第N号・通巻など）が一切ない。「シリーズ」は雑誌ではなく書籍シリーズを指し、単発の実務書として刊行されている。既存メモのjournal_issue分類は誤りで、bookが正しい。
publication:bencom:ef1d57ed27b134e8	そのまま使えるモデル英文契約書シリーズ 合弁契約書	2020	日本商事仲裁協会	book	high	「そのまま使えるモデル英文契約書シリーズ 合弁契約書」は日本商事仲裁協会が2020年4月8日に刊行した単行本(実務書)で、ISBN 978-4910250076を持ちCD-ROM付き。号数表記(○年○月号・第N巻第N号・通巻等)を含まず、契約書ひな型の実務書シリーズの一冊。定期刊行物の一号ではないためbook。misclassified_as_journal_issueのメモは誤分類であり、bookが正しい。
publication:bencom:ad92b1cb1637c67a	そのまま使えるモデル英文契約書シリーズ 委託加工契約書	2020	日本商事仲裁協会	book	high	「そのまま使えるモデル英文契約書シリーズ」は日本商事仲裁協会(JCAA)が刊行する契約書ひな型の実務書シリーズであり、「委託加工契約書」は個別の契約類型を扱う単行本である。号数表記(○年○月号、第N巻第N号、通巻等)や定期刊行物名を含まず、定期刊行物の一号ではない。「シリーズ」は複数の独立した実務書から成る叢書であって雑誌ではないため、book と判定。既存メモ misclassified_as_journal_issue とも整合する。
publication:bencom:f92225436e466535	そのまま使えるモデル英文契約書シリーズ 委託販売契約書	2020	日本商事仲裁協会	book	high	タイトルは「そのまま使えるモデル英文契約書シリーズ」という書籍シリーズの一冊で、本巻は「委託販売契約書」という特定の契約類型を扱う実務書。年月号・巻号・通巻などの定期刊行物の号数表記が一切なく、「シリーズ」は雑誌名ではなく単行本シリーズを指す。発行元の日本商事仲裁協会が刊行する個別契約書モデル集の単行本であり、定期刊行物の一号ではない。既存メモのjournal_issue分類は誤りでbookが妥当。
