journal,art,sru_status,llm_pick,picked_candidate,picked_issn,llm_uncertain,advisory_class,llm_reason
判例評論,5858,sru_review_substring,1,判例評論 584号 (ISSN無),,False,advisory_same_noissn,号数付は同一
判例研究,640,sru_review_substring,none,,,True,none_unresolved,総称と限定語付き
現代法律実務の諸問題<平成,493,sru_review_substring,0,日本弁護士連合会編・現代法律実務の諸問題平成22年度 (ISSN無),,False,advisory_same_noissn,年度付は同一
民事法研究,367,sru_review_substring,none,,,True,none_unresolved,refは総称、candは特定誌
法律科学研究所年報,360,sru_review_substring,0,明治学院大学法律科学研究所年報 / 明治学院大学法律科学研究所 編 (ISSN 2185-2278),2185-2278,False,advisory_same_issn,大学名接頭一致
大阪弁護士会,344,sru_review_substring,none,,,True,none_unresolved,refは組織名、candは編者付
判例セレクト’,316,sru_review_substring,none,,,True,none_unresolved,号数/年別表記違い
大学院研究年報(法学研究科篇)(中央大学),272,sru_review_substring,2,中央大学大学院研究年報 = Bulletin of graduate studies / 中央大学大学院研究年報編集委員会 編 (ISSN無),,False,advisory_same_noissn,中央大学大学院研究年報
刑事弁護,188,sru_review_substring,0,季刊刑事弁護 (ISSN無),,False,advisory_same_noissn,季刊刑事弁護
都道府県展望,176,sru_review_substring,0,都道府県展望 3月号 (ISSN無),,False,advisory_same_noissn,号数違いは同一
九州法学会会報,166,sru_review_substring,0,九州法学会会報 2003年 (ISSN無),,False,advisory_same_noissn,年度違いは同一
六甲台論集(法学政治学篇)(神戸大学),153,sru_review_substring,0,六甲台論集. 法学政治学篇 (ISSN無),,False,advisory_same_noissn,編集部名は同一
刑事法ジャーナル,149,sru_review_substring,0,刑事法ジャーナル 22号(未定 (校正中)) (ISSN無),,False,advisory_same_noissn,号数/年度は同一誌の表記ゆれ
法学会雑誌(首都大学東京),105,sru_review_substring,none,,,True,none_unresolved,大学名接頭で別誌
商法研究,104,sru_review_substring,none,,,True,none_unresolved,商法研究は総称
法学研究所紀要(大阪経済法科大学),95,sru_review_substring,1,大阪経済法科大学法学研究所紀要 (ISSN無),,False,advisory_same_noissn,大阪経済法科大学法学研究所紀要はrefの略称
公益法人,80,sru_review_substring,none,,,True,none_unresolved,月刊公益法人は別誌
現代法律実務の諸問題<令和,79,sru_review_substring,0,日本弁護士連合会編・現代法律実務の諸問題平成22年度 (ISSN無),,False,advisory_same_noissn,年度は同一
現代法律実務の諸問題(上)<平成,67,sru_review_substring,none,,,True,none_unresolved,旧字/号数違い
比較憲法学研究,63,sru_review_substring,0,比較憲法学会 比較憲法学研究 (ISSN無),,False,advisory_same_noissn,同一誌
商事法務,50,sru_review_substring,3,旬刊商事法務 (ISSN無),,False,advisory_same_noissn,旬刊商事法務
法学会雑誌(東京都立大学),43,sru_review_substring,1,東京都立大学法学会雑誌 / 東京都立大学法学会 編 (ISSN 0389-8571),0389-8571,False,advisory_same_issn,refとcand1の誌名核が一致。東京都立大学法学会雑誌はrefの「法学会雑誌(東京都立大学)」の略称。
立命館大学法学部ニューズレター,37,sru_review_substring,0,立命館大学法学部ニューズレター 32号 (ISSN無),,False,advisory_same_noissn,refとcand0の誌名核が一致。号数は同一シリアルの表記ゆれ。
東北法学会会報(東北大学),36,sru_review_substring,0,東北法学会会報 25号 (ISSN無),,False,advisory_same_noissn,refとcand0の誌名核が一致。号数は同一シリアルの表記ゆれ。
