journal,art,sru_status,llm_pick,picked_candidate,picked_issn,llm_uncertain,advisory_class,llm_reason,bucket,research_key_type,research_key,research_conf,research_src,research_note
法律科学研究所年報,360,sru_review_substring,0,明治学院大学法律科学研究所年報 / 明治学院大学法律科学研究所 編 (ISSN 2185-2278),2185-2278,False,advisory_same_issn,大学名接頭一致,B1_confirmed_issn,issn,2185-2278,confirmed,NDL isPartOf,明治学院大学法律科学研究所年報
大学院研究年報(法学研究科篇)(中央大学),272,sru_review_substring,2,中央大学大学院研究年報 = Bulletin of graduate studies / 中央大学大学院研究年報編集委員会 編 (ISSN無),,False,advisory_same_noissn,中央大学大学院研究年報,B1_confirmed_issn,issn,1345-2444,confirmed,web,中央大学大学院研究年報法学研究科篇29-47号/現2435-8339
九州法学会会報,166,sru_review_substring,0,九州法学会会報 2003年 (ISSN無),,False,advisory_same_noissn,年度違いは同一,B1_confirmed_issn,issn,2424-1814,confirmed_light,NDL,九州法学会会報
六甲台論集(法学政治学篇)(神戸大学),153,sru_review_substring,0,六甲台論集. 法学政治学篇 (ISSN無),,False,advisory_same_noissn,編集部名は同一,B1_confirmed_issn,issn,1341-4941,confirmed_light,NDL(篇narrow),六甲台論集.法学政治学篇
法学研究所紀要(大阪経済法科大学),95,sru_review_substring,1,大阪経済法科大学法学研究所紀要 (ISSN無),,False,advisory_same_noissn,大阪経済法科大学法学研究所紀要はrefの略称,B1_confirmed_issn,issn,0285-4325,confirmed_light,NDL,大阪経済法科大学法学研究所紀要
商事法務,50,sru_review_substring,3,旬刊商事法務 (ISSN無),,False,advisory_same_noissn,旬刊商事法務,B1_confirmed_issn,issn,0386-2887,confirmed,web/商事法務研究会,旬刊商事法務(NDL緩和の0289-1107は誤=隣接誌)
法学会雑誌(東京都立大学),43,sru_review_substring,1,東京都立大学法学会雑誌 / 東京都立大学法学会 編 (ISSN 0389-8571),0389-8571,False,advisory_same_issn,refとcand1の誌名核が一致。東京都立大学法学会雑誌はrefの「法学会雑誌(東京都立大学)」の略称。,B1_confirmed_issn,issn,0389-8571,confirmed,NDL isPartOf,東京都立大学法学会雑誌
東北法学会会報(東北大学),36,sru_review_substring,0,東北法学会会報 25号 (ISSN無),,False,advisory_same_noissn,refとcand0の誌名核が一致。号数は同一シリアルの表記ゆれ。,B1_confirmed_issn,issn,0910-0644,confirmed_light,NDL,東北法学会会報
明治大学大学院紀要(法学篇),31,sru_review_substring,0,明治大学大学院紀要　法学篇 (ISSN無),,False,advisory_same_noissn,表記ゆれなし、号数なし,B1_confirmed_issn,issn,0389-6048,confirmed_light,NDL,明治大学大学院紀要法学篇
法学研究科論集(北海学園大学大学院),19,sru_review_substring,1,北海学園大学大学院法学研究科論集 (ISSN無),,False,advisory_same_noissn,号数違い,B1_confirmed_issn,issn,2435-8525,confirmed_light,NDL,北海学園大学大学院法学研究科論集
経営法学年報(福山平成大学),4,sru_review_substring,0,福山平成大学経営法学年報 (ISSN無),,False,advisory_same_noissn,表記ゆれ,B1_confirmed_issn,issn,1347-0930,confirmed_light,NDL,福山平成大学経営法学年報
商標の使用と権利侵害(日本工業所有権法学会年報,3,sru_review_substring,0,日本工業所有権法学会年報『商標の使用と権利侵害』 (ISSN無),,False,advisory_same_noissn,表記ゆれ/旧字新字,B1_confirmed_issn,issn,0387-1754,confirmed_light,NDL,日本工業所有権法学会年報(D1は1巻分)
判例評論,5858,sru_review_substring,1,判例評論 584号 (ISSN無),,False,advisory_same_noissn,号数付は同一,B2_owner_decision,owner_decision,0438-5888,decision,web,判例時報の別冊=独立ISSN無・判例時報と共有。畳むか別扱いかowner判断
刑事弁護,188,sru_review_substring,0,季刊刑事弁護 (ISSN無),,False,advisory_same_noissn,季刊刑事弁護,B3_ncid_only,ncid,AN10468265,ncid_only,CiNii,季刊刑事弁護・ISSN未確認
