case_name_normalized,court,date,variant_names,article_ids,n_articles,is_hanrei_hyoshaku,distinct_case_names,is_possibly_overmerged
ハマキョウレックス事件,最高二小判,平成30.6.1,ハマキョウレックス事件|長澤運輸事件|ハマキョウレックス事件・長澤運輸事件|長澤運輸事件・ハマキョウレックス事件|地位確認等請求事件|事件・長澤運輸事件|未払賃金等支払請求事件,isbn:bj-257#p166|issn:0286-0821#326#p2.2|issn:0286-0821#326#p9|issn:0287-9956#1576#p2|issn:0386-0620#262#p238|issn:0386-0620#263#p13|issn:0387-1878#1179#p5|issn:0387-1878#1193#p89|issn:0387-3420#v91n3#p137|issn:0439-2892#v192n2#p43|issn:0439-2892#v192n2#p61|issn:0439-3295#v63n9#p115|issn:0439-3295#v64n3#p19|issn:0439-3295#v64n3#p23|issn:0448-0791#1521#p4|issn:0448-0791#1522#p4|issn:0448-0791#1523#p74|issn:0448-0791#30#p221|issn:0448-0791#30#p224|issn:1341-9498#v18n10#p38|issn:1342-5269#1264#p4|issn:1345-4544#22#p39|issn:1882-059X#136#p20|ncid:AA11504883#v18n9#p22|ncid:AN00326923#729#p176|ncid:AN00327187#198#p22|ncid:AN00327799#2495#p21|ncid:AN00327799#2496#p17|ncid:AN00327799#2499#p29|ncid:AN00327813#1918#p10|ncid:AN00327813#1918#p16|ncid:AN00327813#1918#p25|ncid:AN00327813#1918#p38|ncid:AN00327813#1918#p6.3|ncid:AN00327835#2366#p25,35,0,2,true
建設アスベスト訴訟,,,建設アスベスト訴訟|アスベスト訴訟|政策形成訴訟としての建設アスベスト訴訟,issn:0029-0335#v50n4#p44|issn:0029-0335#v52n10#p48|issn:0286-0821#343#p11|issn:0286-0821#343#p2|issn:0286-0821#343#p2.3|issn:0286-0821#343#p34|issn:0287-9670#826#p20|issn:0287-9670#826#p28|issn:0287-9670#827#p40|issn:0287-9670#828#p51|issn:0287-9670#829#p60|issn:0287-9670#830#p37|issn:0385-034X#552#p51|issn:0385-034X#559#p27|issn:0385-034X#563-564#p26|issn:0386-3050#v57n2#p65|issn:0386-3050#v58n2#p23|issn:0386-3050#v59n1#p133|issn:0386-3050#v60n1#p125|issn:0386-3050#v60n3#p85|issn:0386-3050#v60n4#p63|issn:0387-3420#v93n11#p50|issn:0387-3420#v93n11#p50.9|issn:0388-8827#90#p117|issn:0388-8827#97#p93|issn:0388-8827#98#p11|issn:0439-3295#v63n1#p18|issn:0439-3295#v63n6#p10|issn:0483-1330#365#p260|issn:0483-1330#383#p257|ncid:AN00327813#1629#p18|ncid:AN00327813#1930#p25|ncid:AN00327813#1993#p6.3,33,0,1,false
ブルドックソース事件,最高二小決,平成19.8.7,ブルドックソース事件|新株予約権発行差止仮処分命令申立事件|スティール・パートナーズ事件|ブルドックソース対スティールパートナーズ事件|株主総会決議禁止等仮処分命令申立て却下決定に対する抗告棄却決定に対する許可抗告事件|ブルドック買収防衛策訴訟|スティールパートナーズ対ブルドックソース事件|ブルドックソース対スティール・パートナーズ事件,issn:0287-9956#1275#p10|issn:0287-9956#1276#p2|issn:0287-9956#1284#p2|issn:0287-9956#6#p6.15|issn:0289-1107#1809#p4|issn:0289-1107#1810#p15|issn:0289-1107#1923#p37|issn:0385-7468#31#p179|issn:0388-4945#32#p59|issn:0389-5947#2009-03#p133|issn:0438-4997#v60n5#p65|issn:0438-5888#2059#p3|issn:0438-5896#1259#p40.2|issn:0438-5896#1265#p59|issn:0438-5896#1279#p82|issn:0439-3295#v52n11#p108|issn:0439-3295#v53n2#p26|issn:0448-0791#1346#p17|issn:0518-1208#v49n3#p174|issn:0914-417X#257#p31|issn:0916-9806#v61n1#p54|issn:0916-9806#v61n2#p60|issn:0918-063X#2009-03#p67|issn:1341-1179#v2151n10#p1|issn:1342-5056#v139n2#p1|issn:1342-5056#v139n3#p38|ncid:AA12241495#135#p135.14|ncid:AN00326923#2008#p92|ncid:AN00326923#588#p164,29,0,3,true
建設アスベスト訴訟,最高一小判,令和3.5.17,建設アスベスト訴訟|建設石綿訴訟|国・建設アスベスト事件|神奈川１陣訴訟|建設アスベスト訴訟事件|神奈川訴訟|建設アスベスト神奈川１陣訴訟|建設アスベスト国賠事件|建設アスベスト不法行為訴訟|建設アスベスト神奈川訴訟,isbn:bj-263#p178|issn:0286-0821#343#p18|issn:0286-0821#343#p25|issn:0287-9670#1205#p101|issn:0386-0620#274#p234|issn:0386-0620#279#p54|issn:0387-3420#575#p1|issn:0387-3420#v93n11#p58|issn:0387-3420#v93n11#p64|issn:0389-2220#492#p128|issn:0389-9942#126#p357|issn:0448-0791#1560#p4|issn:0448-0791#1582#p113|issn:0448-0791#3#p113|issn:0448-0791#3#p190|issn:0448-0791#3#p52|issn:0483-1330#399-400#p1|issn:0916-9806#v74n11#p56|issn:0916-9806#v74n12#p51|issn:1341-9498#v21n11#p26|issn:1342-5056#v158n5#p26|issn:1880-0750#50#p189|issn:2187-1302#37#p174|ncid:AN00326923#2022#p45|ncid:AN00326923#763#p116|ncid:AN00327187#212#p28|ncid:AN00327187#214#p23|ncid:AN00327813#1993#p11,28,1,3,true
外国国家が発行した円建て債券に係る償還等請求訴訟,最高一小判,平成28.6.2,外国国家が発行した円建て債券に係る償還等請求訴訟|当該債券の管理会社が任意的訴訟|任意的訴訟|の償還請求訴訟|サムライ債の管理会社に訴訟|外国国家発行の円建て債券の償還請求訴訟|外国国家発行の円建て債券の償還請求訴訟における債券管理会社の任意的訴訟|の償還請求訴訟における債券管理会社の任意的訴訟|の償還請求訴訟における債券管理会社による任意的訴訟|外国国家発行円建て債券の管理会社による任意的訴訟|債券の管理会社が任意的訴訟|外国の発行した円建て債券管理会社の任意的訴訟|外国国家が発行したいわゆるソブリン債である円建て債券に係る償還等請求訴訟|外国国家が発行したいわゆるソブリン債である円建て債券に係る償還等請求訴訟における当該債券の管理会社の任意的訴訟|外国国家が発行した円建て債券に係る償還等請求訴訟につき当該債券の管理会社が任意的訴訟|当該債券の管理会社による任意的訴訟|債券等保有者のための任意的訴訟|ソブリン債に係る債券の管理会社に任意的訴訟|債券管理会社の任意的訴訟|いわゆるソブリン債の管理と任意的訴訟|ソブリン債償還等請求訴訟,|isbn:bj-265#p30|isbn:最高裁判所判例解説――民事篇<平成28年度>#p336|issn:0287-7511#v45n2#p184|issn:0389-0538#v89n12#p51|issn:0389-2220#432#p163|issn:0389-2220#436#p42|issn:0389-2220#445#p17|issn:0439-2892#185#p118|issn:0439-3295#v61n11#p128|issn:0439-3295#v62n10#p120|issn:0448-0791#1506#p76|issn:0448-0791#28#p118|issn:0448-0791#28#p136|issn:0448-0791#281#p281|issn:0452-8204#140#p163|issn:1341-1179#v2160n14#p67|issn:1342-5080#131#p131|issn:1347-0388#v17n2#p323|issn:2185-3223#2045#p4|issn:2432-1702#2#p222|ncid:AA12241495#181#p181.2|ncid:AN00080095#v65n4#p110|ncid:AN00326923#2017#p110.60|ncid:AN00326923#2017#p134|ncid:AN00326923#703#p160|ncid:AN00327187#v70n5#p229,27,0,1,false
伊方原発事件,最高一小判,平成4.10.29,伊方原発事件|伊方原発訴訟|福島第２原発事件|相栄産業事件|伊方発電所原子炉設置許可処分取消訴訟|株主総会決議取消訴訟|福島第二原発事件|いわゆるブリヂストン事件|環境公害訴訟|伊方原発訴訟最高裁判決の再検討と福島原発賠償訴訟|再発見・民事訴訟|非株主による新株発行不存在確認訴訟|伊方・福島第二原発訴訟|原子炉設置許可処分の裁量性とその取消訴訟|原子炉設置許可処分の裁量性とその取消訴訟における立証責任について最高裁の重要な判断が下された事件,isbn:bj-126#p188|isbn:bj-126#p192|isbn:bj-169#p154|isbn:bj-171#p194|isbn:bj-171#p198|isbn:bj-201#p132|isbn:bj-206#p202|isbn:bj-206#p206|isbn:bj-226#p132|isbn:bj-228#p126|isbn:bj-240#p192|isbn:bj-240#p196|isbn:bj-253#p134|isbn:bj-265#p124|issn:0288-1659#v32n1#p369|issn:0387-3617#132#p64|issn:0387-3617#133#p80|issn:0389-2220#150#p66|issn:0389-2220#221#p31|issn:0439-3295#v38n12#p62|issn:0439-3295#v38n7#p58|issn:0439-3295#v38n7#p67|issn:0448-0791#3#p26|issn:0448-0791#4#p45|issn:0448-0791#96#p96.7|issn:0916-9806#v46n6#p62|ncid:AN00326923#1994#p124.64,27,0,7,true
大阪国際空港事件,,昭和56.12.16,大阪国際空港事件|大阪空港公害訴訟|大阪空港訴訟|大阪国際空港公害訴訟|大阪国際空港訴訟,isbn:bj-130#p56|isbn:bj-145#p138|isbn:bj-145#p8|isbn:bj-146#p256|isbn:bj-154#p58|isbn:bj-169#p136|isbn:bj-169#p58|isbn:bj-169#p8|isbn:bj-171#p94|isbn:bj-171#p96|isbn:bj-186#p58|isbn:bj-201#p50|isbn:bj-206#p84|isbn:bj-206#p86|isbn:bj-217#p58|isbn:bj-226#p257.138|isbn:bj-226#p50|isbn:bj-240#p46|isbn:bj-240#p48|isbn:bj-245#p52|isbn:bj-265#p244|isbn:bj-265#p44|isbn:bj-273#p50|isbn:bj-96#p286|issn:0389-2220#523#p49|issn:0448-0791#31#p31.3|issn:1349-791X#4#p19,27,0,2,true
自動車損害賠償保障法16条1項に基づいて損害賠償額の支払を請求する訴訟,最高一小判,平成18.3.30,自動車損害賠償保障法１６条１項に基づいて損害賠償額の支払を請求する訴訟|国立景観訴訟|国立マンション事件|国立市マンション事件|国立高層マンション景観侵害事件|自動車損害賠償法１６条１項に基づいて被害者が保険会社に対し損害賠償額の支払を請求する訴訟|自賠法１６条１項の被害者請求訴訟|自動車損害賠償保障法１６条１項に基づいて訴訟|国立マンション訴訟|国立マンション撤去等請求事件,isbn:bj-206#p172|isbn:bj-215#p74|isbn:bj-224#p174|isbn:bj-238#p180|isbn:bj-240#p134|isbn:bj-263#p160|isbn:bj-266#p68|isbn:最高裁判所判例解説――民事篇<平成18年度>(上)(1月~5月分)#p461|issn:0287-9670#834#p4|issn:0387-3420#v79n1#p141|issn:0438-5896#18#p95|issn:0448-0791#1323#p70|issn:0448-0791#1330#p143|issn:0448-0791#200#p200|issn:0483-1330#310#p455|issn:0910-0121#v25n1#p121|issn:0914-417X#239#p78|issn:0916-9806#v59n8#p73|issn:1342-5056#v135n3#p95|issn:1880-0750#28#p407|ncid:AN00326923#2007#p58.56|ncid:AN00326923#578#p190|ncid:AN00327187#v59n9#p349|ncid:AN10391794#253#p52,24,0,5,true
関西電力事件,,,関西電力事件,issn:0386-0620#179#p173|ncid:AN00327813#1083-1084#p12|ncid:AN00327813#1083-1084#p16|ncid:AN00327813#1083-1084#p20|ncid:AN00327813#1083-1084#p25|ncid:AN00327813#1083-1084#p28|ncid:AN00327813#1083-1084#p31|ncid:AN00327813#1083-1084#p36|ncid:AN00327813#1083-1084#p37|ncid:AN00327813#1083-1084#p39|ncid:AN00327813#1083-1084#p42|ncid:AN00327813#1083-1084#p49|ncid:AN00327813#1083-1084#p5|ncid:AN00327813#1083-1084#p52|ncid:AN00327813#1083-1084#p54|ncid:AN00327813#1083-1084#p56|ncid:AN00327813#1083-1084#p58|ncid:AN00327813#1083-1084#p61|ncid:AN00327813#1083-1084#p65|ncid:AN00327813#1083-1084#p67|ncid:AN00327813#1083-1084#p71|ncid:AN00327813#1083-1084#p8|ncid:AN00327813#1085#p28|ncid:AN00327813#1087-1088#p61,24,0,1,false
信用協同組合に対する金融整理管財人による業務及び財産の管理を命ずる処分と組合員が組合員代表訴訟,最高一小判,平成15.6.12,信用協同組合に対する金融整理管財人による業務及び財産の管理を命ずる処分と組合員が組合員代表訴訟|金融整理管財人の選任と組合員代表訴訟|信用協同組合に対する金融整理管財人による業務および財産の管理を命ずる処分と組合員が組合員代表訴訟|当該信用協同組合の組合員は組合員代表訴訟|東京商銀信用組合組合員代表訴訟|金融整理管財人選任後の組合員代表訴訟|金融整理管財人による業務・財産管理命令と組合員代表訴訟|信用協同組合に対する金融整理管財人による業務・財産管理を命ずる処分と組合員代表訴訟|信用協同組合に対する金融整理管財人による業務及び財産の管理を命ずる処分と信用協同組合員の代表訴訟|土地賃料改定請求事件|金融整理管財人による管理を命ずる処分と代表訴訟|金融整理管財人の選任と代表訴訟|金融整理管財人選任後における信用協同組合の組合員の代表訴訟,isbn:最高裁判所判例解説――民事篇<平成15年度>(上)(1月~6月分)#p344|issn:0009-6296#v111n11#p331|issn:0022-6815#v122n2#p254|issn:0287-9670#787#p70|issn:0287-9956#1197#p63|issn:0289-1107#1805#p38|issn:0389-0538#v77n4#p88|issn:0389-2220#280#p116|issn:0389-5947#v76n6#p317|issn:0438-5896#15#p158|issn:0439-3295#v49n8#p115|issn:0448-0791#1256#p185|issn:0448-0791#15#p145|issn:0448-0791#272#p272.3|issn:0461-6898#v53n2#p111|issn:1341-1179#v47n10#p73|issn:1341-1179#v48n4#p103|issn:1342-5056#v129n2#p80|issn:2435-8525#6#p51|ncid:AN00326923#2004#p108|ncid:AN00326923#2005#p90.47|ncid:AN00326923#540#p191|ncid:AN00327187#v56n10#p177,23,0,0,false
