journal_canonical,article_count,key_type,key_value,status,source,note
ジュリスト,24177,issn,0448-0791,seed_verified,seed:ndl/issnportal,
金融法務事情,12793,issn,2185-3223,seed_verified,seed:ndl,旧旬刊金融法務事情0451-9787は別
判例タイムズ,10778,issn,0438-5896,seed_verified,seed:ndl,
NBL,10040,issn,0287-9670,seed_verified,seed:ndl,
旬刊商事法務,9349,issn,0289-1107,seed_verified,seed:ndl,
法学セミナー,8596,issn,0439-3295,seed_verified,seed:ndl/cinii,
国際商事法務,6919,issn,0287-7511,seed_verified,seed:ndl/cinii,
法律時報,6718,issn,0387-3420,seed_verified,seed:ndl,
法学教室,5959,issn,0389-2220,seed_verified,seed:ndl,
判例評論,5858,,,unresolved,,NDL該当なし→NCID/ISBN/手当て候補
労働法律旬報,5799,ncid,AN00327813,seed_ncid_fallback,seed:cinii,公開ISSN確認できず→NCID基底
税理,5763,ncid,AN00080095,seed_ncid_fallback,seed:cinii,公開ISSN確認できず→NCID基底
公正取引,5574,issn,0425-6247,seed_verified,seed:ndl,
法曹,5505,,,unresolved,,NDL該当なし→NCID/ISBN/手当て候補
税経通信,4754,ncid,AN00390536,seed_correction,seed:cinii,旧seed 0387-2866は法学論叢のISSN=誤付与
戸籍時報,4471,issn,0912-1579,seed_verified,seed:kajo,戸籍(NCID AN00274615)とは別誌
税務弘報,4344,issn,0913-5278,seed_verified,seed:ndl,
月刊税務事例,4175,issn,0910-5786,seed_verified,seed:cinii/ndl,
ビジネス法務,4155,ncid,AA11504883,seed_correction,seed:cinii,旧seed 1347-4146は未登録の誤付与
月刊登記情報,3891,issn,1345-4129,seed_verified,seed:cinii/ndl,登記研究とは別誌
銀行法務,3827,,,unresolved,,NDL該当なし→NCID/ISBN/手当て候補
金融・商事判例,3622,issn,0287-9956,seed_verified,seed:ndl,
民商法雑誌,3494,issn,1342-5056,seed_verified,seed:ndl,
自由と正義,3236,issn,0447-7480,seed_verified,seed:nichibenren/cinii,
手形研究,3165,,,unresolved,,NDL該当なし→NCID/ISBN/手当て候補
銀行法務21,3000,issn,1341-1179,seed_verified,seed:ndl/cinii,銀行法務(短縮表記)と数字破壊で分裂させない
季刊労働法,2974,issn,0386-0620,seed_verified,seed:cinii,
法律のひろば,2930,issn,0916-9806,seed_verified,seed:ndl,巻号運用(ym終端)
登記研究,2726,ncid,AN00157564,seed_verified,seed:cinii,テイハン。登記インターネットとは別
時の法令,2661,issn,0493-4067,seed_verified,seed:ndl,
JCAジャーナル,2409,issn,0386-3042,seed_verified,seed:ndl/jcaa,
民事研修,2053,,,unresolved,,NDL該当なし→NCID/ISBN/手当て候補
月報司法書士,2032,issn,0388-2578,seed_verified,seed:cinii/ndl,
