journal_canonical,article_count,key_type,key_value,status,source,note
ジュリスト,24177,issn,0448-0791,seed_verified,seed:head_verified,
金融法務事情,12793,issn,2185-3223,seed_verified,seed:head_verified,旧旬刊金融法務事情0451-9787は別
判例タイムズ,10778,issn,0438-5896,seed_verified,seed:head_verified,
NBL,10040,issn,0287-9670,seed_verified,seed:head_verified,
旬刊商事法務,9328,issn,0289-1107,seed_verified,seed:head_verified,
法学セミナー,8596,issn,0439-3295,seed_verified,seed:head_verified,
国際商事法務,6911,issn,0287-7511,seed_verified,seed:head_verified,
法律時報,6718,issn,0387-3420,seed_verified,seed:head_verified,
法学教室,5959,issn,0389-2220,seed_verified,seed:head_verified,
判例評論,5858,ncid,AN00326923,seed_ncid_fallback,seed:cinii_confirmed,判例時報付録。独立ISSN無→NCID AN00326923。公開ISSN未付与
労働法律旬報,5799,ncid,AN00327813,seed_ncid_fallback,seed:head_verified,公開ISSN確認できず→NCID基底
税理,5763,ncid,AN00080095,seed_ncid_fallback,seed:head_verified,公開ISSN確認できず→NCID基底
公正取引,5574,issn,0425-6247,seed_verified,seed:head_verified,
法曹,5505,ncid,AN00327187,seed_ncid_fallback,seed:head_verified,月刊「法曹」(法曹会)。法曹時報とは別誌
税経通信,4754,ncid,AN00390536,seed_correction,seed:head_verified,旧seed 0387-2866は法学論叢のISSN=誤付与
戸籍時報,4471,issn,0912-1579,seed_verified,seed:head_verified,戸籍(NCID AN00274615)とは別誌
税務弘報,4344,issn,0913-5278,seed_verified,seed:head_verified,
月刊税務事例,4175,issn,0910-5786,seed_verified,seed:head_verified,
ビジネス法務,4155,ncid,AA11504883,seed_correction,seed:head_verified,旧seed 1347-4146は未登録の誤付与
月刊登記情報,3891,issn,1345-4129,seed_verified,seed:head_verified,登記研究とは別誌
銀行法務,3827,issn,1341-1179,seed_verified,seed:article_meta_confirmed,"手形研究(0494-9692,1957-1994)→1995年改題→銀行法務21(1341-1179)。D1ラベル分裂=掲載誌等スペースなし表記(銀行法務２１70-3等)による誤切り出し。年代分布確認: pre-1995=0件・1995年〜2026年のみ→完全統合確定。99件のみ銀行法務21別冊1(書籍)だが同一シリアルのため統合範囲内。P21 2026-06-25"
金融・商事判例,3622,issn,0287-9956,seed_verified,seed:head_verified,
民商法雑誌,3494,issn,1342-5056,seed_verified,seed:head_verified,
自由と正義,3236,issn,0447-7480,seed_verified,seed:head_verified,
手形研究,3165,issn,0494-9692,seed_verified,seed:head_verified,継続誌=銀行法務21
銀行法務21,3000,issn,1341-1179,seed_verified,seed:head_verified,銀行法務(短縮表記)と数字破壊で分裂させない
季刊労働法,2974,issn,0386-0620,seed_verified,seed:head_verified,
法律のひろば,2930,issn,0916-9806,seed_verified,seed:head_verified,巻号運用(ym終端)
登記研究,2726,ncid,AN00157564,seed_verified,seed:head_verified,テイハン。登記インターネットとは別
時の法令,2661,issn,0493-4067,seed_verified,seed:head_verified,
JCAジャーナル,2409,issn,0386-3042,seed_verified,seed:head_verified,
民事研修,2053,issn,0912-1587,seed_verified,seed:head_verified,みんけん:民事研修1342-2766は改題後
月報司法書士,2032,issn,0388-2578,seed_verified,seed:head_verified,
中央労働時報,2008,issn,1342-5269,seed_verified,seed:head_verified,別冊中央労働時報は別
季刊労働者の権利,1942,issn,0286-0821,seed_verified,seed:head_verified,日本労働弁護団
法学研究(慶応義塾大学),1833,issn,0389-0538,seed_override,seed:head_verified,慶應義塾大学法学研究会(NCID AN00224504)。≠慶應法学/法学研究科論文集
速報判例解説,1786,ncid,AA12241495,seed_ncid_fallback,seed:head_verified,法学セミナー増刊(新・判例解説Watch)。増刊系
民法判例百選,1626,ncid,BN01263667,seed_bessatsu_jurist,seed:head_verified,別冊ジュリスト系(有斐閣)。号=別冊ジュリストNo.で一意化
地方税,1599,ncid,AN00126094,seed_ncid_fallback,seed:head_verified,地方財務協会。公開ISSN確認できず
日本労働研究雑誌,1521,issn,0916-3808,seed_verified,seed:head_verified,
労働法学研究会報,1418,issn,1342-5064,issn_batch_confirmed,issn_batch_20260622,ndl_name=労働法学研究会報 evidence=79 1957→2024
自治研究,1388,issn,0287-5209,seed_verified,seed:head_verified,第一法規
