issue_id,anomaly_type,evidence
ジュリスト#tsu_gap:285,tsuukan_gap,"journal=ジュリスト; 通巻285が欠落(記事0件); 前後284・286は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:289,tsuukan_gap,"journal=ジュリスト; 通巻289が欠落(記事0件); 前後288・290は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:311,tsuukan_gap,"journal=ジュリスト; 通巻311が欠落(記事0件); 前後310・312は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:319,tsuukan_gap,"journal=ジュリスト; 通巻319が欠落(記事0件); 前後318・320は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:325,tsuukan_gap,"journal=ジュリスト; 通巻325が欠落(記事0件); 前後324・326は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:343,tsuukan_gap,"journal=ジュリスト; 通巻343が欠落(記事0件); 前後342・344は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:345,tsuukan_gap,"journal=ジュリスト; 通巻345が欠落(記事0件); 前後344・346は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:347,tsuukan_gap,"journal=ジュリスト; 通巻347が欠落(記事0件); 前後346・348は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:349,tsuukan_gap,"journal=ジュリスト; 通巻349が欠落(記事0件); 前後348・350は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:353,tsuukan_gap,"journal=ジュリスト; 通巻353が欠落(記事0件); 前後352・354は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:355,tsuukan_gap,"journal=ジュリスト; 通巻355が欠落(記事0件); 前後354・356は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:359,tsuukan_gap,"journal=ジュリスト; 通巻359が欠落(記事0件); 前後358・360は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:361,tsuukan_gap,"journal=ジュリスト; 通巻361が欠落(記事0件); 前後360・362は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:365,tsuukan_gap,"journal=ジュリスト; 通巻365が欠落(記事0件); 前後364・366は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:367,tsuukan_gap,"journal=ジュリスト; 通巻367が欠落(記事0件); 前後366・368は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:369,tsuukan_gap,"journal=ジュリスト; 通巻369が欠落(記事0件); 前後368・370は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:373,tsuukan_gap,"journal=ジュリスト; 通巻373が欠落(記事0件); 前後372・374は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:375,tsuukan_gap,"journal=ジュリスト; 通巻375が欠落(記事0件); 前後374・376は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:379,tsuukan_gap,"journal=ジュリスト; 通巻379が欠落(記事0件); 前後378・380は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:381,tsuukan_gap,"journal=ジュリスト; 通巻381が欠落(記事0件); 前後380・382は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:383,tsuukan_gap,"journal=ジュリスト; 通巻383が欠落(記事0件); 前後382・384は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:387,tsuukan_gap,"journal=ジュリスト; 通巻387が欠落(記事0件); 前後386・388は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:391,tsuukan_gap,"journal=ジュリスト; 通巻391が欠落(記事0件); 前後390・392は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:395,tsuukan_gap,"journal=ジュリスト; 通巻395が欠落(記事0件); 前後394・396は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:397-398,tsuukan_gap,"journal=ジュリスト; 通巻397-398が欠落(記事0件); 前後396・399は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:400,tsuukan_gap,"journal=ジュリスト; 通巻400が欠落(記事0件); 前後399・401は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:402,tsuukan_gap,"journal=ジュリスト; 通巻402が欠落(記事0件); 前後401・403は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:405,tsuukan_gap,"journal=ジュリスト; 通巻405が欠落(記事0件); 前後404・406は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:408-411,tsuukan_gap,"journal=ジュリスト; 通巻408-411が欠落(記事0件); 前後407・412は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:413-415,tsuukan_gap,"journal=ジュリスト; 通巻413-415が欠落(記事0件); 前後412・416は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:418,tsuukan_gap,"journal=ジュリスト; 通巻418が欠落(記事0件); 前後417・419は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:420-421,tsuukan_gap,"journal=ジュリスト; 通巻420-421が欠落(記事0件); 前後419・422は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:423-424,tsuukan_gap,"journal=ジュリスト; 通巻423-424が欠落(記事0件); 前後422・425は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:436-437,tsuukan_gap,"journal=ジュリスト; 通巻436-437が欠落(記事0件); 前後435・438は存在; 系列範囲[1,1619]"
ジュリスト#tsu_gap:439-440,tsuukan_gap,"journal=ジュリスト; 通巻439-440が欠落(記事0件); 前後438・441は存在; 系列範囲[1,1619]"
