object,op,key,detail,before_row,after_row,reason
hanrei,REDERIVABLE,4日市簡,court_key 4日市簡->四日市簡; identity_key rebuilt,27425811 | 4日市簡 | 19840710 | s58(ハ)257s59(ハ)25 | 4日市簡|19840710|s58(ハ)257s59(ハ)25 | 四日市簡易裁判所 | 昭和５９年７月１０日 | 昭和５８年（ハ）２５７号／昭和５９年（ハ）２５号 | ,27425811 | 四日市簡 | 19840710 | s58(ハ)257s59(ハ)25 | 四日市簡|19840710|s58(ハ)257s59(ハ)25 | 四日市簡易裁判所 | 昭和５９年７月１０日 | 昭和５８年（ハ）２５７号／昭和５９年（ハ）２５号 | ,4日市簡→四日市簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,4日市簡,court_key 4日市簡->四日市簡; identity_key rebuilt,27770354 | 4日市簡 | 19611025 | s36(へ)1 | 4日市簡|19611025|s36(へ)1 | 四日市簡易裁判所 | 昭和３６年１０月２５日 | 昭和３６年（へ）１号 | 土地所有権確認請求事件,27770354 | 四日市簡 | 19611025 | s36(へ)1 | 四日市簡|19611025|s36(へ)1 | 四日市簡易裁判所 | 昭和３６年１０月２５日 | 昭和３６年（へ）１号 | 土地所有権確認請求事件,4日市簡→四日市簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,4日市簡,court_key 4日市簡->四日市簡; identity_key rebuilt,29008754 | 4日市簡 | 20000714 | h12(サ)221 | 4日市簡|20000714|h12(サ)221 | 四日市簡易裁判所 | 平成１２年７月１４日 | 平成１２年（サ）２２１号 | ,29008754 | 四日市簡 | 20000714 | h12(サ)221 | 四日市簡|20000714|h12(サ)221 | 四日市簡易裁判所 | 平成１２年７月１４日 | 平成１２年（サ）２２１号 | ,4日市簡→四日市簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,1関区,court_key 1関区->一関区; identity_key rebuilt,27568013 | 1関区 | 19270322 | t15(ハ)54 | 1関区|19270322|t15(ハ)54 | 一関区裁判所 | 昭和２年３月２２日 | 大正１５年（ハ）５４号 | ,27568013 | 一関区 | 19270322 | t15(ハ)54 | 一関区|19270322|t15(ハ)54 | 一関区裁判所 | 昭和２年３月２２日 | 大正１５年（ハ）５４号 | ,1関区→一関区 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,1関区,court_key 1関区->一関区; identity_key rebuilt,27569989 | 1関区 | 19380418 | s13(サ)42 | 1関区|19380418|s13(サ)42 | 一関区裁判所 | 昭和１３年４月１８日 | 昭和１３年（サ）４２号 | 株金払込請求事件,27569989 | 一関区 | 19380418 | s13(サ)42 | 一関区|19380418|s13(サ)42 | 一関区裁判所 | 昭和１３年４月１８日 | 昭和１３年（サ）４２号 | 株金払込請求事件,1関区→一関区 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,4日市区,court_key 4日市区->四日市区; identity_key rebuilt,27564899 | 4日市区 | 19141130 | t3(通)224 | 4日市区|19141130|t3(通)224 | 四日市区裁判所 | 大正３年１１月３０日 | 大正３年（通）２２４号 | 損害賠償請求ノ件,27564899 | 四日市区 | 19141130 | t3(通)224 | 四日市区|19141130|t3(通)224 | 四日市区裁判所 | 大正３年１１月３０日 | 大正３年（通）２２４号 | 損害賠償請求ノ件,4日市区→四日市区 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,4日市区,court_key 4日市区->四日市区; identity_key rebuilt,27569745 | 4日市区 | 19361124 | s11(ハ)327 | 4日市区|19361124|s11(ハ)327 | 四日市区裁判所 | 昭和１１年１１月２４日 | 昭和１１年（ハ）３２７号 | 所有権移転登記手続請求事件,27569745 | 四日市区 | 19361124 | s11(ハ)327 | 四日市区|19361124|s11(ハ)327 | 四日市区裁判所 | 昭和１１年１１月２４日 | 昭和１１年（ハ）３２７号 | 所有権移転登記手続請求事件,4日市区→四日市区 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,7尾区,court_key 7尾区->七尾区; identity_key rebuilt,27568190 | 7尾区 | 19280221 | s3(ニ)11 | 7尾区|19280221|s3(ニ)11 | 七尾区裁判所 | 昭和３年２月２１日 | 昭和３年（ニ）１１号 | 業務妨害被告事件,27568190 | 七尾区 | 19280221 | s3(ニ)11 | 七尾区|19280221|s3(ニ)11 | 七尾区裁判所 | 昭和３年２月２１日 | 昭和３年（ニ）１１号 | 業務妨害被告事件,7尾区→七尾区 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,8幡簡,court_key 8幡簡->八幡簡; identity_key rebuilt,28241852 | 8幡簡 | 19681008 |  |  | 八幡簡易裁判所 | 昭和４３年１０月８日 |  | 謝罪広告反訴請求事件,28241852 | 八幡簡 | 19681008 |  | 八幡簡|19681008| | 八幡簡易裁判所 | 昭和４３年１０月８日 |  | 謝罪広告反訴請求事件,8幡簡→八幡簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,8幡浜簡,court_key 8幡浜簡->八幡浜簡; identity_key rebuilt,27440051 | 8幡浜簡 | 19510504 | s26(ハ)2 | 8幡浜簡|19510504|s26(ハ)2 | 八幡浜簡易裁判所 | 昭和２６年５月４日 | 昭和２６年（ハ）２号 | ,27440051 | 八幡浜簡 | 19510504 | s26(ハ)2 | 八幡浜簡|19510504|s26(ハ)2 | 八幡浜簡易裁判所 | 昭和２６年５月４日 | 昭和２６年（ハ）２号 | ,8幡浜簡→八幡浜簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,8王子簡,court_key 8王子簡->八王子簡; identity_key rebuilt,28172429 | 8王子簡 | 19981208 | h10(ハ)154h10(ハ)365 | 8王子簡|19981208|h10(ハ)154h10(ハ)365 | 八王子簡易裁判所 | 平成１０年１２月８日 | 平成１０年（ハ）１５４号／平成１０年（ハ）３６５号 | ,28172429 | 八王子簡 | 19981208 | h10(ハ)154h10(ハ)365 | 八王子簡|19981208|h10(ハ)154h10(ハ)365 | 八王子簡易裁判所 | 平成１０年１２月８日 | 平成１０年（ハ）１５４号／平成１０年（ハ）３６５号 | ,8王子簡→八王子簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,7尾簡,court_key 7尾簡->七尾簡; identity_key rebuilt,27431788 | 7尾簡 | 19790507 | s51(ハ)12 | 7尾簡|19790507|s51(ハ)12 | 七尾簡易裁判所 | 昭和５４年５月７日 | 昭和５１年（ハ）１２号 | ,27431788 | 七尾簡 | 19790507 | s51(ハ)12 | 七尾簡|19790507|s51(ハ)12 | 七尾簡易裁判所 | 昭和５４年５月７日 | 昭和５１年（ハ）１２号 | ,7尾簡→七尾簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,7尾簡,court_key 7尾簡->七尾簡; identity_key rebuilt,28241803 | 7尾簡 | 19660114 |  |  | 七尾簡易裁判所 | 昭和４１年１月１４日 |  | 労働基準法違反事件,28241803 | 七尾簡 | 19660114 |  | 七尾簡|19660114| | 七尾簡易裁判所 | 昭和４１年１月１４日 |  | 労働基準法違反事件,7尾簡→七尾簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,5所川原簡,court_key 5所川原簡->五所川原簡; identity_key rebuilt,27440779 | 5所川原簡 | 19640210 | s36(ハ)143 | 5所川原簡|19640210|s36(ハ)143 | 五所川原簡易裁判所 | 昭和３９年２月１０日 | 昭和３６年（ハ）１４３号 | 執行文付与に対する異議事件,27440779 | 五所川原簡 | 19640210 | s36(ハ)143 | 五所川原簡|19640210|s36(ハ)143 | 五所川原簡易裁判所 | 昭和３９年２月１０日 | 昭和３６年（ハ）１４３号 | 執行文付与に対する異議事件,5所川原簡→五所川原簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,5所川原簡,court_key 5所川原簡->五所川原簡; identity_key rebuilt,28181887 | 5所川原簡 | 20111221 | h23(ハ)234 | 5所川原簡|20111221|h23(ハ)234 | 五所川原簡易裁判所 | 平成２３年１２月２１日 | 平成２３年（ハ）２３４号 | 不当利得返還請求事件,28181887 | 五所川原簡 | 20111221 | h23(ハ)234 | 五所川原簡|20111221|h23(ハ)234 | 五所川原簡易裁判所 | 平成２３年１２月２１日 | 平成２３年（ハ）２３４号 | 不当利得返還請求事件,5所川原簡→五所川原簡 既存court_keyに未存在(衝突0)
hanrei,REDERIVABLE,1宮簡,court_key 1宮簡->一宮簡; identity_key rebuilt,27402482 | 1宮簡 | 19640630 | s38(ハ)34 | 1宮簡|19640630|s38(ハ)34 | 一宮簡易裁判所 | 昭和３９年６月３０日 | 昭和３８年（ハ）３４号 | 見舞金請求事件,27402482 | 一宮簡 | 19640630 | s38(ハ)34 | 一宮簡|19640630|s38(ハ)34 | 一宮簡易裁判所 | 昭和３９年６月３０日 | 昭和３８年（ハ）３４号 | 見舞金請求事件,1宮簡→一宮簡 既存も同一裁判所名['一宮簡易裁判所'](衝突0・一部行が正)
hanrei,REDERIVABLE,1宮簡,court_key 1宮簡->一宮簡; identity_key rebuilt,27431283 | 1宮簡 | 19710731 | s45(ハ)21 | 1宮簡|19710731|s45(ハ)21 | 一宮簡易裁判所 | 昭和４６年７月３１日 | 昭和４５年（ハ）２１号 | 家屋明渡請求事件,27431283 | 一宮簡 | 19710731 | s45(ハ)21 | 一宮簡|19710731|s45(ハ)21 | 一宮簡易裁判所 | 昭和４６年７月３１日 | 昭和４５年（ハ）２１号 | 家屋明渡請求事件,1宮簡→一宮簡 既存も同一裁判所名['一宮簡易裁判所'](衝突0・一部行が正)
