issue,key,detail,recommend,sample
DUP_HANREI_ID,28234295,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150310|h24(ワ)36893
DUP_HANREI_ID,28234351,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150206|h25(ワ)14749h25(ワ)34359h25(ワ)34365
DUP_HANREI_ID,28242593,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150714|h25(ワ)17124h26(ワ)1081
DUP_HANREI_ID,29013367,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150810|h25(ワ)20107
DUP_HANREI_ID,28240020,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150925|h25(ワ)20746
DUP_HANREI_ID,28232165,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150113|h25(ワ)25059
DUP_HANREI_ID,28233489,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150528|h25(ワ)25127h26(ワ)31657
DUP_HANREI_ID,28233811,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150330|h25(ワ)26250
DUP_HANREI_ID,28232604,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150218|h25(ワ)28035
DUP_HANREI_ID,28233468,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150424|h25(ワ)29202
DUP_HANREI_ID,28233144,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150828|h25(ワ)32465
DUP_HANREI_ID,28232110,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150205|h25(ワ)33369
DUP_HANREI_ID,28233412,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150717|h25(ワ)34278
DUP_HANREI_ID,28240655,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150528|h25(ワ)3695
DUP_HANREI_ID,29015407,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151116|h25(ワ)640
DUP_HANREI_ID,28233808,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150422|h25(ワ)8188
DUP_HANREI_ID,28240928,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150708|h25(ワ)9857
DUP_HANREI_ID,29013902,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150901|h26(ワ)8713h26(ワ)12246
DUP_HANREI_ID,28241649,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150717|h26(ワ)13401h26(ワ)22456
DUP_HANREI_ID,28230564,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150210|h26(ワ)1458
DUP_HANREI_ID,28233469,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150216|h26(ワ)16514
DUP_HANREI_ID,28241688,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150218|h26(ワ)215
DUP_HANREI_ID,28241127,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150326|h26(ワ)21654
DUP_HANREI_ID,28231946,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150316|h26(ワ)26099
DUP_HANREI_ID,28233102,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150805|h26(ワ)33320
DUP_HANREI_ID,29015918,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151214|h26(ワ)33509
DUP_HANREI_ID,28231959,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150128|h26(ワ)4763
