issue_id,feature_title,source,article_count,confidence
ncid:AN00390536#v39n15,資産税重要判例紹介,title_extract,129,medium
issn:1341-1179#v48n4,ダイジェスト金融商事重要判例〔平成１５年版〕,title_extract,83,medium
issn:0494-9692#v37n2,金融取引と時効,title_extract,71,medium
issn:0438-5896#932,民事調停の実務,title_extract,58,medium
issn:0286-0821#200,働く者の権利,title_extract,55,medium
issn:0494-9692#v35n13,借地上建物の担保取得,title_extract,55,medium
issn:2185-3223#1433,戦後５０年特集 戦後金融判例５０選,title_extract,54,medium
issn:0448-0791#1155,商法１００年 その軌跡と２１世紀への展望,title_extract,45,medium
issn:0448-0791#1126,民法１００年,title_extract,44,medium
issn:0287-9956#679,私的整理,title_extract,43,medium
issn:0494-9692#v25n14,金融取引と時効,title_extract,43,medium
ncid:AN00390536#v57n2,裁判例・裁決例からみた消費税の事例研究,title_extract,38,medium
issn:0494-9692#v31n14,金融取引と不法行為責任,title_extract,33,medium
issn:1341-1179#v42n11,分類債権の保全強化策,title_extract,33,medium
issn:0287-9670#854,決着！将来債権譲渡担保と国税債権の優劣,title_extract,32,medium
ncid:AN00327813#1495-1496,現代労働法学の課題をさぐる,title_extract,32,medium
issn:0439-3295#v38n7,最新判例ガイダンス１９９３〔前期〕,title_extract,31,medium
issn:0287-9670#851,破産管財人の注意義務,title_extract,29,medium
issn:0448-0791#1000,新世紀の日本法,title_extract,29,medium
issn:0448-0791#1066,日本型雇用システムの変化と労働法の課題,title_extract,29,medium
issn:0494-9692#v32n14,根抵当の運用上の問題点と実務対応,title_extract,29,medium
issn:0916-3808#v36n1,解説・労働用語,title_extract,29,medium
issn:2185-3223#1367,会社再建とリストラの法務問題,title_extract,29,medium
issn:0439-3295#v57n1,強行法と任意法,title_extract,28,medium
issn:0448-0791#1059,家族法の変貌と家族法の課題,title_extract,28,medium
issn:0287-9670#1281,２０２５年ビジネスローの展望,title_extract,26,medium
issn:0439-3295#v36n6,民法〔財産法〕のキーワード,title_extract,26,medium
issn:2185-3223#1409,民事保全の現状と課題,title_extract,26,medium
issn:0439-3295#v38n12,最新判例ガイダンス１９９３〔後期〕,title_extract,25,medium
issn:0448-0791#1050,コーポレート・ガバナンス,title_extract,25,medium
issn:0448-0791#1111,倒産法制見直しの課題,title_extract,25,medium
issn:0448-0791#1139,消費者法制の軌跡と展望,title_extract,25,medium
issn:0448-0791#1200,消費者契約法と消費者の２１世紀,title_extract,25,medium
issn:0448-0791#875,転換期の日本法制,title_extract,25,medium
issn:0448-0791#948,経済社会の変動と商事法の課題,title_extract,25,medium
issn:0913-5278#v66n2,最新裁判例が示す税務の「社会通念」,title_extract,25,medium
ncid:AN00327813#1471-1472,『労働法律旬報』とあの時代・あの出来事,title_extract,25,medium
ncid:AN00327813#1711-1712,現在日本の労働法の課題,title_extract,25,medium
issn:0438-5896#839,会社法全面改正の動向と課題,title_extract,24,medium
issn:0448-0791#1028,民事訴訟法改正を展望する,title_extract,24,medium
issn:0448-0791#1095,これからの金融規制と法,title_extract,24,medium
issn:0448-0791#1244,人権論の原理と新展開,title_extract,24,medium
issn:0448-0791#971,民事訴訟の課題と将来,title_extract,24,medium
issn:1341-1179#v41n11,判例にみる法定地上権,title_extract,24,medium
issn:2185-3223#1359,倒産会社からの債権回収,title_extract,24,medium
issn:2185-3223#1421,保証・協会保証の判例と実務,title_extract,24,medium
issn:0439-3295#v40n3,よんでトクする最新判例’,title_extract,23,medium
issn:0448-0791#1117,コンピュータ・ネットワークと法,title_extract,23,medium
issn:0287-9670#1257,２０２４年ビジネスローの展望,title_extract,22,medium
issn:0287-9670#1305,２０２６年ビジネスローの展望,title_extract,22,medium
issn:0385-034X#376,そのとき，市民による法の創造は止まる,title_extract,22,medium
issn:0439-3295#v39n1,目からウロコがおちる民法ガイド,title_extract,22,medium
issn:0448-0791#1206,商法大改正の課題と展望,title_extract,22,medium
issn:0913-5278#v35n8,ケーススタディ・課税されない現物給与,title_extract,22,medium
issn:2185-3223#1378,民事執行実務の現状と諸問題,title_extract,22,medium
issn:2185-3223#1439,顧客志向の金融法務,title_extract,22,medium
ncid:AA11504883#v25n9,英文契約書レビューで「気をつけたい規定」２０選,title_extract,22,medium
issn:0287-9670#1233,２０２３年ビジネスローの展望,title_extract,21,medium
issn:0494-9692#v33n5,銀行取引における手形・小切手取扱上のチェックポイント,title_extract,21,medium
issn:1341-1179#v43n11,抵当権の物上代位による債権回収,title_extract,21,medium
issn:1341-1179#v43n4,管理・回収上の最新判例と実務対応,title_extract,21,medium
issn:1341-1179#v45n2,『銀行取引約定書』当会第一次試案に対する各界の意見,title_extract,21,medium
issn:1348-8953#v24n2,現代取引社会における債権譲渡の法務と課題,title_extract,21,medium
ncid:AA11504883#v24n4,苦手意識を克服！独禁法・競争法の最重要テーマ,title_extract,21,medium
issn:0438-5896#943,交通事故損害賠償の現状と課題,title_extract,20,medium
issn:0448-0791#1073,戦後法制５０年,title_extract,20,medium
issn:0448-0791#1104,企業の結合形態と法的課題,title_extract,20,medium
issn:0448-0791#1183,電子取引,title_extract,20,medium
issn:0448-0791#939,借地・借家法改正の課題,title_extract,20,medium
issn:1341-1179#v47n4,金融・事業再生と不良債権処理,title_extract,20,medium
issn:2185-3223#1791,ケーススタディ改正信託法,title_extract,20,medium
issn:2185-3223#1802,ケーススタデイ金融機関の守秘義務,title_extract,20,medium
issn:0389-2220#139,条文からスタート,title_extract,19,medium
issn:0438-5896#917,近時の会社争訟の焦点と課題,title_extract,19,medium
issn:0439-3295#v37n1,数字に強くなる〔家族法篇〕,title_extract,19,medium
issn:1341-1179#v44n11,民事再生手続の実務と論点,title_extract,19,medium
ncid:AN00390536#v45n6,商法等改正法律案詳解,title_extract,19,medium
issn:0287-9670#1041,２０１５年ビジネスローの展望,title_extract,18,medium
issn:0287-9670#1065,２０１６年ビジネスローの展望,title_extract,18,medium
issn:0287-9670#1137,２０１９年ビジネスローの展望,title_extract,18,medium
issn:0389-2220#184,条文からスタート＜民事訴訟法＞,title_extract,18,medium
issn:0438-5896#728,裁判外紛争処理機関の現状と展望,title_extract,18,medium
issn:0439-3295#v41n3,民法 最新判例の核心にふれる！,title_extract,18,medium
issn:0448-0791#1006,新借地借家法,title_extract,18,medium
issn:0448-0791#1414,２１世紀日本法の変革と針路,title_extract,18,medium
issn:0448-0791#828,現代社会と民法学,title_extract,18,medium
issn:0448-0791#993,国家賠償請求訴訟判例展望,title_extract,18,medium
issn:1348-8953#v30n1,私的整理と民事再生の境界,title_extract,18,medium
issn:2185-3223#2261-2262,新しい担保法制のインパクト,title_extract,18,medium
ncid:AN00080095#v34n8,平成３年度改正税法詳解,title_extract,18,medium
ncid:AN00080095#v40n2,比較税務,title_extract,18,medium
issn:0389-2220#112,比較で学ぶ民事訴訟法,title_extract,17,medium
issn:0389-2220#168,条文にない民訴の原則・理論,title_extract,17,medium
issn:0439-3295#v40n6,損害賠償いくら取れるかどう取るか,title_extract,17,medium
issn:0448-0791#1164,信託制度の将来展望,title_extract,17,medium
issn:0448-0791#1192,世紀の転換点に憲法を考える,title_extract,17,medium
issn:0448-0791#1383,ワーク・ライフ・バランスの実現に向けて,title_extract,17,medium
issn:2185-3223#1901,反社会的勢力への実務対応,title_extract,17,medium
ncid:AN00327813#1083-1084,関西電力事件最高裁判決・研究者２０名の見解,title_extract,17,medium
ncid:AN00327813#1213,現代・労働事情,title_extract,17,medium
issn:0286-0821#262,あるべき労働法制を考える,title_extract,16,medium
issn:0387-3420#v71n7,商法１００年,title_extract,16,medium
issn:0439-3295#v34n7,民法と民事訴訟の出会うとき,title_extract,16,medium
issn:0439-3295#v36n12,数字に強くなる〔会社法篇〕,title_extract,16,medium
issn:0447-7480#v45n4,独占禁止法を巡る状況と弁護士,title_extract,16,medium
issn:0447-7480#v47n8,１ 日弁連の発言,title_extract,16,medium
issn:0448-0791#1039,行政手続法の制定,title_extract,16,medium
issn:0448-0791#1215,電子化時代の情報と法,title_extract,16,medium
issn:0448-0791#1267,会社法制の現代化に向けた課題と展望,title_extract,16,medium
issn:1341-1179#v41n4,最近の判例にみる時効の管理,title_extract,16,medium
