object,op,key,field,before,after,reason,before_row,after_row
journal,NORMALIZE,不法行為法(法学セミナー増刊)』所収p,journal_canonical,不法行為法(法学セミナー増刊)』所収p,不法行為法(法学セミナー増刊),掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず),不法行為法(法学セミナー増刊)』所収p | 64 | isbn_per_issue |  | seed_isbn_per_issue | seed:article_meta_confirmed | 日本評論社「法学セミナー増刊」として発行された単独書籍(1985年)。ISSN無し。,不法行為法(法学セミナー増刊) | 64 | isbn_per_issue |  | seed_isbn_per_issue | seed:article_meta_confirmed | 日本評論社「法学セミナー増刊」として発行された単独書籍(1985年)。ISSN無し。
journal,NORMALIZE,現代判例民法学の課題――森泉章教授還暦記念論集』所収p,journal_canonical,現代判例民法学の課題――森泉章教授還暦記念論集』所収p,現代判例民法学の課題――森泉章教授還暦記念論集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代判例民法学の課題――森泉章教授還暦記念論集』所収p | 63 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,現代判例民法学の課題――森泉章教授還暦記念論集 | 63 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,現代判例民法学の理論と展望――森泉章先生古稀祝賀論集』所収p,journal_canonical,現代判例民法学の理論と展望――森泉章先生古稀祝賀論集』所収p,現代判例民法学の理論と展望――森泉章先生古稀祝賀論集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代判例民法学の理論と展望――森泉章先生古稀祝賀論集』所収p | 57 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,現代判例民法学の理論と展望――森泉章先生古稀祝賀論集 | 57 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,民事手続法学の新たな地平――青山善充先生古稀祝賀論文集』所収p,journal_canonical,民事手続法学の新たな地平――青山善充先生古稀祝賀論文集』所収p,民事手続法学の新たな地平――青山善充先生古稀祝賀論文集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民事手続法学の新たな地平――青山善充先生古稀祝賀論文集』所収p | 41 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,民事手続法学の新たな地平――青山善充先生古稀祝賀論文集 | 41 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念』所収p,journal_canonical,続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念』所収p,続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念』所収p | 39 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念 | 39 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念』所収p,journal_canonical,要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念』所収p,要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念』所収p | 38 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念 | 38 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,現代民法学の理論と課題――遠藤浩先生傘寿記念』所収p,journal_canonical,現代民法学の理論と課題――遠藤浩先生傘寿記念』所収p,現代民法学の理論と課題――遠藤浩先生傘寿記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代民法学の理論と課題――遠藤浩先生傘寿記念』所収p | 36 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,現代民法学の理論と課題――遠藤浩先生傘寿記念 | 36 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,企業法学の論理と体系――永井和之先生古稀記念論文集』所収p,journal_canonical,企業法学の論理と体系――永井和之先生古稀記念論文集』所収p,企業法学の論理と体系――永井和之先生古稀記念論文集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),企業法学の論理と体系――永井和之先生古稀記念論文集』所収p | 35 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,企業法学の論理と体系――永井和之先生古稀記念論文集 | 35 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,保険学保険法学の課題と展望――大谷孝一博士古稀記念』所収p,journal_canonical,保険学保険法学の課題と展望――大谷孝一博士古稀記念』所収p,保険学保険法学の課題と展望――大谷孝一博士古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),保険学保険法学の課題と展望――大谷孝一博士古稀記念』所収p | 34 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,保険学保険法学の課題と展望――大谷孝一博士古稀記念 | 34 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,憲法訴訟(法学セミナー増刊)』所収p,journal_canonical,憲法訴訟(法学セミナー増刊)』所収p,憲法訴訟(法学セミナー増刊),掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず),憲法訴訟(法学セミナー増刊)』所収p | 34 | issn | 0439-3295 | seed_bessatsu_jurist | seed:article_meta_confirmed | 憲法訴訟(日本評論社・法学セミナー増刊)。ISSN 0439-3295(法学セミナー)と同一。所収p確認。,憲法訴訟(法学セミナー増刊) | 34 | issn | 0439-3295 | seed_bessatsu_jurist | seed:article_meta_confirmed | 憲法訴訟(日本評論社・法学セミナー増刊)。ISSN 0439-3295(法学セミナー)と同一。所収p確認。
journal,NORMALIZE,民法学の課題と展望――石田喜久夫先生古稀記念』所収p,journal_canonical,民法学の課題と展望――石田喜久夫先生古稀記念』所収p,民法学の課題と展望――石田喜久夫先生古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民法学の課題と展望――石田喜久夫先生古稀記念』所収p | 33 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,民法学の課題と展望――石田喜久夫先生古稀記念 | 33 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
