issue,canonical_group,recommend
DUP_ISSN,判例タイムズ | 民事法研究,同一ISSN 0438-5896 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"女性と法(法学セミナー増刊 総合特集シリーズ | 憲法訴訟(法学セミナー増刊)』所収p | 法学ガイド | 法学セミナー | 法学セミナー別冊付録,p | 法学セミナー増刊,p",同一ISSN 0439-3295 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,判例セレクト’ | 憲法の基本判例(別冊法学教室 基本判例シリーズ | 民法の基本判例(別冊法学教室 基本判例シリーズ | 民法の基本判例<第 | 法学教室,同一ISSN 0389-2220 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,銀行法務 | 銀行法務21,同一ISSN 1341-1179 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,名古屋大学法政論集 | 法政論集,同一ISSN 0439-5905 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,法学論叢 | 法学論叢(京都大学),同一ISSN 0387-2866 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"白鴎法学 | 白鴎法学創刊号,p",同一ISSN 1348-8473 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,神奈川法学 | 神奈川法学(学生論文集),同一ISSN 0453-185X が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,愛媛法学 | 愛媛法学会雑誌,同一ISSN 0389-8571 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"鹿児島大学法学論集 | 鹿児島大学法学論集別冊,p",同一ISSN 0389-0813 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,東京都立大学法学会雑誌 | 法学会雑誌(東京都立大学),同一ISSN 0386-8745 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,日本国際経済法学会年報 | 経済法学会年報,同一ISSN 1342-1301 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,三重大学法経論叢 | 法経論叢,同一ISSN 0289-7156 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"志学館法学 | 志学館法学創刊号,p",同一ISSN 1345-5893 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"現代法学(東京経済大学) | 現代法学(東京経済大学)創刊号,p",同一ISSN 1345-9821 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"白鴎大学大学院法学研究年報 | 白鴎大学大学院法学研究年報創刊号,p",同一ISSN 1880-2699 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,秋田法学(ノースアジア大学) | 秋田法学(秋田経済法科大学),同一ISSN 0286-2859 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,桐蔭法学(桐蔭学園横浜大学) | 桐蔭法学(桐蔭横浜大学),同一ISSN 1341-3791 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"法学研究科論集(北海学園大学大学院) | 法学研究科論集(北海学園大学大学院)創刊号,p",同一ISSN 2435-8525 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"松山法学 | 松山法学創刊号,p",同一ISSN 1349-7537 が複数誌→同一誌統合 or ISSN誤付与修正
DUP_ISSN,"白山法学(東洋大学法科大学院) | 白山法学(東洋大学法科大学院)創刊号,p",同一ISSN 1880-1161 が複数誌→同一誌統合 or ISSN誤付与修正
