issue,canonical_group,verdict,normalized_name,merge_target,missing_flag,evidence
CITATION_FRAGMENT,"法学セミナー別冊付録,p",MERGE_TO_EXISTING,法学セミナー,法学セミナー,,サフィックス除去→'法学セミナー'が既存journal_canonicalに一致(article_count=8596)
CITATION_FRAGMENT,不法行為法(法学セミナー増刊)』所収p,NORMALIZE,不法行為法(法学セミナー増刊),,,掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず)
CITATION_FRAGMENT,現代判例民法学の課題――森泉章教授還暦記念論集』所収p,NORMALIZE,現代判例民法学の課題――森泉章教授還暦記念論集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,現代判例民法学の理論と展望――森泉章先生古稀祝賀論集』所収p,NORMALIZE,現代判例民法学の理論と展望――森泉章先生古稀祝賀論集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民事手続法学の新たな地平――青山善充先生古稀祝賀論文集』所収p,NORMALIZE,民事手続法学の新たな地平――青山善充先生古稀祝賀論文集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念』所収p,NORMALIZE,続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念』所収p,NORMALIZE,要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,現代民法学の理論と課題――遠藤浩先生傘寿記念』所収p,NORMALIZE,現代民法学の理論と課題――遠藤浩先生傘寿記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,企業法学の論理と体系――永井和之先生古稀記念論文集』所収p,NORMALIZE,企業法学の論理と体系――永井和之先生古稀記念論文集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,保険学保険法学の課題と展望――大谷孝一博士古稀記念』所収p,NORMALIZE,保険学保険法学の課題と展望――大谷孝一博士古稀記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,憲法訴訟(法学セミナー増刊)』所収p,NORMALIZE,憲法訴訟(法学セミナー増刊),,,掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず)
CITATION_FRAGMENT,民法学の課題と展望――石田喜久夫先生古稀記念』所収p,NORMALIZE,民法学の課題と展望――石田喜久夫先生古稀記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,昭和商法学史――岩崎稜先生追悼論文集』所収p,NORMALIZE,昭和商法学史――岩崎稜先生追悼論文集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集』所収p,NORMALIZE,民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,商法学における論争と省察――服部榮三先生古稀記念』所収p,NORMALIZE,商法学における論争と省察――服部榮三先生古稀記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,演習民事訴訟法(法学教室選書)』所収p,NORMALIZE,演習民事訴訟法(法学教室選書),,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,最高裁判所判例解説――民事篇<平成元年度>』所収p,NORMALIZE,最高裁判所判例解説――民事篇<平成元年度>,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,労働法学の展望――菅野和夫先生古稀記念論集』所収p,NORMALIZE,労働法学の展望――菅野和夫先生古稀記念論集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民事訴訟法学の新たな展開――中村英郎教授古稀祝賀』所収p,NORMALIZE,民事訴訟法学の新たな展開――中村英郎教授古稀祝賀,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,労働法学の理論と課題――片岡昇先生還暦記念』所収p,NORMALIZE,労働法学の理論と課題――片岡昇先生還暦記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,日本民法学の新たな時代――星野英一先生追悼』所収p,NORMALIZE,日本民法学の新たな時代――星野英一先生追悼,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民事法学の歴史と未来――田山輝明先生古稀記念論文集』所収p,NORMALIZE,民事法学の歴史と未来――田山輝明先生古稀記念論文集,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民法学の新たな展開 高島平蔵教授古稀記念』所収p,NORMALIZE,民法学の新たな展開 高島平蔵教授古稀記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民法学の現在と近未来』所収p,NORMALIZE,民法学の現在と近未来,,,掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず)
CITATION_FRAGMENT,社会の発展と民法学――近江幸治先生古稀記念論文集(下)』所収p,NORMALIZE,社会の発展と民法学――近江幸治先生古稀記念論文集(下),,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀』所収p,NORMALIZE,倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,NORMALIZE,現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,民法学の伝統と新たな構想――宮本健蔵先生古稀記念』所収p,NORMALIZE,民法学の伝統と新たな構想――宮本健蔵先生古稀記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,社会の発展と民法学――近江幸治先生古稀記念論文集(上)』所収p,NORMALIZE,社会の発展と民法学――近江幸治先生古稀記念論文集(上),,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,補講民法学』所収p,NORMALIZE,補講民法学,,,掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず)
CITATION_FRAGMENT,現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,NORMALIZE,現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
CITATION_FRAGMENT,現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,NORMALIZE,現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念,,,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ)
