journal_canonical,ndl_status,succession_event,related_ncid
ジュリスト,継続刊行中,,AA11398469|AA11493710|AA11784906|AA11878180|AA12014824|AA12031914|AA1207974X|AA12131577|AA12179609|AA1224291X|AA12288375|AN00112952|AN00327380
金融法務事情,継続刊行中,succeeds_from:旬刊金融法務事情(ISSN:0451-9787),AN00327573
判例タイムズ,継続刊行中,,AN00223272|AN00326956
NBL,刊行終了,succeeded_by:NBL,
旬刊商事法務,継続刊行中,succeeds_from:旬刊商事法務研究(ISSN:0583-1083),AA11553200|AN00327970
法学セミナー,刊行終了,succeeded_by:法セミ,AN00224661|AN10333448|AN10334010
国際商事法務,継続刊行中,succeeds_from:海外商事法務,AN00327642
法律時報,継続刊行中,,AN00327052
法学教室,継続刊行中,succeeds_from:法学教室. 第2期,AA11476008|AN00092130|AN10064470
判例評論,継続刊行中,,
労働法律旬報,継続刊行中,,
税理,不明,,
公正取引,継続刊行中,,AN00327686
法曹,unknown,,
税経通信,継続刊行中,,AN00390536
戸籍時報,継続刊行中,,AN00230176
税務弘報,継続刊行中,,AN00328135
月刊税務事例,継続刊行中,,AN00328124
ビジネス法務,刊行終了,,
月刊登記情報,継続刊行中,succeeds_from:登記先例解説集,AN10523953
銀行法務,継続刊行中,succeeds_from:手形研究(ISSN:0494-9692),AN10464708
金融・商事判例,継続刊行中,,
民商法雑誌,継続刊行中,,AN00236820
自由と正義,継続刊行中,,AN0032737X
手形研究,刊行終了,succeeded_by:銀行法務21(ISSN:1341-1179),AN00150259
銀行法務21,継続刊行中,succeeds_from:手形研究(ISSN:0494-9692),AN10464708
季刊労働法,継続刊行中,,AN00050753
法律のひろば,継続刊行中,,AN00327096
登記研究,継続刊行中,,
時の法令,刊行終了,succeeds_from:旬刊時の法令解説,AN00337147
JCAジャーナル,継続刊行中,succeeds_from:貿易クレームと仲裁,AN00327303
民事研修,刊行終了,succeeded_by:みんけん,AN00327744
月報司法書士,継続刊行中,succeeds_from:月報日司連(ISSN:0388-354X),AN0030459X
中央労働時報,継続刊行中,,AN0033539X
季刊労働者の権利,継続刊行中,succeeds_from:総評弁護団会報,AN00271129
法学研究(慶応義塾大学),継続刊行中,,AN00224504
速報判例解説,継続刊行中,,
民法判例百選,not_found,,
地方税,unknown,,
日本労働研究雑誌,継続刊行中,succeeds_from:日本労働協会雑誌,AN10120163
労働法学研究会報,継続刊行中,,AN00256613
自治研究,継続刊行中,,AN00104502
労働判例,継続刊行中,succeeds_from:労働判例news,AN00256533|AN00262999
法令解説資料総覧,継続刊行中,,AN10019487
法学協会雑誌,継続刊行中,,AN00224435
月刊民事法情報,刊行終了,succeeded_by:事業再生と債権管理,AA1137720X
登記インターネット,刊行終了,,
法と民主主義,継続刊行中,,AN00162622
会社法務A2Z,継続刊行中,,AA12210083
JICPAジャーナル,刊行終了,merged:JICPA news; merged:会計ジャーナル; succeeded_by:会計・監査ジャーナル,AN10070542
民事月報,継続刊行中,,
労働経済判例速報,継続刊行中,,
立命館法学,継続刊行中,succeeds_from:法と経済,AN00250209
賃金と社会保障,刊行終了,succeeded_by:賃金と社会保障(ISSN:0911-4718); succeeds_from:福祉対策資料(ISSN:0911-470X),AN00040181|AN00335877|AN10327026
季刊事業再生と債権管理,継続刊行中,succeeds_from:債権管理(ISSN:0914-417X),AA11864619
法学新報(中央大学),継続刊行中,,AN00224650
月刊登記先例解説集,継続刊行中,,
損害保険研究,継続刊行中,,AN00390514
早稲田法学,継続刊行中,,AN00259112
実践成年後見,継続刊行中,,AA11818702|AA12097606
地方自治,継続刊行中,,AN00326708
憲法判例百選,not_found,,
名古屋大学法政論集,継続刊行中,,AN00180624
