case_name_normalized,court,date,n_hanrei_judgments,n_variants,n_assigned,assignments,candidate_dockets
ハマキョウレックス事件,最高二小判,平成30.6.1,2,7,1,地位確認等請求事件=>28262467(平成２９年（受）４４２号),平成２８年（受）２０９９号／平成２８年（受）２１００号:未払賃金等支払請求上告、同附 | 平成２９年（受）４４２号:地位確認等請求事件
三井倉庫港運事件,最高一小判,平成1.12.14,5,7,1,三井倉庫港運解雇無効確認等請求事件=>27805325(昭和６０年（オ）３８６号),平成１年（行ツ）１２２号:審決取消請求事件 | 昭和５８年（オ）１５４２号:賃金請求控訴、同附帯控訴事件 | 昭和６０年（オ）３８６号:解雇無効確認等請求事件 | 昭和６１年（あ）１２２６号:酒税法違反被告事件 | 昭和６１年（オ）６５５号:損害賠償等請求事件
日本メール・オーダー事件,最高三小判,昭和59.5.29,7,7,1,日本メール・オーダー救済命令取消請求上告事件=>27000014(昭和５０年（行ツ）７７号／昭和５０年（行ツ）７８号),昭和５０年（行ツ）７７号／昭和５０年（行ツ）７８号:救済命令取消請求上告事件 | 昭和５４年（オ）１３０８号:業務上横領 | 昭和５５年（オ）３５１号:配当異議上告事件 | 昭和５６年（オ）１１６６号:不正競争行為差止等請求本訴、 | 昭和５７年（オ）５２９号:株券交付等請求上告事件 | 昭和５７年（行ツ）１８２号:遺族補償費等不支給処分取消請
国道43号線訴訟,最高二小判,平成7.7.7,5,7,1,国道４３号・阪神高速道路騒音排気ガス規制等請求事件=>27827505(平成４年（オ）１５０４号),平成４年（オ）１５０３号:国道４３号・阪神高速道路騒音 | 平成４年（オ）１５０４号:国道４３号・阪神高速道路騒音 | 平成４年（オ）１６９９号:営業表示使用禁止等請求事件 | 平成５年（あ）５９号:各公職選挙法違反 | 平成７年（オ）３６２号:貸金請求事件
神奈川県臨時特例企業税条例事件,最高一小判,平成25.3.21,8,6,1,神奈川県臨時特例企業税通知処分取消等請求事件=>28210886(平成２２年（行ヒ）２４２号),平成２２年（行ヒ）２４２号:神奈川県臨時特例企業税通知処 | 平成２３年（オ）２１６１号／平成２３年（受）２４８１号:損害賠償請求上告事件 | 平成２３年（オ）６８４号／平成２３年（受）７８８号:預貯金等所有権確認請求事件 | 平成２３年（オ）６８５号／平成２３年（受）７８９号:預貯金等所有権確認請求事件 | 平成２３年（行ツ）４０６号:損害賠償等請求事件 | 平成２４年（行ツ）３９５号／平成２４年（行ヒ）４６４号:審決取消請求事件
旭ダイヤモンド工業事件,最高三小判,昭和61.6.10,5,6,1,換価代金配当処分取消請求事件=>22001340(昭和５８年（行ツ）７５号),昭和５８年（行ツ）７５号:換価代金配当処分取消請求事件 | 昭和５８年（行ツ）７８号:損害賠償請求控訴事件 | 昭和５８年（行ツ）７９号:不当労働行為救済命令取消請求 | 昭和６０年（行ツ）１６２号:為替手形金等請求控訴事件 | 昭和６０年（行ツ）２００号:審決取消請求事件
弘前電報電話局事件,最高二小判,昭和62.7.10,7,6,1,電電公社懲戒処分無効確認等請求事件=>27100068(昭和５９年（オ）６１８号),昭和５８年（オ）１２８号:損害賠償請求事件 | 昭和５８年（オ）７３５号:配当異議等事件 | 昭和５９年（オ）１４０４号:不動産引渡（留置権確認）請求 | 昭和５９年（オ）６１８号:懲戒処分無効確認等請求事件 | 昭和６０年（オ）１２７８号:代表役員資格不存在確認等請求 | 昭和６０年（オ）１４９号:差押債権取立請求事件
レペタ事件,,平成1.3.8,5,5,1,メモ採取不許可国家賠償請求事件=>27803181(昭和６３年（オ）４３６号),昭和５１年（ワ）３１号:工事差止等請求事件 | 昭和５８年（ワ）４８７２号:著作権確認等請求事件 | 昭和６２年（ワ）１２１０１号:土地所有権移転登記等請求事件 | 昭和６２年（行ウ）２号:借地条件変更申立事件 | 昭和６３年（オ）４３６号:メモ採取不許可国家賠償請求事
エヌ・ビー・シー工業事件,最高三小判,昭和60.7.16,6,4,1,マンション建築確認処分留保損害賠償請求事件=>27100013(昭和５５年（オ）３０９号／昭和５５年（オ）３１０号),昭和５５年（オ）３０９号／昭和５５年（オ）３１０号:損害賠償請求事件 | 昭和５５年（オ）６２６号:未払賃金請求事件 | 昭和５６年（オ）４１３号: | 昭和５９年（オ）７６９号:債務不存在確認請求事件 | 昭和５９年（行ツ）２７２号:違法確認請求事件 | 昭和６０年（オ）１１４号:貸金請求事件
クロレラチラシ事件,最高三小判,平成29.1.24,6,7,1,クロレラチラシ配布差止等請求事件=>28250280(平成２８年（受）１０５０号),平成２７年（行ツ）３８７号／平成２７年（行ヒ）４１７号:損害賠償請求事件 | 平成２８年（オ）１７００号／平成２８年（受）２１４６号:損害賠償等請求事件 | 平成２８年（受）１０５０号:クロレラチラシ配布差止等請求 | 平成２８年（受）１０５１号:不足額填補責任履行請求・役員 | 平成２８年（受）８６８号:損害賠償請求事件 | 平成２８年（行ヒ）１９８号:審決取消請求事件
