nickname,n_judgments,subjects,separation_verdict
国賠事件,54,不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|他|不法行為|不法行為|不法行為|不法行為|不法行為|他|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|他|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|他|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為|不法行為,separable_by_subject(read-only可)
渉外家事事件,16,他|他|他|不法行為|独禁|不法行為|他|他|他|他|他|家事|他|他|行政|家事,separable_by_subject(read-only可)
租税訴訟,10,他|不法行為|他|不法行為|不法行為|労働|他|租税|租税|不法行為,separable_by_subject(read-only可)
過去事例から学ぶ税務訴訟,9,租税|不法行為|行政|不法行為|不法行為|他|不法行為|租税|不法行為,separable_by_subject(read-only可)
第1事件,4,不法行為|他|不法行為|他,separable_by_subject(read-only可)
日産自動車事件,3,労働|労働|労働,same_subject→当事者署名要(owner権威)
共有物分割訴訟,3,他|他|他,same_subject→当事者署名要(owner権威)
固有必要的共同訴訟,3,他|他|他,same_subject→当事者署名要(owner権威)
阪神バス事件,3,他|不法行為|他,subject不明→当事者署名要(owner権威)
オリエンタルモーター事件,3,不法行為|労働|労働,separable_by_subject(read-only可)
武富士事件,2,租税|不法行為,separable_by_subject(read-only可)
大隈鐵工所事件,2,労働|他,subject不明→当事者署名要(owner権威)
紅屋商事事件,2,労働|労働,same_subject→当事者署名要(owner権威)
ダイハツ工業事件,2,他|不法行為,subject不明→当事者署名要(owner権威)
みちのく銀行事件,2,労働|労働,same_subject→当事者署名要(owner権威)
債権者代位訴訟,2,他|不法行為,subject不明→当事者署名要(owner権威)
三菱重工業長崎造船所事件,2,他|労働,subject不明→当事者署名要(owner権威)
任意的訴訟,2,他|他,same_subject→当事者署名要(owner権威)
高山労基署長事件,2,労働|行政,separable_by_subject(read-only可)
朝日火災海上保険事件,3,労働|労働|他,separable_by_subject(read-only可)
丸子警報器事件,2,不法行為|他,subject不明→当事者署名要(owner権威)
マンナ運輸事件,2,労働|労働,same_subject→当事者署名要(owner権威)
離婚訴訟,2,家事|家事,same_subject→当事者署名要(owner権威)
東洋シート事件,2,他|他,same_subject→当事者署名要(owner権威)
旧優生保護法違憲訴訟,2,不法行為|不法行為,same_subject→当事者署名要(owner権威)
東宝・新東宝事件,2,他|会社,subject不明→当事者署名要(owner権威)
国立大学法人賃下げ訴訟,2,行政|労働,separable_by_subject(read-only可)
JR西日本事件,2,他|労働,subject不明→当事者署名要(owner権威)
医療法人A病院事件,2,労働|不法行為,separable_by_subject(read-only可)
大阪白急タクシー事件,2,他|他,same_subject→当事者署名要(owner権威)
東海旅客鉄道事件,2,他|不法行為,subject不明→当事者署名要(owner権威)
倉田学園事件,2,不法行為|労働,separable_by_subject(read-only可)
名誉毀損事件,2,不法行為|他,subject不明→当事者署名要(owner権威)
