article_id,title,court_extracted,date_extracted,extracted_ok,hanrei_id_candidate,match_status
issn:0448-0791#1#p100,平等判例における違憲判断と救済方法の到達点（国籍法違憲判決）（平成２０．６．４最高大判）（特集 憲法最高裁判例を読み直す）,最高大,20080604,1,,no_match
issn:0448-0791#1#p108,「日の丸・君が代訴訟」を振り返る――最高裁諸判決の意義と課題（日の丸・君が代訴訟）（平成１９．２．２７最高三小判，平成２３．５．３０最高二小判，平成２４．１．１６最高一小判）（特集 憲法最高裁判例を読み直す）,最高三小,20070227,1,,no_match
issn:0448-0791#1#p125,政教分離規定の憲法判断の枠組み（空知太神社訴訟）（平成２２．１．２０最高大判）（特集 憲法最高裁判例を読み直す）,最高大,20100120,1,28160142;28160143,matched_multi
issn:0448-0791#1#p18,猿払事件判決と憲法上の権利の「制約」類型（猿仏事件判決）（昭和４９．１１．６最高大判）（特集 憲法最高裁判例を読み直す）,最高大,19741106,1,27670763;27761040;27670762,matched_multi
issn:0448-0791#1#p25,公務の民間化と労働基本権――公務員関係の自律性は憲法秩序の構成要素か（名古屋中郵事件判決）（昭和５２．５．４最高大判）（特集 憲法最高裁判例を読み直す）,最高大,19770504,1,27670838,matched_unique
issn:0448-0791#1#p33,復活の日なき無効力論（三菱樹脂事件判決）（昭和４８．１２．１２最高大判）（特集 憲法最高裁判例を読み直す）,最高大,19731212,1,27000458,matched_unique
issn:0448-0791#1#p41,１票の較差をめぐる「違憲審査のゲーム」（投票価値の平等）（昭和５１．４．１４最高大判）（特集 憲法最高裁判例を読み直す）,最高大,19760414,1,27000326,matched_unique
issn:0448-0791#1#p50,ネット時代の名誉毀損・プライバシー侵害と「事前抑制」（北方ジャーナル事件判決）（昭和６１．６．１１最高大判）（特集 憲法最高裁判例を読み直す）,最高大,19860611,1,27100045,matched_unique
issn:0448-0791#1#p59,経済的活動の自由を規制する立法の違憲審査基準（森林法事件判決）（昭和６２．４．２２最高大判）（特集 憲法最高裁判例を読み直す）,最高大,19870422,1,27100065,matched_unique
issn:0448-0791#1#p66,人権の私人間効力と法秩序の公共性保障機能――南九州税理士会訴訟最高裁判決が問いかけたもの（南九州税理士会事件判決）（平成８．３．１９最高三小判）（特集 憲法最高裁判例を読み直す）,最高三小,19960319,1,28010412,matched_unique
issn:0448-0791#1#p73,郵便法の責任免除・制限規定の合憲性審査（郵便法違憲判決）（平成１４．９．１１最高大判）（特集 憲法最高裁判例を読み直す）,最高大,20020911,1,28072380,matched_unique
issn:0448-0791#1#p81,選挙権制約の合憲性審査と立法行為の国家賠償法上の違法性判断（在外国民選挙権訴訟）（平成１７．９．１４最高大判）（特集 憲法最高裁判例を読み直す）,最高大,20050914,1,28101810,matched_unique
issn:0448-0791#1#p90,過度広汎性・明確性の理論と合憲限定解釈（広島市暴走族追放条例事件判決）（平成１９．９．１８最高三小判）（特集 憲法最高裁判例を読み直す）,最高三小,20070918,1,,no_match
issn:0448-0791#1548#p10,税務通達を「文理解釈」した原審の判断手法が排斥された事例（令和２．３．２４最高三小判）＜租税判例速報＞,最高三小,20200324,1,28281160;28281075;28281158;28341597;28282395,matched_multi
issn:0448-0791#1548#p2,調査委員会の費用と取締役の賠償責任（令和２．２．１３東京地判）＜会社法判例速報＞,東京地,20200213,1,28281451;29059157;29059117;29059158;29059525,matched_multi
issn:0448-0791#1548#p4,６５歳定年制における定年延長拒否の違法性の判断――同志社事件（令和２．３．１７京都地判）＜労働判例速報＞,京都地,20200317,1,28340995,matched_unique
issn:0448-0791#1548#p6,事業者団体の加入拒否が事業者数の制限に当たるかを判断した事例（令和２．３．２６東京地判）＜独禁法事例速報＞,東京地,20200326,1,29060174;28281173;29059745;29059576;29059882,matched_multi
issn:0448-0791#1549#p10,共有物分割による土地の取得と不動産取得税の課税（令和２．３．１９最高一小判）＜租税判例速報＞,最高一小,20200319,1,,date_only_court_miss
issn:0448-0791#1549#p100,従業員等派遣と優越的地位の濫用の認定――株式会社エディオンによる優越的地位の濫用に対する課徴金の一部取消事件（令和元．１０．２公取委審判審決）＜経済法判例研究会２８７＞,公取委審,20191002,1,,date_only_court_miss
issn:0448-0791#1549#p104,車両保険金請求権と請求権代位（平成３０．４．２５東京高判）＜商事判例研究３３９０＞,東京高,20180425,1,28261950;28262570;28322547;28262317;28262542,matched_multi
issn:0448-0791#1549#p108,取締役解任の「正当な理由」の根拠となる事情の認識時期（平成３０．３．２９東京地判）＜商事判例研究３３９１＞,東京地,20180329,1,28263736;29049242;28264125;28261448;29049646,matched_multi
issn:0448-0791#1549#p116,ＨＩＶ感染不告知を理由とする内定取消しと医療記録利用の適法性――北海道社会事業協会事件（令和元．９．１７札幌地判）＜労働判例研究１３７７＞,札幌地,20190917,1,28273994,matched_unique
issn:0448-0791#1549#p120,過少な業務によるうつ病の悪化と使用者の注意義務――食品会社Ａ社（障害者雇用枠採用社員）事件（令和元．６．１９札幌地判）＜労働判例研究１３７８＞,札幌地,20190619,1,28274495;28280441,matched_multi
issn:0448-0791#1549#p124,輸出業を営む個人事業者が課税仕入れを行っていないとされた事例（平成３１．２．２０東京地判）＜租税判例研究５７１＞,東京地,20190220,1,,no_match
issn:0448-0791#1549#p128,不法行為に基づく国際裁判管轄と特別の事情による訴えの却下（平成２９．９．１３東京地判）＜渉外判例研究６８５＞,東京地,20170913,1,29031613;29031791;28253928;28253864;29031514,matched_multi
issn:0448-0791#1549#p2,子会社による違法な親会社株式取得の効力（令和元．１１．２１東京高判）＜会社法判例速報＞,東京高,20191121,1,28283282;28342256;28281808,matched_multi
issn:0448-0791#1549#p4,労働契約における職種限定の有無――日通学園事件（令和２．３．２５千葉地判）＜労働判例速報＞,千葉地,20200325,1,28281533,matched_unique
issn:0448-0791#1549#p6,民事訴訟において押し紙を理由とする独禁法違反を認定した事例（令和２．５．１５佐賀地判）＜独禁法事例速報＞,佐賀地,20200515,1,28281688,matched_unique
issn:0448-0791#1549#p91,（１）振替口座簿に開設された被相続人名義の口座に記載又は記録がされている振替株式等の共同相続により債務者が承継した共有持分に対する差押命令の適否 （２）振替株式等の共同相続により債務者が承継した共有持分について譲渡命令を発することの許否（平成３１．１．２３最高二小決）＜最高裁時の判例 民事＞,最高二小,20190123,1,,no_match
issn:0448-0791#1550#p10,外国法人のスピンオフにより取得した株式が所得税法２４条１項の配当所得にあたるとされた事例（令和元．８．１国税不服審判所裁決）＜租税判例速報＞,国税不服審,20190801,1,,date_only_court_miss
issn:0448-0791#1550#p112,系統外出荷制限における市場閉鎖効果が問題になった事件――土佐あき農協事件（令和元．１１．２７東京高判）＜経済法判例研究会２８８＞,東京高,20191127,1,28281040;28280687;28292545;28281460;28291914,matched_multi
issn:0448-0791#1550#p116,未公開株投資とファンドマネージャー及び投資一任業者の責任（平成３０．９．２０東京高判）＜商事判例研究３３９３＞,東京高,20180920,1,28264825;28271926;28264648;28264378;28264795,matched_multi
issn:0448-0791#1550#p120,瑕疵担保免責特約を排除する法人売主の悪意（平成２９．１０．２７東京地判）＜商事判例研究３３９４＞,東京地,20171027,1,29037685;29037777;29037663;29037850;29037983,matched_multi
issn:0448-0791#1550#p124,粉飾決算に関する取締役に対する損害賠償請求（令和元．５．１６東京高判）＜商事判例研究３３９５＞,東京高,20190516,1,28272913;28272454;28272462;28272466;28274869,matched_multi
issn:0448-0791#1550#p128,育休終了後の有期契約への変更合意・雇止めの適法性等――ジャパンビジネスラボ事件（令和元．１１．２８東京高判）＜労働判例研究１３７９＞,東京高,20191128,1,28280009;28321742;28281860,matched_multi
issn:0448-0791#1550#p132,職務遂行能力の不足等を理由とする賃金減額・賞与減額の適法性――キムラフーズ事件（平成３１．４．１５福岡地判）＜労働判例研究１３８０＞,福岡地,20190415,1,,no_match
issn:0448-0791#1550#p140,日本法上の方式による協議離婚の無効確認事件の国際裁判管轄（平成３０．７．１１東京高判）＜渉外判例研究６８６＞,東京高,20180711,1,28263569;28263585;28282989;28264012;28265158,matched_multi
issn:0448-0791#1550#p6,マイナミ空港サービスに対する件――１１年ぶりの排除型私的独占事件（令和２．７．７公取委命令）＜独禁法事例速報＞,,,0,,no_extract
issn:0448-0791#1550#p8,不正競争防止法上の品質等誤認表示――八ッ橋事件（令和２．６．１０京都地判）＜知財判例速報＞,京都地,20200610,1,28282539,matched_unique
issn:0448-0791#1553#p10,相続人に対する国民保険税等の納税義務承継通知の時効中断効（令和２．６．２６最高二小判）＜租税判例速報＞,最高二小,20200626,1,28321937,matched_unique
