nickname,classification,litigation_status,n_judgments,judgment_chain
三菱重工長崎造船所事件,litigation_chain_T1,machine_confirmed,5,長崎地:19850924:27613369|長崎地:19890210:27804844|福岡高:19940324:27826066|福岡高:19950315:27828222|福岡高:19950420:27828224
日本通運事件,litigation_chain_T1,machine_confirmed,4,秋田地:19510611:27610390|大阪地:19960920:28020346|横浜地川崎支:20210330:28291550|東京高:20221101:28311056
名古屋自動車学校事件,litigation_chain_T1,machine_confirmed,3,名古屋地:20120125:28181466|名古屋地:20201028:28283888|最高第1小法廷:20230720:28312065
B型肝炎訴訟,litigation_chain_T1,machine_confirmed,3,札幌高:20040116:28090822|最高第2小法廷:20060616:28111291|最高第2小法廷:20210426:28291384
実務と学説からみた憲法訴訟,litigation_chain_T1,machine_confirmed,3,岐阜地:20220221:28300700|大阪高:20220222:28300671|最高第2小法廷:20220615:28301923
不動産競売事件,litigation_chain_T1,machine_confirmed,3,京都地:20020726:28080431|金沢地:20030731:28090150|大阪高:20100916:28171736
福島原発事故賠償訴訟,litigation_chain_T1,machine_confirmed,2,前橋地:20170317:28251254|仙台高:20200312:28281804
津田電気計器事件,litigation_chain_T1,machine_confirmed,2,大阪高:20110325:28173856|最高第1小法廷:20121129:28182500
東リ事件,litigation_chain_T1,machine_confirmed,2,神戸地:20200313:28281457|大阪高:20211104:28293693
ノイズ研究所事件,litigation_chain_T1,machine_confirmed,2,横浜地川崎支:20040226:28092446|東京高:20060622:28111389
巴機械サービス事件,litigation_chain_T1,machine_confirmed,2,横浜地:20210323:28292400|東京高:20220309:28310228
熊谷組株主代表訴訟,litigation_chain_T1,machine_confirmed,2,福井地:20030212:28081228|名古屋高金沢支:20060111:28110282
金沢市庁舎前広場事件,litigation_chain_T1,machine_confirmed,2,金沢地:20200918:28283383|最高第3小法廷:20230221:28310494
Winny事件,litigation_chain_T1,machine_confirmed,2,京都地:20041130:28105040|最高第3小法廷:20111219:28185001
重複訴訟,litigation_chain_T1,machine_confirmed,2,福岡地:20140124:28223595|大阪高:20141202:28231387
伊予銀行・いよぎんスタッフサービス事件,litigation_chain_T1,machine_confirmed,2,松山地:20030522:28081956|高松高:20060518:28112177
指定確認検査機関のした建築確認処分の取消訴訟,litigation_chain_T1,machine_confirmed,2,横浜地:20040623:28110128|最高第2小法廷:20050624:28283401
生業訴訟,litigation_chain_T1,machine_confirmed,2,福島地:20171010:28253812|仙台高:20200930:28283525
中部日本広告社事件,litigation_chain_T1,machine_confirmed,2,名古屋地:19890626:27805185|名古屋高:19900831:27807703
日立製作所事件,litigation_chain_T1,machine_confirmed,2,東京地:19870113:27802221|最高第3小法廷:20061017:28112208
四天王寺国際仏教大学事件,litigation_chain_T1,machine_confirmed,2,大阪地:19880420:27802474|大阪高:19890208:27808408
筑豊じん肺訴訟,litigation_chain_T1,machine_confirmed,2,福岡地飯塚支:19950720:27828331|福岡高:20010719:28061661
不二越訴訟,litigation_chain_T1,machine_confirmed,2,富山地:19960724:28011255|名古屋高金沢支:19981221:28060273
日本トラック事件,litigation_chain_T1,machine_confirmed,2,名古屋地:19850118:27813988|名古屋高:19851127:27613377
日産自動車村山工場事件,litigation_chain_T1,machine_confirmed,2,横浜地:19860320:27800166|最高第1小法廷:19891207:27808460
熊本ねずみ講事件,litigation_chain_T1,machine_confirmed,2,熊本地:19840227:21080241|福岡高:19900718:22004062
同性婚訴訟,litigation_chain_T1,machine_confirmed,2,名古屋地:20230530:28311970|札幌高:20240314:28321180
中倉陸運事件,litigation_chain_T1,machine_confirmed,2,京都地:20230309:28320161|大阪高:20240119:28341671
八ッ橋事件,litigation_chain_T1,machine_confirmed,2,京都地:20200610:28282539|大阪高:20210311:28291121
姫路赤十字病院事件,litigation_chain_T1,machine_confirmed,2,神戸地:19810209:27613030|大阪高:19820317:27613108
社会福祉法人紫雲会事件,litigation_chain_T1,machine_confirmed,2,宇都宮地:20230208:28320287|東京高:20231011:28322913
長崎生コンクリート事件,litigation_chain_T1,machine_confirmed,2,長崎地:19880212:27802618|福岡高:19890130:27805311
USJ事件,litigation_chain_T1,machine_confirmed,2,大阪地:20230721:28312725|大阪高:20241219:28330227
安保法制違憲訴訟,litigation_chain_T1,machine_confirmed,2,那覇地:20200630:28282440|仙台高:20231205:28313790
旭川市国民健康保険条例事件,litigation_chain_T1,machine_confirmed,2,旭川地:19980421:28030805|札幌高:19991221:28050156
棋譜情報配信事件,litigation_chain_T1,machine_confirmed,2,大阪地:20240116:28320229|大阪高:20250130:28330446
テレビ西日本事件,litigation_chain_T1,machine_confirmed,2,福岡地:19861125:27613444|福岡高:20121029:28224855
佐川急便ほか事件,litigation_chain_T1,machine_confirmed,2,仙台地:20100420:28162998|仙台高:20101208:28170487
公立八鹿病院組合ほか事件,litigation_chain_T1,machine_confirmed,2,鳥取地米子支:20140526:28222505|広島高:20150318:28231433
北方ジャーナル事件,litigation_chain_T1,machine_confirmed,2,旭川地:19810903:27423740|最高第2小法廷:19811002:27752844
変額保険訴訟,litigation_chain_T1,machine_confirmed,2,大阪地:19940706:27825362|大阪高:19961205:28020035
学校法人羽衣学園事件,litigation_chain_T1,machine_confirmed,2,大阪地:20220131:28301301|大阪高:20230118:28310804
岩手県教組事件,litigation_chain_T1,machine_confirmed,2,盛岡地:19820611:27613124|仙台高:19861024:27803752
日検事件,litigation_chain_T1,machine_confirmed,2,名古屋地:20200720:28283666|名古屋高:20211012:28300797
国賠事件,multi_instance_ambiguous_held,held_needs_subject_signal,54,岐阜地:19810715:27662473|岐阜簡:19810930:27662487|大阪地:19820315:27662531|広島高:19820831:27662591|那覇地:19830302:27424014|大阪地:19830608:27662667|名古屋地:19831226:27662728|長崎地:19840425:27425807|浦和地:19840427:27662773|神戸地:19840625:27662794|福岡地:19840809:27425817|奈良地:19840824:27490079|神戸地:19850228:27425860|大分地:19850312:27425866|大分地:19850513:27803291|高松高:19851119:27803369|大阪高:19860131:27803403|奈良地:19860307:27800160|名古屋高:19860331:27801410|大阪地:19860620:27803500|浦和地:19860728:27800054|京都地:19860926:27803535|名古屋地:19861023:27803547|広島地呉支:19861024:27803548|福岡地:19861114:27802057|横浜地川崎支:19870604:27801664|最高第2小法廷:19870626:27801192|静岡地沼津支:19871028:27801677|名古屋地:19871113:27803797|横浜地:19880331:27802276|岡山地:19880720:27805457|大阪高:19880823:27802606|仙台高:19880912:27803023|浦和地川越支:19880929:27803024|神戸地:19881118:27804546|神戸地:19881213:27804523|福岡地:19881227:27804438|浦和地:19890324:27805419|盛岡地:19890518:27809232|青森地弘前支:19890525:27804751|横浜地:19900214:27806134|静岡地富士支:19900306:27806742|大阪地堺支:19900322:27806416|神戸地:19900718:27807533|広島地:19900831:27807697|仙台高:19900927:27808838|高松高:19901026:27808668|熊本地:19901109:27808374|浦和地:19940117:27826297|広島高:19940316:27825803|京都地:19940418:27828473|山形地酒田支:19940728:27827308|大阪高:19941207:27827314|浦和地:19950224:27828436
渉外家事事件,multi_instance_ambiguous_held,held_needs_subject_signal,16,東京高:20100212:28167543|熊本家:20100706:28282337|福岡高:20101025:28173907|名古屋高:20110120:28174012|東京高:20110509:28174764|名古屋地:20140606:28231651|大阪高:20170224:28270015|最高第1小法廷:20180315:28261185|大阪高:20181023:28282828|東京家:20181211:28280173|最高第3小法廷:20200707:28281868|東京家:20210329:28293206|横浜家:20210330:28302545|大阪高:20210526:28300189|最高第3小法廷:20220621:28301578|東京家:20230323:28323379
租税訴訟,multi_instance_ambiguous_held,held_needs_subject_signal,10,名古屋高金沢支:19900124:22004002|大阪地:20120926:29008743|東京高:20151202:28240065|名古屋地:20180314:28261545|大阪地:20180419:28262540|大阪地:20191025:28333050|千葉地:20200630:28290752|福岡地:20221214:28310259|福岡高:20230630:28321346|横浜地:20240214:28331905
