nickname,hanrei_id,事件番号,formal_name,formal_freq,date,court,n_articles,method,tier
日本メール・オーダー事件,27000014,昭和５０年（行ツ）７７号／昭和５０年（行ツ）７８号,救済命令取消請求上告事件,2,昭和59.5.29,最高三小判,21,map_bootstrap,T1_distinctive
堀越事件,28182622,平成２２年（あ）９５７号,国家公務員法違反被告事件,35,平成24.12.7,最高二小判,20,map_bootstrap,T3_generic_review
武富士事件,28170244,平成２０年（行ヒ）１３９号,贈与税決定処分取消等請求事件,1,平成23.2.18,最高二小判,13,map_bootstrap,T1_distinctive
杉並区住基ネット訴訟,28111458,平成１６年（行ウ）３７２号,住基ネット受信義務確認等請求事件,1,平成18.3.24,東京地判,11,map_bootstrap,T1_distinctive
JASRAC事件,28231502,平成２６年（行ヒ）７５号,審決取消等請求事件,8,平成27.4.28,最高三小判,10,map_bootstrap,T2
日本郵便事件,29031632,平成２９年（ワ）１３６８５号,損害賠償請求事件,36439,平成29.9.14,東京地判,10,map_bootstrap,T3_generic_review
公取委審判事件,28082414,平成１４年（行ヒ）２４２号,事件記録閲覧謄写許可処分取消、公正取引委員会審判事件記録閲覧謄写許可処分取消、公正取引委員会審判記録閲覧謄写許可執行取消請求事件,1,平成15.9.9,最高三小判,8,map_bootstrap,T1_distinctive
此花電報電話局事件,27000097,昭和５３年（オ）５５８号,給料請求上告事件,1,昭和57.3.18,最高一小判,8,map_bootstrap,T1_distinctive
関西電力事件,27827852,平成４年（オ）１０号,損害賠償請求事件,36439,平成7.9.5,最高三小判,8,map_bootstrap,T3_generic_review
朝日火災海上保険事件,28010249,平成５年（オ）６５０号,地位確認等請求事件,1500,平成8.3.26,最高三小判,7,map_bootstrap,T3_generic_review
倉田学園事件,22007472,平成５年（行ツ）１５号,損害賠償請求事件,36439,平成6.12.20,最高三小判,6,map_bootstrap,T3_generic_review
食べログ事件,29072987,令和４年（レ）８７号,損害賠償請求控訴事件,5262,令和4.6.16,東京地判,6,map_bootstrap,T3_generic_review
国立景観訴訟,28092829,平成１５年（ネ）４７８号,建築物撤去等請求控訴事件,1,平成16.10.27,東京高判,5,map_bootstrap,T1_distinctive
ニデック対牧野フライス製作所事件,28332186,令和７年（ヨ）３００９４号,新株予約権無償割当差止仮処分命令申立事件,4,令和7.5.7,東京地決,5,map_bootstrap,T2
学校法人上野学園事件,29066016,令和２年（行ウ）３２号,課徴金納付命令取消請求事件,7,令和3.8.5,東京地判,5,map_bootstrap,T2
豊田商事事件,27802089,昭和６０年（ワ）６０６２号,不当利得金返還請求事件,205,昭和62.4.30,大阪地判,5,map_bootstrap,T3_generic_review
予防訴訟,28180278,平成２３年（行ツ）１７７号／平成２３年（行ツ）１７８号／平成２３年（行ヒ）１８２号,国歌斉唱義務不存在確認等請求事件,2,平成24.2.9,最高一小判,4,map_bootstrap,T1_distinctive
ユーザーユニオン名誉毀損事件,28150540,昭和５８年（ワ）７９６２号,,0,昭和59.6.4,東京地判,3,map_bootstrap,T1_distinctive
実務と学説からみた憲法訴訟,29072793,令和３年（ワ）３１７０７号,損害賠償請求事件,36439,令和4.6.30,東京地判,3,map_bootstrap,T3_generic_review
建設アスベスト訴訟,28264694,平成２８年（ネ）９８７号,損害賠償請求控訴事件,5262,平成30.8.31,大阪高判,3,map_bootstrap,T3_generic_review
日本郵便事件,28340654,平成３０年（オ）８６１号／平成３０年（受）１０６０号,損害賠償請求事件,36439,平成30.9.14,最高二小判,3,map_bootstrap,T3_generic_review
東京機械製作所事件,28293721,令和３年（ヨ）２０１３０号,新株予約権無償割当差止仮処分命令申立事件,4,令和3.10.29,東京地決,3,map_bootstrap,T2
租税訴訟,29057813,平成３０年（ワ）１８７４９号,損害賠償請求事件,36439,令和1.11.21,東京地判,3,map_bootstrap,T3_generic_review
朝日火災海上保険事件,27970525,平成４年（オ）７５６号,退職金支払請求事件,16,平成6.1.31,最高二小判,3,map_bootstrap,T3_generic_review
東海旅客鉄道事件,28050172,平成１０年（行ウ）３８号,損害賠償請求事件,36439,平成11.10.4,大阪地判,3,map_bootstrap,T3_generic_review
東海旅客鉄道事件,29077574,令和４年（ワ）５８１６号,損害賠償請求事件,36439,令和5.3.27,東京地判,3,map_bootstrap,T3_generic_review
渉外家事事件,28272625,平成２５年（オ）１１５４号／平成２５年（受）１４０６号,損害賠償請求事件,36439,平成26.1.14,最高三小判,2,map_bootstrap,T3_generic_review
不動産競売事件,27827153,平成５年（ワ）２２５８０号,損害賠償請求事件,36439,平成6.10.28,東京地判,2,map_bootstrap,T3_generic_review
共有物分割訴訟,29024493,平成２１年（ワ）２２６２３号,共有物分割等請求事件,126,平成25.2.22,東京地判,2,map_bootstrap,T3_generic_review
第1事件,28130140,平成１７年（受）２７６号,損害賠償請求事件,36439,平成18.12.21,最高一小判,2,map_bootstrap,T3_generic_review
箕面市遺族会補助金等違憲訴訟,28042451,平成７年（行ツ）１２２号,損害賠償請求事件,36439,平成11.10.21,最高一小判,2,map_bootstrap,T3_generic_review
過去事例から学ぶ税務訴訟,29023462,平成２３年（ワ）２５６９０号,損害賠償請求事件,36439,平成24.12.7,東京地判,2,map_bootstrap,T3_generic_review
過去事例から学ぶ税務訴訟,28210475,平成２２年（ワ）２８２５７号,損害賠償請求事件,36439,平成24.9.25,東京地判,2,map_bootstrap,T3_generic_review
過去事例から学ぶ税務訴訟,29013800,平成２７年（ワ）１４３３４号,損害賠償請求事件,36439,平成27.9.25,東京地判,2,map_bootstrap,T3_generic_review
過去事例から学ぶ税務訴訟,29028817,平成２６年（ワ）９４３５号,損害賠償請求事件,36439,平成27.2.26,東京地判,2,map_bootstrap,T3_generic_review
過去事例から学ぶ税務訴訟,29030366,平成２４年（ワ）１７６５号／平成２４年（ワ）１１３６２号,損害賠償請求事件,36439,平成25.10.30,東京地判,2,map_bootstrap,T3_generic_review
租税訴訟,29079159,令和４年（ワ）６５４０号,損害賠償請求事件,36439,令和5.5.12,東京地判,2,map_bootstrap,T3_generic_review
租税訴訟,29064732,令和２年（ワ）１９５６５号,不当利得返還請求事件,3320,令和3.5.27,東京地判,2,map_bootstrap,T3_generic_review
租税訴訟,29037752,平成２９年（ワ）２１３２５号,不当利得返還請求事件,3320,平成29.10.13,東京地判,2,map_bootstrap,T3_generic_review
過去事例から学ぶ税務訴訟,29014248,平成２７年（ワ）３１４１号,損害賠償請求事件,36439,平成27.10.8,東京地判,2,map_bootstrap,T3_generic_review
渉外家事事件,29028910,平成２６年（ワ）９９８２号,損害賠償請求事件,36439,平成27.2.6,東京地判,1,map_bootstrap,T3_generic_review
第1事件,28220018,平成２４年（ワ）３０６６号,損害賠償請求事件,36439,平成25.6.20,東京地判,1,map_bootstrap,T3_generic_review
医療過誤訴訟,28101280,平成１６年（ワ）３５６２号,損害賠償請求事件,36439,平成17.4.22,東京地判,1,map_bootstrap,T3_generic_review
砂川事件大法廷の違法を衝く国賠訴訟,28330316,平成３１年（ワ）６８４８号,砂川事件裁判国家賠償等請求事件,1,令和6.1.15,東京地判,1,map_bootstrap,T1_distinctive
第1事件,28233920,平成２６年（行ヒ）３５６号,審決取消請求事件,6967,平成27.11.17,最高三小判,1,map_bootstrap,T3_generic_review
第1事件,28254533,平成２７年（ワ）２５４号,損害賠償請求事件,36439,平成29.4.20,大阪地判,1,map_bootstrap,T3_generic_review
ステロイド剤注射に伴う骨関節結核罹患事件,28330610,平成１０年（オ）１６２０号／平成１０年（受）２１０号,損害賠償請求事件,36439,平成10.11.10,最高三小判,1,map_bootstrap,T3_generic_review
函館信用金庫事件,28052027,平成９年（オ）４２号,損害賠償請求事件,36439,平成12.9.22,最高二小判,1,map_bootstrap,T3_generic_review
医療過誤訴訟,28112441,平成１６年（受）２２２６号,損害賠償請求事件,36439,平成18.11.14,最高三小判,1,map_bootstrap,T3_generic_review
医療過誤訴訟,28283380,昭和５１年（オ）４１４号,損害賠償請求事件,36439,昭和51.9.30,最高一小判,1,map_bootstrap,T3_generic_review
即位の礼・大嘗祭違憲住民訴訟,28041188,平成４年（行ウ）４号／平成４年（行ウ）１１号／平成４年（行ウ）３５号／平成４年（行ウ）５８号／平成４年（行ウ）９５号,即位の礼・大嘗祭違憲住民訴訟請求事件（４号）、共同訴訟参加申立事件（１１号、３５号、５８号、９５号）,1,平成11.3.24,東京地判,1,map_bootstrap,T1_distinctive
国賠事件,27808196,昭和６２年（ワ）９４０５号,損害賠償請求事件,36439,平成2.8.8,大阪地判,1,map_bootstrap,T3_generic_review
国賠事件,27807247,平成２年（ワ）２号,損害賠償請求事件,36439,平成2.6.27,東京地判,1,map_bootstrap,T3_generic_review
国賠事件,27806959,昭和５７年（ワ）１４１２４号,損害賠償請求事件,36439,平成1.10.24,東京地判,1,map_bootstrap,T3_generic_review
国賠事件,29013092,昭和５４年（ワ）７４３３号,損害賠償請求事件,36439,昭和63.5.27,大阪地判,1,map_bootstrap,T3_generic_review
国賠事件,27800008,昭和６０年（ワ）６２４７号,損害賠償請求事件,36439,昭和62.4.7,東京地判,1,map_bootstrap,T3_generic_review
国賠事件,27803932,昭和５８年（ワ）１６３３号,損害賠償請求事件,36439,昭和61.9.30,東京地判,1,map_bootstrap,T3_generic_review
国賠事件,27803257,昭和５８年（ワ）３３９９号,損害賠償請求事件,36439,昭和60.2.14,東京地判,1,map_bootstrap,T3_generic_review
国賠事件,27803306,昭和５８年（ネ）２０４５号,損害賠償請求控訴事件,5262,昭和60.6.26,大阪高判,1,map_bootstrap,T3_generic_review
国賠事件,27662946,昭和５４年（ワ）８７６３号,損害賠償請求事件,36439,昭和59.11.19,東京地判,1,map_bootstrap,T3_generic_review
国賠事件,27486811,昭和５９年（ワ）３７号,損害賠償請求事件,36439,昭和60.4.22,浦和地判,1,map_bootstrap,T3_generic_review
国賠事件,27662781,昭和５７年（ワ）１１２９号,損害賠償請求事件,36439,昭和59.5.29,名古屋地判,1,map_bootstrap,T3_generic_review
国賠事件,27662718,昭和５６年（ワ）７０３０号,損害賠償請求事件,36439,昭和58.12.12,東京地判,1,map_bootstrap,T3_generic_review
