expected_gate_verdict,reject_reason,nickname,formal_event_name,formal_name_freq_in_db,hanrei_id,date,court,n_articles,fixture_note
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),ハマキョウレックス事件,地位確認等請求事件,1500,28262467,平成30.6.1,最高二小判,35,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),三井倉庫港運事件,解雇無効確認等請求事件,150,27805325,平成1.12.14,最高一小判,21,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),弘前電報電話局事件,懲戒処分無効確認等請求事件,98,27100068,昭和62.7.10,最高二小判,12,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),エヌ・ビー・シー工業事件,損害賠償請求事件,36439,27100013,昭和60.7.16,最高三小判,12,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),鶴岡灯油訴訟,損害賠償請求事件,36439,27805321,平成1.12.8,最高二小判,11,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),ピンク・レディー事件,損害賠償請求事件,36439,28220926,平成24.2.2,最高一小判,11,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),著作権関係事件,著作権確認等請求事件,21,28061235,平成13.6.8,最高二小判,10,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),ネスレ日本事件,地位確認等請求事件,1500,28282412,平成18.10.6,最高二小判,10,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),馬券訴訟,国籍確認請求事件,12,28230968,平成27.3.10,最高三小判,9,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),学納金返還訴訟,学納金返還請求事件,21,28112528,平成18.11.27,最高二小判,9,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),イレブン・ジャパン事件,損害賠償請求事件,36439,28212844,平成25.8.30,東京高判,8,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),手形制度及び手形訴訟,遺留分減殺請求事件,153,28092196,平成15.11.17,東京地判,8,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),日教組スト事件,選挙無効請求事件,132,27805327,平成1.12.18,最高一小判,8,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),東京灯油訴訟,損害賠償請求事件,36439,27800027,昭和62.7.2,最高一小判,8,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),呉中学校教研集会事件,損害賠償請求事件,36439,28322860,平成18.2.7,最高三小判,6,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),長崎教師批判ビラ事件,国家賠償請求事件,585,27805392,平成1.12.21,最高一小判,6,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),倉田学園事件,損害賠償請求事件,36439,22007472,平成6.12.20,最高三小判,6,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),愛知電線事件,審決取消請求事件,6967,28233954,平成25.12.20,東京高判,6,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),食べログ事件,損害賠償請求事件,36439,29072845,令和4.6.16,東京地判,6,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),エア・ウォーター事件,審決取消請求事件,6967,28231014,平成26.9.26,東京高判,5,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),ダイレックス事件,審決取消請求事件,6967,28312710,令和5.5.26,東京高判,5,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),東芝ケミカル事件,審決取消請求事件,6967,28161567,平成7.9.25,東京高判,5,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),エフオーアイ事件,損害賠償請求事件,36439,28322046,令和2.12.22,最高三小判,5,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),内閣総理大臣による靖国神社参拝訴訟,損害賠償請求事件,36439,28333029,平成18.6.23,最高二小判,4,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),FOI事件,審決取消請求事件,6967,28263020,平成30.3.23,東京高判,4,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),大陸交通事件,株主総会決議取消請求事件,165,28292822,令和3.4.8,東京地判,4,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),姫路日赤未熟児網膜症事件,共有持分移転登記手続請求事件,15,27827253,平成7.6.9,最高二小判,4,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),確定判決の効力を受ける第三者の民事訴訟,求償債権等請求事件,16,28213801,平成25.11.21,最高一小決,3,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),積水ハウス事件,株主代表訴訟事件,28,28301822,令和4.5.20,大阪地判,3,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),エコリカ・キヤノン事件,損害賠償請求控訴事件,5262,28332629,令和6.9.12,大阪高判,3,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),コスモ証券株主代表訴訟,株主代表訴訟事件,28,28080586,平成14.2.20,大阪地判,3,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),大分別府遺跡ねつ造報道訴訟,謝罪広告等請求事件,168,28092033,平成16.7.15,最高一小判,3,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),日本シェーリング事件,損害賠償請求事件,36439,27423649,昭和56.3.30,大阪地判,3,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),志布志事件,国家賠償請求事件,585,28232119,平成27.5.15,鹿児島地判,2,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),413第三者異議事件,第三者異議事件,142,28010504,平成8.4.26,最高二小判決,2,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),旭礦末資料合資会社による独占禁止法違反事件,審決取消請求事件,6967,28140138,昭和63.3.4,最高判,1,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),朝日新聞社株主代表訴訟事件,株主代表訴訟事件,28,28051585,平成11.5.26,大阪地判,1,gateがこれをaccepted/T1に上げたら回帰失敗
REJECT,REJECT_GENERIC_NAME_UNCORROBORATED+AMBIGUOUS_MULTI_TARGET(generic正式名×同日複数判決),婚姻費用分担審判に対する抗告事件,婚姻費用分担審判に対する抗告事件,34,28270013,平成30.4.20,東京高決,1,gateがこれをaccepted/T1に上げたら回帰失敗
