edge_candidate_tier,edge_status,edge_role,priority,nickname,formal_event_name,formal_name_freq_in_db,hanrei_id,事件番号,date,court,n_articles,via,owner_decision,machine_verdict,conflict,machine_verdict,conflict
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),16,福島原発事故賠償訴訟,損害賠償請求事件,36439,28251254,平成２５年（ワ）４７８号／平成２６年（ワ）１１１号／平成２６年（ワ）４６６号,平成29.3.17,前橋地判,16,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),15,日産自動車事件,不当労働行為救済命令取消請求上告事件,29,27100008,昭和５３年（行ツ）４０号,昭和60.4.23,最高三小判,15,name,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),13,武富士事件,贈与税決定処分取消等請求事件,1,28170244,平成２０年（行ヒ）１３９号,平成23.2.18,最高二小判,13,name,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),11,津田電気計器事件,地位確認等請求上告事件,7,28182500,平成２３年（受）１１０７号,平成24.11.29,最高一小判,11,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),11,名古屋自動車学校事件,地位確認等請求事件,1500,28312065,令和４年（受）１２９３号,令和5.7.20,最高一小判,11,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),11,東リ事件,地位確認等請求控訴事件,293,28293693,令和２年（ネ）９７３号,令和3.11.4,大阪高判,11,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),10,大隈鐵工所事件,地位確認等請求上告、同附帯上告事件,1,27805120,昭和５７年（オ）３２７号,昭和62.9.18,最高三小判,10,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),10,丸子警報器事件,損害賠償請求事件,36439,28010222,平成５年（ワ）１０９号,平成8.3.15,長野地上田支判,10,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),9,ノイズ研究所事件,賃金支払及び地位確認請求控訴事件（２０２９号）、同附帯控訴事件（６０９号）,1,28111389,平成１６年（ネ）２０２９号／平成１７年（ネ）６０９号,平成18.6.22,東京高判,9,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),9,巴機械サービス事件,未払賃金等請求事件,251,28292400,平成３０年（ワ）７１５号,令和3.3.23,横浜地判,9,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),9,名古屋自動車学校事件,地位確認等請求事件,1500,28283888,平成２８年（ワ）４１６５号,令和2.10.28,名古屋地判,9,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),8,熊谷組株主代表訴訟,各熊谷組株主代表訴訟事件,1,28081228,平成１３年（ワ）１４４号／平成１３年（ワ）２６２号,平成15.2.12,福井地判,8,name,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),8,金沢市庁舎前広場事件,損害賠償請求事件,36439,28310494,令和３年（オ）１６１７号,令和5.2.21,最高三小判,8,name,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),7,Winny事件,著作権法違反幇助被告事件,2,28185001,平成２１年（あ）１９００号,平成23.12.19,最高三小決,7,name,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),7,三菱重工長崎造船所事件,賃金支払請求控訴事件,14,27828222,昭和６３年（ネ）１６号,平成7.3.15,福岡高判,7,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),7,日産自動車事件,不当労働行為救済命令取消請求事件,361,27805084,昭和５７年（行ツ）５０号,昭和62.5.8,最高二小判,7,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),6,熊谷組株主代表訴訟,熊谷組株主代表訴訟控訴事件,1,28110282,平成１５年（ネ）６３号,平成18.1.11,名古屋高金沢支判,6,name,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),6,紅屋商事事件,不当労働行為救済命令取消請求事件,361,27613384,昭和５５年（行ツ）４０号,昭和61.1.24,最高二小判,6,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),5,重複訴訟,移送申立却下決定に対する抗告事件,25,28231387,平成２６年（ラ）１１６７号,平成26.12.2,大阪高決,5,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),5,伊予銀行・いよぎんスタッフサービス事件,雇用関係確認等請求事件,23,28081956,平成１２年（ワ）７５７号,平成15.5.22,松山地判,5,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),5,B型肝炎訴訟,損害賠償請求事件,36439,28111291,平成１６年（受）６７２号／平成１６年（受）６７３号,平成18.6.16,最高二小判,5,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),5,マンナ運輸事件,地位確認等請求事件,1500,28210201,平成２１年（ワ）５１５１号,平成24.7.13,京都地判,5,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,共有物分割訴訟,不動産競売申立却下決定に対する執行抗告事件,4,27807515,平成２年（ラ）１５１号,平成2.8.17,大阪高決,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,固有必要的共同訴訟,賃貸借解除・建物明渡請求控訴事件,1,27804370,昭和６３年（ネ）６８号,昭和63.10.31,名古屋高金沢支判,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,日本通運事件,各職業安定法違反被告事件,4,28311056,令和２年（ネ）３７２６号,令和4.11.1,東京高判,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,離婚訴訟,離婚請求本訴、同反訴事件,1,28091746,平成１４年（受）５０５号,平成16.6.3,最高一小判,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,伊予銀行・いよぎんスタッフサービス事件,雇用関係確認等請求控訴事件,6,28112177,平成１５年（ネ）２９３号,平成18.5.18,高松高判,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,指定確認検査機関のした建築確認処分の取消訴訟,損害賠償請求事件,36439,28283401,平成１７年（受）９７２号,平成17.6.24,最高二小決,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,固有必要的共同訴訟,土地所有権確認等請求上告事件,26,27000617,昭和４２年（オ）５３５号,昭和46.10.7,最高一小判,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),4,ダイハツ工業事件,和解金支払請求事件,14,27651248,昭和５７年（オ）１１３２号,昭和58.9.16,最高二小判,4,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,実務と学説からみた憲法訴訟,大垣警察市民監視国家賠償請求事件（７５８号）、個人情報抹消請求事件（５１号）,1,28300700,平成２８年（ワ）７５８号／平成３０年（ワ）５１号,令和4.2.21,岐阜地判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,生業訴訟,遺言確認申立却下審判に対する抗告事件,1,28283525,平成２９年（ネ）３７３号／令和２年（ネ）５６号／令和２年（ネ）６２号,令和2.9.30,仙台高判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,福島原発事故賠償訴訟,投稿記事削除請求控訴事件,4,28281804,平成３０年（ネ）１６４号,令和2.3.12,仙台高判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,みちのく銀行事件,地位確認等請求控訴事件（２３１号）、仮執行の原状回復申立事件（５２１号）,1,28010547,平成７年（ネ）５２１号／平成５年（ネ）２３１号,平成8.4.24,仙台高判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,中部日本広告社事件,退職金及び未払賃金請求控訴事件,1,27807703,平成１年（ネ）３８６号／平成１年（ネ）４３５号,平成2.8.31,名古屋高判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
