bib_id,isbn13,title,publisher,standard_tier,fields,newcomer_lists,source_authority
alo:book:isbn:9784474062115,9784474062115,こんなところでつまずかない！ 交通事故事件の実務用語辞典,第一法規,both,交通事故,個人法務系,shiseido_shoten
alo:book:isbn:9784641228221,9784641228221,新・個人情報保護法の逐条解説,有斐閣,both,個人情報保護法,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784535523319,9784535523319,コンメンタール借地借家法（第4版）,日本評論社,both,借地借家・区分所有,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784877987206,9784877987206,季刊刑事弁護増刊 刑事弁護ビギナーズ ver2.1,現代人文社,both,刑法・刑事手続,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784335360312,9784335360312,条解 刑法（第5版）,弘文堂,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:isbn:9784877988449,9784877988449,季刊刑事弁護増刊 少年事件ビギナーズver.2.1 書式データダウンロードQRコード付き,現代人文社,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:manual:title_4779,9784817846143,明日、相談を受けても大丈夫！刑事・少年事件の基本と実務 モデル事例で学ぶ実務、書式とポイント,日本加除出版,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:isbn:9784324111000,9784324111000,新・刑事弁護マニュアル ー手続の勘所と実践知,ぎょうせい,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:manual:title_6327,9784865562033,事例に学ぶ 刑事弁護入門（補訂版）,民事法研究会,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:isbn:9784877987619,9784877987619,外国人事件ビギナーズver.2,現代人文社,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:isbn:9784535527966,9784535527966,量刑調査報告集 5（平成25年4月から平成28年9月まで）,第一東京弁護士会,both,刑法・刑事手続,個人法務系,shiseido_shoten
alo:book:isbn:9784335315602,9784335315602,法律学講座双書 労働法（第13版）,弘文堂,both,労働,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784130312141,9784130312141,詳解 労働法（第4版）,東京大学出版会,both,労働,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784417018261,9784417018261,リーガル・プログレッシブ・シリーズ9 労働関係訴訟1（改訂版）,青林書院,both,労働,企業法務系,shiseido_shoten
alo:book:isbn:9784417018278,9784417018278,リーガル・プログレッシブ・シリーズ9 労働関係訴訟2（改訂版）,青林書院,both,労働,企業法務系,shiseido_shoten
alo:book:isbn:9784785726287,9784785726287,裁判実務シリーズ1 労働関係訴訟の実務（第2版）,商事法務,both,労働,個人法務系,shiseido_shoten
alo:book:isbn:9784417018162,9784417018162,類型別 労働関係訴訟の実務（改訂版）1,青林書院,both,労働,個人法務系,shiseido_shoten
alo:book:isbn:9784417018179,9784417018179,類型別 労働関係訴訟の実務（改訂版）2,青林書院,both,労働,個人法務系,shiseido_shoten
alo:book:isbn:9784903613321,9784903613321,労働事件ハンドブック（改訂版）,労働開発研究会,both,労働,個人法務系,shiseido_shoten
alo:book:isbn:9784903867205,9784903867205,新労働相談実践マニュアル（全面改訂）,日本労働弁護団,both,労働,個人法務系,shiseido_shoten
alo:book:manual:title_4778,9784817846150,明日、相談を受けても大丈夫！労働事件の基本と実務 紛争類型別手続と事件処理の流れ、書式,日本加除出版,both,労働,個人法務系,shiseido_shoten
alo:book:isbn:9784641233324,9784641233324,株式会社法（第9版）,有斐閣,both,商法・会社法,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784130324014,9784130324014,会社法（第5版）,東京大学出版会,both,商法・会社法,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784788291249,9784788291249,会社法実務スケジュール〔第３版〕,新日本法規,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:manual:title_3677,9784502447716,「会社法」法令集〈第十四版〉,中央経済社,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785729165,9784785729165,会社分割ハンドブック（第3版）,商事法務,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785725181,9784785725181,コンプライアンス・内部統制ハンドブック,商事法務,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785731717,9784785731717,IPOハンドブック,商事法務,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785729851,9784785729851,取締役・取締役会の法律実務Q＆A〔第２版〕,商事法務,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784502459511,9784502459511,M&Aを成功に導く 法務デューデリジェンスの実務（第4版）,中央経済社,both,商法・会社法,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784502510717,9784502510717,業種別 法務デュー・ディリジェンス実務ハンドブック（第2版）,中央経済社,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785726003,9784785726003,M&A契約 モデル条項と解説,商事法務,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784502274718,9784502274718,M&Aの契約実務（第2版）,中央経済社,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784502504419,9784502504419,中小企業買収の法務（第2版）,中央経済社,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785731984,9784785731984,事業譲渡の実務(第2版),商事法務,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784641138452,9784641138452,会社・株主間契約の理論と実務 合弁事業・資本提携・スタートアップ投資,有斐閣,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784502388019,9784502388019,株主間契約・合弁契約の実務,中央経済社,both,商法・会社法,企業法務系,shiseido_shoten
alo:book:isbn:9784785720858,9784785720858,裁判実務シリーズ6 会社訴訟の基礎,商事法務,both,商法・会社法,個人法務系,shiseido_shoten
alo:book:isbn:9784324115442,9784324115442,民事保全・非訟マニュアル（第2版） 書式のポイントと実務,ぎょうせい,both,執行・保全,企業法務系;個人法務系,shiseido_shoten
alo:book:isbn:9784785720018,9784785720018,裁判実務シリーズ3 民事保全の実務,商事法務,both,執行・保全,個人法務系,shiseido_shoten
alo:book:isbn:9784322141429,9784322141429,民事執行の実務（第5版） 債権執行・財産調査編（上）,きんざい,both,執行・保全,個人法務系,shiseido_shoten
alo:book:isbn:9784322141436,9784322141436,民事執行の実務（第5版） 債権執行・財産調査編（下）,きんざい,both,執行・保全,個人法務系,shiseido_shoten
alo:book:isbn:9784641233522,9784641233522,契約書作成の実務と書式（第3版） 企業実務家視点の雛形とその解説,有斐閣,both,契約書,企業法務系;個人法務系,shiseido_shoten
alo:book:manual:title_1873,9784865561616,事例に学ぶ 契約関係事件入門 事件対応の思考と実務,民事法研究会,both,契約書,個人法務系,shiseido_shoten
