isbn13,title,publisher,tier,fields,newcomer_lists
9784130323109,民法 4（補訂版） 親族・相続,東京大学出版会,field_only,民法全般,
9784641233324,株式会社法（第9版）,有斐閣,both,商法・会社法,企業法務系;個人法務系
9784130324014,会社法（第5版）,東京大学出版会,both,商法・会社法,企業法務系;個人法務系
9784335315657,法律学講座双書 会社法（第28版）,弘文堂,both,商法・会社法,企業法務系
9784641179608,LEGAL QUEST 会社法（第6版）,有斐閣,both,商法・会社法,企業法務系;個人法務系
9784788291249,会社法実務スケジュール〔第３版〕,新日本法規,both,商法・会社法,企業法務系
9784785728588,織込版 会社法関係法令全条文（全訂第2版） 法律・政令・省令3段対照表付,商事法務,both,商法・会社法,企業法務系
9784502447716,「会社法」法令集〈第十四版〉,中央経済社,both,商法・会社法,企業法務系
9784785728786,コンメンタール会社法施行規則・電子公告規則（第3版）,商事法務,both,商法・会社法,企業法務系
9784785729448,コンメンタール会社計算規則・商法施行規則〔第4版〕,商事法務,both,商法・会社法,企業法務系
9784785729523,新株予約権ハンドブック（第5版）,商事法務,both,商法・会社法,企業法務系
9784785728830,取締役・執行役ハンドブック（第3版）,商事法務,both,商法・会社法,企業法務系
9784785730185,株主総会ハンドブック〔第5版〕,商事法務,both,商法・会社法,企業法務系
9784785731328,商業登記ハンドブック（第5版）,商事法務,both,商法・会社法,企業法務系
9784785729165,会社分割ハンドブック（第3版）,商事法務,both,商法・会社法,企業法務系
9784785731922,合併ハンドブック（第5版）,商事法務,both,商法・会社法,企業法務系
9784785725181,コンプライアンス・内部統制ハンドブック,商事法務,both,商法・会社法,企業法務系
9784785730550,株式交換・株式移転・株式交付ハンドブック,商事法務,both,商法・会社法,企業法務系
9784785730871,新株発行・自己株処分ハンドブック,商事法務,both,商法・会社法,企業法務系
9784785731571,SR・株主対応ハンドブック,商事法務,both,商法・会社法,企業法務系
9784785731717,IPOハンドブック,商事法務,both,商法・会社法,企業法務系
9784785729851,取締役・取締役会の法律実務Q＆A〔第２版〕,商事法務,both,商法・会社法,企業法務系
9784785731373,新・株主総会ガイドライン（第3版）,商事法務,both,商法・会社法,企業法務系
9784322130607,ジョイント・ベンチャー契約の実務と理論（新訂版）,きんざい,both,商法・会社法,企業法務系
9784785726867,M&A法大全 上（全訂版）,商事法務,newcomer_only,,企業法務系
9784785726874,M&A法大全 下（全訂版）,商事法務,newcomer_only,,企業法務系
9784641233010,M&A法大系〔第2版〕,有斐閣,both,商法・会社法,企業法務系
9784502459511,M&Aを成功に導く 法務デューデリジェンスの実務（第4版）,中央経済社,both,商法・会社法,企業法務系;個人法務系
9784502510717,業種別 法務デュー・ディリジェンス実務ハンドブック（第2版）,中央経済社,both,商法・会社法,企業法務系
9784785731731,M＆Aにおける労働法務DDのポイント（第3版）,商事法務,both,商法・会社法,企業法務系
9784785732059,M&A実務の基礎（第3版）,商事法務,both,商法・会社法,企業法務系
9784785726003,M&A契約 モデル条項と解説,商事法務,both,商法・会社法,企業法務系
9784502274718,M&Aの契約実務（第2版）,中央経済社,both,商法・会社法,企業法務系
9784502504419,中小企業買収の法務（第2版）,中央経済社,both,商法・会社法,企業法務系
9784785731984,事業譲渡の実務(第2版),商事法務,both,商法・会社法,企業法務系
9784641138452,会社・株主間契約の理論と実務 合弁事業・資本提携・スタートアップ投資,有斐閣,both,商法・会社法,企業法務系
9784502388019,株主間契約・合弁契約の実務,中央経済社,both,商法・会社法,企業法務系
9784502473111,資本・業務提携の実務（第3版）,中央経済社,both,商法・会社法,企業法務系
9784502533617,スタートアップの法務A to Z 起業からIPOまで,中央経済社,newcomer_only,,企業法務系
9784785732066,金融商品取引法（第8版）,商事法務,both,金融商品取引,企業法務系
9784785732509,アドバンス金融商品取引法〔第4版〕,商事法務,both,金融商品取引,企業法務系
9784322145632,注釈 金融商品取引法 第1巻 （改訂第2版） 定義・情報開示規制 第1条～第27条の38,金融財政事情研究会,both,金融商品取引,企業法務系
9784322134506,注釈金融商品取引法【改訂版】〔第2巻〕業者規制 第28条~第66条の70,きんざい,both,金融商品取引,企業法務系
9784322140286,注釈金融商品取引法【改訂新版】〔第4巻〕 不公正取引規制 第157条～第226条,きんざい,both,金融商品取引,企業法務系
9784335359835,基礎から学べる 金融商品取引法（第6版）,弘文堂,both,金融商品取引,企業法務系
9784785732080,ファイナンス法大全（上）〔全訂第2版〕,商事法務,both,金融・保険,企業法務系
9784785732097,ファイナンス法大全（下）〔全訂第2版〕,商事法務,both,金融・保険,企業法務系
9784502561412,買収ファイナンスの法務（第3版）,中央経済社,both,金融・保険,企業法務系
9784322132540,銀行法精義 「詳解銀行法」改題,きんざい,both,金融・保険,企業法務系
9784785729240,エクイティ・ファイナンスの理論と実務〔第3版〕,商事法務,both,金融・保険,企業法務系
9784322139822,ファンドビジネスの法務【第4版】,きんざい,both,金融・保険,企業法務系
9784785732110,ファンド契約の実務Q&A〔第4版〕,商事法務,both,金融・保険,企業法務系
9784322141689,逐条解説 不動産特定共同事業法 第2版,きんざい,both,金融・保険,企業法務系
9784502392511,不動産ファイナンスの法務と契約実務,中央経済社,both,金融・保険,企業法務系
9784335358265,条解 破産法（第３版）,弘文堂,both,破産・再生,企業法務系
9784322144390,破産管財の手引（第3版）,金融財政事情研究会,both,破産・再生,企業法務系;個人法務系
9784785731687,破産申立マニュアル（第3版）,商事法務,both,破産・再生,企業法務系;個人法務系
9784641233553,破産法・民事再生法（第6版）,有斐閣,both,破産・再生,企業法務系
9784322135244,破産実務Q&A220問（全倒ネット実務Q&Aシリーズ）,きんざい,both,破産・再生,企業法務系;個人法務系
9784641233256,倒産処理法入門（第6版）,有斐閣,newcomer_only,,企業法務系;個人法務系
9784322132892,全倒ネット 実務Q&Aシリーズ 個人再生の実務Q&A120問,きんざい,both,破産・再生,企業法務系
9784641233720,民事訴訟法（第9版）,有斐閣,both,民事手続,企業法務系;個人法務系
9784324110867,民事訴訟マニュアル 上巻 第３版 ―書式のポイントと実務―,ぎょうせい,both,民事手続,企業法務系;個人法務系
9784324110874,民事訴訟マニュアル 下巻 第３版 ―書式のポイントと実務―,ぎょうせい,both,民事手続,企業法務系;個人法務系
9784474096325,企業法務のための民事訴訟の実務解説（第4版）,第一法規,both,民事手続,企業法務系;個人法務系
