isbn,title,n_templates,holding,jisui_folder_id,jisui_status,note
9784890170111,企業労働法実務入門【書式編】,304,owned,344898198657,4set_pending,（未）三訂版で4点あり・版違い
9784502465314,会社法務書式集〈第3版〉,238,owned,350441257938,3set_no_index,別版9784502992605を自炊・索引欠け
9784877987206,刑事弁護ビギナーズver.2.1,147,owned,350434857225,not_4set,書式資料バンドル構造で4点本体なし
9784877987367,情状弁護アドバンス,111,owned,344891668704,4set_pending,（未）フラグだが4点あり
9784384049688,民泊（住宅宿泊事業法・旅館業法）の法律問題,23,owned,364493985281,3set_no_index,01全体/02目次/03奥付（索引欠け）
9784641138148,契約書作成の実務と書式（有斐閣）,21,owned,382542445493,4set_complete,4点完備（136595第2版と共通フォルダ）
9784641136595,契約書作成の実務と書式（有斐閣）,17,owned,382542445493,4set_complete,4点完備
9784502434013,契約解消の法律実務,14,owned,368661731521,4set_complete,4点完備
9784502390111,企業買収の実務プロセス〈第3版〉,7,not_in_bookshelf,382022205418,other_edition,別版9784502990106を自炊
9784502406010,業務委託契約書作成のポイント第2版,4,owned,360629620511,4set_complete,4点完備
