book_id,isbn,action,existing_primary_source,new_node_count,existing_node_count,node_delta
10031,9784817841971,overwrite_simple,openbd,184,9,175
110295,9784897617701,overwrite_simple,books_or_jp,272,8,264
110378,9784897618104,overwrite_simple,books_or_jp,284,9,275
110461,9784897618623,overwrite_simple,books_or_jp,283,9,274
110544,9784897613529,create,,55,0,55
11110,9784817842367,overwrite_simple,openbd,29,24,5
111540,9784897615400,overwrite_simple,books_or_jp,282,80,202
111789,9784897616872,overwrite_simple,books_or_jp,47,18,29
112038,9784897617749,overwrite_simple,books_or_jp,19,17,2
112287,9784897618395,overwrite_simple,books_or_jp,176,135,41
12189,9784877986278,overwrite_simple,books_or_jp,188,83,105
138266,9784130361484,overwrite_simple,openbd,90,16,74
138349,9784130323284,overwrite_simple,openbd,352,20,332
138681,9784130311861,overwrite_simple,openbd,147,23,124
138764,9784130361507,overwrite_simple,openbd,168,25,143
138847,9784130633307,overwrite_simple,openbd,54,17,37
138930,9784130311908,overwrite_simple,openbd,101,24,77
139013,9784130323833,overwrite_simple,openbd,339,14,325
144408,9784817846198,overwrite_simple,books_or_jp,223,90,133
145653,9784641046856,overwrite_simple,books_or_jp,686,77,609
145736,9784641137356,overwrite_simple,openbd,138,25,113
145819,9784641137622,overwrite_simple,openbd,193,9,184
146068,9784641138339,overwrite_simple,books_or_jp,494,89,405
146151,9784641233102,overwrite_simple,openbd,229,6,223
158352,9784326404025,overwrite_simple,books_or_jp,1323,90,1233
158435,9784326403998,overwrite_simple,books_or_jp,987,89,898
160925,9784817846044,overwrite_simple,books_or_jp,973,134,839
163581,9784641125704,overwrite_simple,openbd,297,14,283
163830,9784641243057,overwrite_simple,openbd,312,7,305
164909,9784502419614,overwrite_simple,books_or_jp,228,106,122
165822,9784897618975,overwrite_simple,books_or_jp,279,10,269
17916,9784641018389,overwrite_simple,openbd,50,3,47
179683,9784502427916,overwrite_simple,books_or_jp,129,95,34
180181,9784535521742,overwrite_simple,books_or_jp,92,13,79
180264,9784535523463,overwrite_simple,books_or_jp,90,87,3
180928,9784535521254,overwrite_simple,books_or_jp,322,80,242
181011,9784535523432,overwrite_simple,books_or_jp,272,153,119
181177,9784535524002,overwrite_simple,books_or_jp,253,108,145
181260,9784535524279,overwrite_simple,books_or_jp,137,111,26
181343,9784535523807,overwrite_simple,books_or_jp,145,114,31
181509,9784535524378,overwrite_simple,books_or_jp,204,107,97
181758,9784535525801,overwrite_simple,books_or_jp,180,100,80
182007,9784535524347,overwrite_simple,books_or_jp,177,110,67
182422,9784535524811,overwrite_simple,openbd,38,33,5
182671,9784535524699,overwrite_simple,books_or_jp,154,99,55
183252,9784535525207,overwrite_simple,books_or_jp,335,102,233
183999,9784535523616,overwrite_simple,openbd,30,24,6
184165,9784535525832,overwrite_simple,openbd,184,1,183
184248,9784535522220,overwrite_simple,books_or_jp,124,80,44
184331,9784535521964,overwrite_simple,books_or_jp,474,99,375
184580,9784535526198,overwrite_simple,books_or_jp,383,85,298
189228,9784535002487,overwrite_simple,books_or_jp,25,19,6
190141,9784908621109,create,,301,0,301
