book_id,isbn,action,existing_primary_source,new_node_count,existing_node_count,node_delta
112536,9784897618562,overwrite_simple,books_or_jp,129,154,-25
112619,9784897618586,overwrite_simple,books_or_jp,91,102,-11
144989,9784817846273,overwrite_simple,books_or_jp,73,118,-45
182339,9784535522527,overwrite_simple,books_or_jp,124,149,-25
183335,9784535522466,overwrite_simple,books_or_jp,121,123,-2
206409,9784897619279,overwrite_simple,books_or_jp,63,90,-27
236953,9784384049190,overwrite_simple,books_or_jp,63,75,-12
237285,9784384049237,overwrite_simple,books_or_jp,84,85,-1
239526,9784535523609,overwrite_simple,books_or_jp,114,132,-18
240190,9784535525771,overwrite_simple,books_or_jp,38,81,-43
241435,9784535526006,overwrite_simple,books_or_jp,51,86,-35
243842,9784535525320,overwrite_simple,books_or_jp,124,169,-45
249154,9784539728406,overwrite_simple,books_or_jp,219,255,-36
253802,9784502437816,overwrite_simple,books_or_jp,40,87,-47
257205,9784797282665,overwrite_simple,openbd,159,164,-5
258865,9784797227246,overwrite_simple,openbd,253,256,-3
262517,9784797255676,overwrite_simple,openbd,96,100,-4
262600,9784797255782,overwrite_simple,openbd,66,70,-4
265007,9784797268126,overwrite_simple,openbd,158,162,-4
265505,9784384049305,overwrite_simple,books_or_jp,82,83,-1
267082,9784797270389,overwrite_simple,openbd,88,96,-8
267497,9784797282337,overwrite_simple,openbd,130,133,-3
271730,9784766422184,overwrite_simple,openbd,184,193,-9
271813,9784766421125,overwrite_simple,openbd,153,167,-14
271896,9784766421637,overwrite_simple,openbd,90,106,-16
271979,9784766423792,overwrite_simple,openbd,102,103,-1
272062,9784766424041,overwrite_simple,openbd,135,140,-5
272145,9784766424058,overwrite_simple,openbd,97,104,-7
272394,9784766425062,overwrite_simple,openbd,203,215,-12
272477,9784766425215,overwrite_simple,openbd,96,111,-15
272560,9784766425369,overwrite_simple,openbd,109,120,-11
273141,9784766426670,overwrite_simple,openbd,223,229,-6
273473,9784766425796,overwrite_simple,openbd,92,96,-4
273556,9784766427592,overwrite_simple,openbd,76,81,-5
274303,9784766424751,overwrite_simple,openbd,14,20,-6
287002,9784797282535,overwrite_simple,openbd,73,77,-4
288081,9784766426687,overwrite_simple,openbd,12,13,-1
290654,9784797268119,overwrite_simple,openbd,97,111,-14
296962,9784384049480,overwrite_simple,books_or_jp,74,79,-5
299037,9784535527201,overwrite_simple,openbd,151,164,-13
300780,9784535524248,overwrite_simple,books_or_jp,79,88,-9
318542,9784539730003,overwrite_simple,openbd,133,139,-6
318708,9784539729328,overwrite_simple,books_or_jp,87,136,-49
320036,9784797282740,overwrite_simple,openbd,158,163,-5
328253,9784502509513,overwrite_simple,books_or_jp,132,166,-34
330660,9784492762653,overwrite_simple,books_or_jp,47,92,-45
340122,9784589042019,overwrite_simple,books_or_jp,138,156,-18
344936,9784589042163,overwrite_simple,books_or_jp,99,113,-14
345185,9784589042231,overwrite_simple,books_or_jp,62,91,-29
345434,9784589042408,overwrite_simple,books_or_jp,201,234,-33
349750,9784897619996,overwrite_simple,books_or_jp,112,127,-15
350331,9784897619477,overwrite_simple,openbd,42,47,-5
350580,9784897619415,overwrite_simple,openbd,42,44,-2
350829,9784897619828,overwrite_simple,books_or_jp,84,129,-45
353070,9784539727454,overwrite_simple,books_or_jp,86,111,-25
353568,9784539726372,overwrite_simple,books_or_jp,144,152,-8
356390,9784817847188,overwrite_simple,kajo_co_jp,237,244,-7
372492,9784797267716,overwrite_simple,openbd,201,205,-4
377721,9784827114188,overwrite_simple,books_or_jp,144,146,-2
383365,9784766426991,overwrite_simple,openbd,16,17,-1
385440,9784539726662,overwrite_simple,books_or_jp,45,85,-40
386021,9784539730454,overwrite_simple,books_or_jp,87,117,-30
386685,9784539730690,overwrite_simple,books_or_jp,132,152,-20
389507,9784589043795,overwrite_simple,books_or_jp,61,83,-22
390088,9784589043597,overwrite_simple,books_or_jp,48,84,-36
390669,9784384049657,overwrite_simple,books_or_jp,82,87,-5
395815,9784539728833,overwrite_simple,books_or_jp,60,85,-25
397973,9784589044150,overwrite_simple,books_or_jp,54,90,-36
400048,9784335358135,overwrite_simple,books_or_jp,54,91,-37
400961,9784335313325,overwrite_simple,books_or_jp,71,92,-21
401376,9784335313301,overwrite_simple,books_or_jp,58,88,-30
404281,9784827114225,overwrite_simple,books_or_jp,78,108,-30
406688,9784797287875,overwrite_simple,openbd,124,128,-4
417810,9784535527867,overwrite_simple,books_or_jp,81,103,-22
419553,9784535528086,overwrite_simple,books_or_jp,109,145,-36
468606,9784313314245,overwrite_simple,openbd,149,181,-32
48211,9784817844590,overwrite_simple,kajo_co_jp,267,280,-13
6877,9784817843807,overwrite_simple,books_or_jp,93,104,-11
