book_id,isbn,action,existing_primary_source,new_node_count,existing_node_count,node_delta
109963,9784897615691,overwrite_simple,books_or_jp,269,340,-71
110212,9784897617084,overwrite_simple,books_or_jp,272,340,-68
112121,9784897617770,overwrite_simple,books_or_jp,48,123,-75
112204,9784897618258,overwrite_simple,books_or_jp,31,89,-58
158186,9784326404001,overwrite_simple,books_or_jp,31,107,-76
165241,9784897618807,overwrite_simple,books_or_jp,79,134,-55
165739,9784897615851,overwrite_simple,books_or_jp,147,203,-56
181094,9784535522602,overwrite_simple,books_or_jp,17,92,-75
188398,9784535002388,overwrite_simple,books_or_jp,27,97,-70
188481,9784535002395,overwrite_simple,books_or_jp,26,96,-70
188564,9784535002401,overwrite_simple,books_or_jp,26,91,-65
188647,9784535002418,overwrite_simple,books_or_jp,26,95,-69
188730,9784535002425,overwrite_simple,books_or_jp,27,95,-68
188813,9784535002432,overwrite_simple,books_or_jp,24,93,-69
188896,9784535002449,overwrite_simple,books_or_jp,24,116,-92
188979,9784535002456,overwrite_simple,books_or_jp,27,111,-84
189062,9784535002463,overwrite_simple,books_or_jp,26,113,-87
189145,9784535002470,overwrite_simple,books_or_jp,25,96,-71
189560,9784535002524,overwrite_simple,books_or_jp,26,157,-131
194540,9784535520868,overwrite_simple,books_or_jp,87,147,-60
198109,9784539727522,overwrite_simple,books_or_jp,196,267,-71
198192,9784539727973,overwrite_simple,books_or_jp,27,98,-71
202425,9784539728062,overwrite_simple,books_or_jp,203,278,-75
205745,9784897619033,overwrite_simple,books_or_jp,82,159,-77
222013,9784817847249,overwrite_simple,books_or_jp,126,212,-86
227076,9784326403929,overwrite_simple,books_or_jp,168,246,-78
227159,9784326403936,overwrite_simple,books_or_jp,97,171,-74
242265,9784535005259,overwrite_simple,books_or_jp,19,116,-97
244672,9784535523395,overwrite_simple,books_or_jp,15,104,-89
248407,9784539729359,overwrite_simple,books_or_jp,94,144,-50
249237,9784539728727,overwrite_simple,books_or_jp,152,235,-83
276129,9784004318682,overwrite_simple,books_or_jp,25,101,-76
276212,9784004319733,overwrite_simple,books_or_jp,38,113,-75
276378,9784000615525,overwrite_simple,books_or_jp,88,164,-76
293061,9784535002555,overwrite_simple,books_or_jp,25,127,-102
293144,9784535002562,overwrite_simple,books_or_jp,26,107,-81
297211,9784539727133,overwrite_simple,books_or_jp,184,248,-64
297626,9784004313298,overwrite_simple,books_or_jp,54,141,-87
297709,9784000615136,overwrite_simple,books_or_jp,37,114,-77
297792,9784000248914,overwrite_simple,books_or_jp,6,82,-76
299701,9784535526938,overwrite_simple,books_or_jp,15,90,-75
299784,9784535526945,overwrite_simple,books_or_jp,15,90,-75
312649,9784384061277,overwrite_simple,books_or_jp,56,132,-76
315471,9784004318095,overwrite_simple,books_or_jp,24,98,-74
318293,9784539730140,overwrite_simple,books_or_jp,77,147,-70
318376,9784539730102,overwrite_simple,books_or_jp,237,314,-77
318791,9784539729069,overwrite_simple,books_or_jp,76,146,-70
318874,9784539728871,overwrite_simple,books_or_jp,61,132,-71
319123,9784539728697,overwrite_simple,books_or_jp,218,289,-71
319455,9784539727584,overwrite_simple,books_or_jp,91,171,-80
319621,9784539727447,overwrite_simple,books_or_jp,91,170,-79
321115,9784539727294,overwrite_simple,books_or_jp,101,181,-80
321364,9784539728734,overwrite_simple,books_or_jp,144,225,-81
321447,9784539727669,overwrite_simple,books_or_jp,241,322,-81
321530,9784539729748,overwrite_simple,books_or_jp,156,235,-79
321613,9784539728376,overwrite_simple,books_or_jp,72,143,-71
322028,9784539727225,overwrite_simple,books_or_jp,288,366,-78
322443,9784539729878,overwrite_simple,books_or_jp,177,258,-81
338379,9784865566598,overwrite_simple,books_or_jp,116,190,-74
349833,9784897619903,overwrite_simple,books_or_jp,18,100,-82
350165,9784897619927,overwrite_simple,books_or_jp,42,131,-89
350663,9784897619972,overwrite_simple,books_or_jp,148,230,-82
350746,9784897619651,overwrite_simple,books_or_jp,82,180,-98
352987,9784539728765,overwrite_simple,books_or_jp,53,149,-96
353485,9784539729403,overwrite_simple,books_or_jp,156,228,-72
353817,9784539730157,overwrite_simple,books_or_jp,166,245,-79
353983,9784539728994,overwrite_simple,books_or_jp,98,166,-68
354315,9784539727959,overwrite_simple,books_or_jp,184,256,-72
377306,9784827114089,overwrite_simple,books_or_jp,122,231,-109
377472,9784827114096,overwrite_simple,books_or_jp,52,147,-95
377555,9784827114041,overwrite_simple,books_or_jp,39,127,-88
384444,9784539728253,overwrite_simple,books_or_jp,93,165,-72
384776,9784539728895,overwrite_simple,books_or_jp,176,233,-57
384859,9784539728987,overwrite_simple,books_or_jp,275,340,-65
385108,9784539729229,overwrite_simple,books_or_jp,72,154,-82
385689,9784539730171,overwrite_simple,books_or_jp,252,322,-70
385772,9784539730348,overwrite_simple,books_or_jp,223,294,-71
385855,9784539726808,overwrite_simple,books_or_jp,150,256,-106
385938,9784539730423,overwrite_simple,books_or_jp,126,185,-59
386104,9784539730492,overwrite_simple,books_or_jp,433,504,-71
386602,9784539730652,overwrite_simple,books_or_jp,267,335,-68
386768,9784539730737,overwrite_simple,books_or_jp,125,197,-72
386851,9784539730768,overwrite_simple,books_or_jp,131,187,-56
386934,9784539729779,overwrite_simple,books_or_jp,102,173,-71
387183,9784539729137,overwrite_simple,books_or_jp,101,173,-72
387349,9784539730300,overwrite_simple,books_or_jp,132,202,-70
387432,9784539728246,overwrite_simple,books_or_jp,153,211,-58
387515,9784539728888,overwrite_simple,books_or_jp,186,256,-70
388013,9784589043412,overwrite_simple,books_or_jp,47,127,-80
388345,9784589040046,overwrite_simple,books_or_jp,268,347,-79
388511,9784589043290,overwrite_simple,books_or_jp,30,105,-75
388594,9784589041029,overwrite_simple,books_or_jp,164,220,-56
390586,9784000613316,overwrite_simple,books_or_jp,34,110,-76
393906,9784539730621,overwrite_simple,books_or_jp,211,273,-62
394155,9784539730522,overwrite_simple,books_or_jp,138,209,-71
394736,9784539730386,overwrite_simple,books_or_jp,121,194,-73
394819,9784539727232,overwrite_simple,books_or_jp,91,173,-82
394902,9784539730478,overwrite_simple,books_or_jp,210,282,-72
394985,9784539730669,overwrite_simple,books_or_jp,146,210,-64
395151,9784539726365,overwrite_simple,books_or_jp,37,95,-58
395483,9784539730294,overwrite_simple,books_or_jp,126,193,-67
395649,9784539729557,overwrite_simple,books_or_jp,74,145,-71
395981,9784539730256,overwrite_simple,books_or_jp,231,303,-72
396313,9784539729298,overwrite_simple,books_or_jp,102,171,-69
396479,9784539730799,overwrite_simple,books_or_jp,111,181,-70
396562,9784539731246,overwrite_simple,books_or_jp,112,186,-74
396728,9784868210184,overwrite_simple,books_or_jp,20,99,-79
397060,9784868210306,overwrite_simple,books_or_jp,86,164,-78
399550,9784335357770,overwrite_simple,books_or_jp,219,304,-85
399716,9784335359217,overwrite_simple,books_or_jp,149,233,-84
39994,9784641215054,overwrite_simple,books_or_jp,57,107,-50
401542,9784335359088,overwrite_simple,books_or_jp,85,160,-75
40160,9784641215078,overwrite_simple,books_or_jp,58,108,-50
404447,9784827114232,overwrite_simple,books_or_jp,90,184,-94
414158,9784535524477,overwrite_simple,books_or_jp,51,107,-56
414241,9784535521346,overwrite_simple,books_or_jp,28,87,-59
415154,9784535528772,overwrite_simple,books_or_jp,30,103,-73
415818,9784535528505,overwrite_simple,books_or_jp,27,105,-78
415901,9784535528727,overwrite_simple,books_or_jp,25,100,-75
