legallib_book_id,isbn,from_bucket,to_bucket,resend_reason,edition_status,edition_reason,title_diff_kind,year_gap,legallib_edition_sig,canonical_edition_sig,resolver_confidence,legallib_title,canonical_title
322194,9784539723746,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,8,,,0.92,Excelでできる！ 統計データ分析の仕方と人事・賃金・評価への活かし方,Excelでできる! 統計データ分析の仕方と人事・賃金・評価への活かし方
340786,9784589039422,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,2,,,0.72,新ハイブリッド民法4　債権各論,新ハイブリッド民法4 債権各論
395649,9784539729557,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,title divergence,genuine_title_diff,,,,1.0,３訂版　不動産売買・賃貸借契約とモデル書式,不動産売買・賃貸借契約とモデル書式 3訂版
396313,9784539729298,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,2,,,0.92,配偶者居住権の法務と税務Ｑ＆Ａ,配偶者居住権の法務と税務Q&A
402040,9784335358920,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,2,,,0.92,アメリカにおける第二の親の決定,アメリカにおける第二の親の決定
43397,9784326403059,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,title divergence,edition_marker_asymmetry,,v2,,1.0,著作権法コンメンタール1　［第2版］,著作権法コンメンタール1
43480,9784326403066,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,title divergence,edition_marker_asymmetry,,v2,,1.0,著作権法コンメンタール2　［第2版］,著作権法コンメンタール2
48958,9784502274718,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,title divergence,edition_marker_asymmetry,,v2,,1.0,Ｍ＆Ａの契約実務〈第２版〉,M&Aの契約実務
5715,9784817845085,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,8,,,0.72,弁護士・公認会計士の視点と実務 中小企業のＭ＆Ａ,弁護士・公認会計士の視点と実務:中小企業のM&A
64894,9784788287464,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,title divergence,genuine_title_diff,,rev,rev,0.88,〔改訂版〕Ｑ＆Ａ　成年被後見人死亡後の実務と書式,Q&A成年被後見人死亡後の実務と書式 (改訂版)
75933,9784817841148,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,2,,,0.72,スキルアップ法律事務 裁判所提出書類の作り方・集め方,スキルアップ法律事務 裁判所提出書類の作り方 集め方
77759,9784788288027,auto_accept,human_review,auto_accept_false_positive,suspected_different_manifestation,year divergence,,6,,,0.72,相続対策別　法務文例作成マニュアル,相続対策別 法務文例作成マニュアル
10612,9784817840707,defer_new,human_review,defer_new_recall_isbn_in_canonical,suspected_different_manifestation,title divergence,subtitle_difference,,v2,,0.2,第２版 実務裁判例 交通事故における過失相殺率 自転車・駐車場事故を中心にして,実務裁判例 交通事故における過失相殺率
11193,9784817840851,defer_new,human_review,defer_new_recall_isbn_in_canonical,suspected_different_manifestation,title divergence,subtitle_difference,,,,0.2,Ｑ＆Ａ 農地・森林に関する法律と実務 登記・届出・許可・転用,Q&A 農地・森林に関する法律と実務
