law_name,law_id,node_mentions_full_db
民法,129AC0000000089,3139
会社法,417AC0000000086,1293
刑法,140AC0000000045,952
商法,132AC0000000048,615
独占禁止法,322AC0000000054,524
著作権法,345AC0000000048,389
労働基準法,322AC0000000049,345
特許法,334AC0000000121,307
金融商品取引法,323AC0000000025,249
民事訴訟法,408AC0000000109,248
刑事訴訟法,323AC0000000131,170
所得税法,340AC0000000033,88
破産法,416AC0000000075,87
行政手続法,405AC0000000088,81
法人税法,340AC0000000034,73
行政事件訴訟法,337AC0000000139,43
都市計画法,343AC0000000100,43
消費税法,363AC0000000108,29
保険業法,407AC0000000105,26
地方税法,325AC0000000226,13
