bib_title,pub_year,scheme,match_text,law_name,article,uri,confidence,article_in_egov,node_text
新版注釈民法（7） 物権（2）,2007,jp_statute_ref,民法,民法,255,egov:129AC0000000089:art:255,high,False,§24(民法第255条の適用除外)(同)
判例特別刑法,2012,jp_case_citation,札幌高判平成22年6月1日,,,,,,2 金銭供与約束罪および事前運動罪にいう「選挙運動」［札幌高判平成22年6月1日裁判所HP］ 野村健太郎
判例特別刑法,2012,jp_case_citation,東京高判平成21年12月2日,,,,,,5 入管法74条（集団密航助長罪）の実行行為［東京高判平成21年12月2日判タ1332号279頁］ 仲道祐樹
判例特別刑法,2012,jp_case_citation,東京地判平成17年12月22日,,,,,,7 密輸貨物の運搬等をする罪の法的性質と量刑判断［東京地判平成17年12月22日判時1932号177頁、判タ1225号318頁 萩野貴史
判例特別刑法,2012,jp_case_citation,東京高判平成17年5月25日,,,,,,8 コンビニ駐車場通路部分と道路交通法2条1項1号にいう「道路」の意義［東京高判平成17年5月25日高刑速（平成17）号116頁］ 関 哲夫
判例特別刑法,2012,jp_case_citation,東京地判平成20年7月16日,,,,,,9 車両等提供罪と同乗罪の罪数関係［東京地判平成20年7月16日判時2015号158頁］ 萩野貴史
判例特別刑法,2012,jp_case_citation,東京高判平成20年7月15日,,,,,,10 道路運送車両法における虚偽報告罪の成否［東京高判平成20年7月15日判時2028号145頁、判タ1305号283頁］ 小野上真也
判例特別刑法,2012,jp_case_citation,広島高判平成19年5月29日,,,,,,11 停車駅通過の鉄道営業法上の罪責［広島高判平成19年5月29日判タ1252号343頁］ 武藤眞朗
判例特別刑法,2012,jp_case_citation,大阪高判平成21年10月8日,,,,,,12 ファイル共有ソフトの提供と公衆送信権侵害罪（Winny提供事件）［大阪高判平成21年10月8日刑弁61号182頁］ 小野上真也
判例特別刑法,2012,jp_case_citation,東京高判平成16年7月14日,,,,,,19 相場操縦に係る財産の没収・追徴（志村化工事件）［東京高判平成16年7月14日商事1712号46頁］ 二木栁誠
判例特別刑法,2012,jp_case_citation,東京地判平成20年9月17日,,,,,,21 旧証券取引法における風説の流布と没収・追徴の範囲（ジャパンメディアネットワーク事件）［東京地判平成20年9月17日判タ1286号331頁］ 鈴木優典
判例特別刑法,2012,jp_case_citation,東京地判平成22年2月18日,,,,,,22 旧証券取引法における偽計と相場変動を図る目的［東京地判平成22年2月18日判タ1330号275頁］ 鈴木優典
判例特別刑法,2012,jp_statute_ref,医師法,医師法,17,egov:323AC0000000201:art:17,high,False,28 歯科医師の医科救命救急研修と医師法17条［札幌高判平成20年3月6日裁判所HP］ 三重野雄太郎
判例特別刑法,2012,jp_case_citation,札幌高判平成20年3月6日,,,,,,28 歯科医師の医科救命救急研修と医師法17条［札幌高判平成20年3月6日裁判所HP］ 三重野雄太郎
判例特別刑法,2012,jp_case_citation,東京高判平成20年4月24日,,,,,,34 「産業廃棄物」の意義（木くず事件）［東京高判平成20年4月24日高刑集61巻2号1頁、東京高判平成20年5月19日判タ1294号312頁］ 岡部雅人
