# D1文献編 ②真ゼロ誌 別表記リトライ候補（2026-06-27 時点ログから）
# 列: original<TAB>candidates(| 区切り・左から順に試す)<TAB>note
# ※候補はD1索引名の仮説。Mac側で各候補に downloader を当て、総件数>0 を採用。
# ※角括弧〔大学名〕はD1の検索フィールド外注記の可能性大→まず外す、次に全角括弧/発行元/旧新字を試す。
法学研究〔慶応義塾大学〕	法学研究|法學研究|法学研究（慶應義塾大学法学研究会）|法学研究 : 法律・政治・社会	慶應義塾の老舗誌。旧字「慶應」「法學」揺れ。発行=慶應義塾大学法学研究会
法学〔東北大学〕	法学（東北大学法学会）|法學|法学 東北大学|法律時報	東北大学法学会「法学」。catch-all「法学」(取得済1165)に紛れている可能性→個別名で要分離
法学〔東北大〕	法学（東北大学法学会）|法學|法学 東北大学	上に同じ（略記ゆれ）
法政研究〔九州大学〕	法政研究|法政研究（九州大学法政学会）|法學論集	九州大学法政学会。基本は「法政研究」で引けるはず
法律科学研究所年報〔明治学院大学〕	法律科学研究所年報|明治学院大学法律科学研究所年報|法律科学研究	明治学院大法律科学研究所。年報名の長短ゆれ
警察学論集〔警察大学校〕	警察学論集	立花書房刊。注記を外すだけで引ける見込み大
知的財産法政策学研究〔北海道大学大学院〕	知的財産法政策学研究|知的財産法政策学研究（北海道大学）	北大GCOE系。注記除去で引ける見込み
商事法務研究	商事法務|旬刊商事法務|商事法務研究会	「商事法務研究」は旧称/団体名の可能性。本誌は「商事法務（旬刊商事法務）」
財政経済弘報	財政経済弘報|財政	財政経済弘報社の旧誌。D1非収録の可能性あり→0継続なら「非収録」確定
ジュリスト増刊〔基本判例解説シリーズ〕	ジュリスト増刊|ジュリスト|基本判例解説シリーズ|別冊ジュリスト	増刊/別冊はD1で個別タイトル化されている可能性→「ジュリスト」本体で拾うか要確認
A.I.P.P.I.	A.I.P.P.I.|AIPPI|ＡＩＰＰＩ|国際工業所有権保護協会月報	AIPPI JAPAN機関誌。半角ピリオド/全角/和名揺れ
A.I.P.P.I. International ed.	A.I.P.P.I. International edition|AIPPI International|A.I.P.P.I.	英文版。"ed."→"edition"展開、和名版とは別レコード
