bib_id	isbn13	ndl_bib_id_present	pub_year	edition	publisher	title
alo:book:isbn:9784817850157	9784817850157	034221560	2025		日本加除出版	AIと法実務大全
alo:book:isbn:9784502369018	9784502369018	031236541	2021		中央経済社	学校
alo:book:isbn:9784502382116	9784502382116	031334030	2021		中央経済社	システム開発を成功させるIT契約の実務
alo:book:isbn:9784897617770	9784897617770	029931825	2019		労働新聞社	M&Aと統合プロセス人事労務ガイドブック
alo:book:isbn:9784502274718	9784502274718	029183928	2018	第2版	中央経済社	M&Aの契約実務
alo:book:isbn:9784417017950	9784417017950	030543574	2020		青林書院	情報コンテンツ利用の法務Q&A
alo:book:isbn:9784877987367	9784877987367	030007292	2019		現代人文社	情状弁護アドバンス
alo:book:isbn:9784502441011	9784502441011	032425261	2022		中央経済社	物流・倉庫・デリバリー
alo:book:isbn:9784502311710	9784502311710	030048135	2019		中央経済社	自治体
alo:book:isbn:9784817845122	9784817845122	029301735	2018		日本加除出版	スキルアップ法律事務破産申立ての事務手続
alo:book:isbn:9784324113127	9784324113127	033006264	2023	第3版	ぎょうせい	慰謝料算定の実務
alo:book:isbn:9784326404186	9784326404186	032642843	2023		勁草書房	一般条項の理論・実務・判例
alo:book:isbn:9784326404193	9784326404193	032642840	2023		勁草書房	一般条項の理論・実務・判例
alo:book:isbn:9784417018285	9784417018285	031927458	2022		青林書院	下請法の法律相談
alo:book:isbn:9784417018438	9784417018438	032366719	2022		青林書院	未払い残業代請求の法律相談
alo:book:isbn:9784539722121	9784539722121	000011191402	2011		日本法令	労務管理における労働法上のグレーゾーンとその対応
alo:book:isbn:9784502409110	9784502409110	031918438	2022	第2版	中央経済社	医療機器ビジネスの法律実務
alo:book:isbn:9784785728328	9784785728328	031185532	2020		商事法務	経営者保証ガイドラインの実務と課題
alo:book:isbn:9784785713409	9784785713409	000008280811	2006		商事法務	継続的契約と商事法務
alo:book:isbn:9784788291379	9784788291379	032653309	2023		新日本法規出版	自動二輪車交通事故訴訟の実務
alo:book:isbn:9784417016724	9784417016724	026979367	2016		青林書院	IT・インターネットの法律相談
alo:book:isbn:9784908069567	9784908069567	027219757	2016		レクシスネクシス・ジャパン	若手弁護士のための初動対応の実務
alo:book:isbn:9784313511705	9784313511705	029985947	2019		学陽書房	若手法律家のための民事尋問戦略
alo:book:isbn:9784865137279	9784865137279		2024		法研	著作・創作にかかわる法律 : これでおさえる勘どころ
alo:book:isbn:9784492654941	9784492654941	032489641	2022		東洋経済新報社	ベンチャーキャピタルの実務
alo:book:isbn:9784130323567	9784130323567	000010621936	2009		東京大学出版会	法解釈講義
alo:book:isbn:9784785722678	9784785722678	026251338	2015		商事法務	現代型契約と倒産法
alo:book:isbn:9784535065109	9784535065109	028433941	2017		日本評論社	現代租税法講座
alo:book:isbn:9784817840967	9784817840967	024664846	2013		日本加除出版	相続財産の管理と処分の実務
alo:book:isbn:9784589034472	9784589034472	023890333	2012		法律文化社	18歳から考えるワークルール
alo:book:isbn:9784589041173	9784589041173	030715634	2020		法律文化社	18歳から考える人権
alo:book:isbn:9784539729670	9784539729670	032784344	2023		日本法令	役割等級人事制度導入・構築マニュアル
alo:book:manual:title_4565	9784797260892	030584984	2020		信山社	ど～する防災 : 災害と法
alo:book:manual:title_4760	9784797260878	030215752	2020		信山社	ど～する防災 : 災害と法
alo:book:manual:title_4810	9784797260861	030090413	2019		信山社	ど～する防災 : 災害と法
alo:book:manual:title_3767	9784797260908	032341796	2022		信山社	ど～する防災 : 災害と法
alo:book:manual:title_4715	9784797260885	030322093	2020		信山社	ど～する防災 : 災害と法
alo:book:isbn:9784535519725	9784535519725	026095791	2015		日本評論社	ADR仲裁法
alo:book:isbn:9784004318095	9784004318095	030023781	2019		岩波書店	AIの時代と法
alo:book:isbn:9784868210146	9784868210146	034065573	2025		労働新聞社	AIを超える知恵で解決労務トラブル40
alo:book:isbn:9784539729649	9784539729649	032784343	2023		日本法令	M&Aを成功に導く中小企業のPMI実践マニュアル
alo:book:isbn:9784502459511	9784502459511	032946363	2023	第4版	中央経済社	法務デューデリジェンスの実務 : M&Aを成功に導く
alo:book:isbn:9784865561197	9784865561197	027750238	2016		民事法研究会	M&A・アライアンス契約書の作成と審査の実務
alo:book:isbn:9784492503522	9784492503522	033333424	2024		東洋経済新報社	AIナビゲーター : 生成AIの進化がもたらす次世代ビジネス
alo:book:isbn:9784539726327	9784539726327	029421235	2019	初版	日本法令	M&A人事デューデリジェンス標準手順書
alo:book:isbn:9784539726310	9784539726310	029421233	2019		日本法令	M&A労務デューデリジェンス標準手順書
alo:book:isbn:9784641138001	9784641138001	029385038	2018		有斐閣	M&A契約研究 : 理論・実証研究とモデル契約条項
alo:book:isbn:9784641136984	9784641136984	026979378	2015	2015年12月	有斐閣	M&A法大系
alo:book:isbn:9784788288874	9784788288874	031357417	2021		新日本法規出版	Q&Aドローンの法律知識 : 規制・事故責任・トラブル対応等
alo:book:isbn:9784788283305	9784788283305	028512352	2017		新日本法規出版	Q&A相続人不存在・不在者財産管理の手引
alo:book:isbn:9784817847836	9784817847836	032002027	2022		日本加除出版	Q&A若手弁護士からの相談203問
alo:book:isbn:9784817840851	9784817840851	024446999	2013		日本加除出版	Q&A農地・森林に関する法律と実務 : 登記・届出・許可・転用
alo:book:isbn:9784322132410	9784322132410	028783209	2018		金融財政事情研究会	Q&A開示検査と会計不祥事対応の実務
alo:book:isbn:9784313511880	9784313511880	031372936	2021		学陽書房	Q&Aでわかる業種別下請法の実務
alo:book:isbn:9784297136512	9784297136512	033034369	2023		技術評論社	Q&Aでわかる医薬品・美容・健康商品の「正しい」広告・EC販売表示
alo:book:isbn:9784502311611	9784502311611	030064874	2019	第1版第4刷	中央経済社	医薬品・医療機器
alo:book:isbn:9784502311314	9784502311314	030298094	2020		中央経済社	製造
alo:book:isbn:9784502311512	9784502311512	029782994	2019	第1刷	中央経済社	不動産
alo:book:isbn:9784788292727	9784788292727	033202131	2023		新日本法規	Q&A労働条件変更法理の全体的考察と実務運用
