bib_id	ndl_bib_id_present	pub_year	publisher	author	title
alo:book:manual:title_5419		2017	信山社	三上威彦	倒産法_三上威彦著
alo:book:manual:title_3636		2022	日本商事仲裁協会		JCAジャーナル 2022年12月号
alo:book:manual:title_4023		2022	日本商事仲裁協会		JCAジャーナル 2022年1月号
alo:book:manual:title_3994		2022	日本商事仲裁協会		JCAジャーナル 2022年2月号
alo:book:manual:title_3961		2022	日本商事仲裁協会		JCAジャーナル 2022年3月号
alo:book:manual:title_3909		2022	日本商事仲裁協会		JCAジャーナル 2022年4月号
alo:book:manual:title_2998		2024	中央経済社		ビジネス法務2024年8月号
alo:book:manual:title_3866		2022	日本商事仲裁協会		JCAジャーナル 2022年5月号
alo:book:manual:title_3839		2022	日本商事仲裁協会		JCAジャーナル 2022年6月号
alo:book:manual:title_3808		2022	日本商事仲裁協会		JCAジャーナル 2022年7月号
alo:book:manual:title_2974		2024	中央経済社		ビジネス法務2024年9月号
alo:book:manual:title_3784		2022	日本商事仲裁協会		JCAジャーナル 2022年8月号
alo:book:manual:title_3755		2022	日本商事仲裁協会		JCAジャーナル 2022年9月号
alo:book:manual:title_3276		2023	日本商事仲裁協会		JCAジャーナル 2023年10月号
alo:book:manual:title_3231		2023	日本商事仲裁協会		JCAジャーナル 2023年11月号
alo:book:manual:title_3204		2023	日本商事仲裁協会		JCAジャーナル 2023年12月号
alo:book:manual:title_3602		2023	日本商事仲裁協会		JCAジャーナル 2023年1月号
alo:book:manual:title_3560		2023	日本商事仲裁協会		JCAジャーナル 2023年2月号
alo:book:manual:title_3523		2023	日本商事仲裁協会		JCAジャーナル 2023年3月号
alo:book:manual:title_3467		2023	日本商事仲裁協会		JCAジャーナル 2023年4月号
alo:book:manual:title_3422		2023	日本商事仲裁協会		JCAジャーナル 2023年5月号
alo:book:manual:title_2865		2024	中央経済社		ビジネス法務2025年1月号
alo:book:manual:title_3393		2023	日本商事仲裁協会		JCAジャーナル 2023年6月号
alo:book:manual:title_3365		2023	日本商事仲裁協会		JCAジャーナル 2023年7月号
alo:book:manual:title_3336		2023	日本商事仲裁協会		JCAジャーナル 2023年8月号
alo:book:manual:title_1602	028191422		新日本法規出版		最新会社法務モデル文例・書式集
alo:book:manual:title_3306		2023	日本商事仲裁協会		JCAジャーナル 2023年9月号
alo:book:manual:title_2909		2024	日本商事仲裁協会		JCAジャーナル 2024年10月号
alo:book:manual:title_2842		2024	中央経済社		ビジネス法務2025年2月号
alo:book:manual:title_2819		2025	中央経済社		ビジネス法務2025年3月号
alo:book:manual:title_2802		2025	中央経済社		ビジネス法務2025年4月号
alo:book:manual:title_2882		2024	日本商事仲裁協会		JCAジャーナル 2024年11月号
alo:book:manual:title_2854		2024	日本商事仲裁協会		JCAジャーナル 2024年12月号
alo:book:manual:title_3171		2024	日本商事仲裁協会		JCAジャーナル 2024年1月号
alo:book:manual:title_3144		2024	日本商事仲裁協会		JCAジャーナル 2024年2月号
alo:book:manual:title_3110		2024	日本商事仲裁協会		JCAジャーナル 2024年3月号
alo:book:manual:title_3069		2024	日本商事仲裁協会		JCAジャーナル 2024年4月号
alo:book:manual:title_3040		2024	日本商事仲裁協会		JCAジャーナル 2024年5月号
alo:book:manual:title_3013		2024	日本商事仲裁協会		JCAジャーナル 2024年6月号
alo:book:manual:title_2980		2024	日本商事仲裁協会		JCAジャーナル 2024年7月号
alo:book:manual:title_2961		2024	日本商事仲裁協会		JCAジャーナル 2024年8月号
alo:book:manual:title_5415		2017	日本商事仲裁協会		JCAジャーナル 2017年8月号
alo:book:manual:title_5402		2017	日本商事仲裁協会		JCAジャーナル 2017年9月号
alo:book:manual:title_2773		2025	中央経済社		ビジネス法務2025年5月号
alo:book:manual:title_5152		2018	日本商事仲裁協会		JCAジャーナル 2018年10月号
alo:book:manual:title_5130		2018	日本商事仲裁協会		JCAジャーナル 2018年11月号
alo:book:manual:title_2728		2025	中央経済社		ビジネス法務2025年6月号
